mc	mn	quarterbeats	duration_qb	keysig	timesig	act_dur	mc_offset	numbering_offset	dont_count	barline	breaks	repeats	next
1	0	0	0.5	-1	4/4	1/8	7/8		1			firstMeasure	2
2	1	1/2	4.0	-1	4/4	1	0						3
3	2	9/2	4.0	-1	4/4	1	0						4
4	3	17/2	4.0	-1	4/4	1	0						5
5	4	25/2	4.0	-1	4/4	1	0						6
6	5	33/2	4.0	-1	4/4	1	0						7
7	6	41/2	4.0	-1	4/4	1	0						8
8	7	49/2	4.0	-1	4/4	1	0						9
9	8	57/2	4.0	-1	4/4	1	0						10
10	9	65/2	4.0	-1	4/4	1	0						11
11	10	73/2	4.0	-1	4/4	1	0						12
12	11	81/2	4.0	-1	4/4	1	0						13
13	12	89/2	4.0	-1	4/4	1	0						14
14	13	97/2	4.0	-1	4/4	1	0						15
15	14	105/2	4.0	-1	4/4	1	0						16
16	15	113/2	4.0	-1	4/4	1	0					lastMeasure	-1
