mc	mn	quarterbeats	duration_qb	keysig	timesig	act_dur	mc_offset	numbering_offset	dont_count	barline	breaks	repeats	next
1	1	0	3.0	-1	3/4	3/4	0					firstMeasure	2
2	2	3	3.0	-1	3/4	3/4	0						3
3	3	6	3.0	-1	3/4	3/4	0						4
4	4	9	3.0	-1	3/4	3/4	0						5
5	5	12	3.0	-1	3/4	3/4	0						6
6	6	15	44.0	-1	3/4	11	0						7
7	7	59	3.0	-1	3/4	3/4	0						8
8	8	62	3.0	-1	3/4	3/4	0						9
9	9	65	3.0	-1	3/4	3/4	0						10
10	10	68	3.0	-1	3/4	3/4	0						11
11	11	71	3.0	-1	3/4	3/4	0						12
12	12	74	20.0	-1	3/4	5	0						13
13	13	94	33.0	-5	3/4	33/4	0			dashed			14
14	13	127	30.0	-5	3/4	15/2	0		1	double		lastMeasure	-1
