mc	mn	keysig	timesig	act_dur	mc_offset	volta	numbering_offset	dont_count	barline	breaks	repeats	next
1	1	-1	3/4	3/4	0						firstMeasure	2
2	2	-1	3/4	3/4	0							3
3	3	-1	3/4	3/4	0							4
4	4	-1	3/4	3/4	0							5
5	5	-1	5/4	5/4	0							6
6	6	-1	5/4	5/4	0							7
7	6	-1	4/4	1	0			1				8
8	6	-1	4/4	1	0			1				9
9	6	-1	4/4	1	0			1				10
10	6	-1	4/4	1	0			1				11
11	6	-1	4/4	17/4	0			1		line		12
12	6	-1	4/4	3/2	0			1				13
13	7	-1	4/4	3/4	0							14
14	8	-1	4/4	3/4	1/4							15
15	9	-1	4/4	3/4	0							16
16	10	-1	4/4	3/4	1/4							17
17	11	-1	4/4	3/4	0							18
18	12	-1	4/4	21/4	-17/4				double			19
19	12	-5	4/4	9/4	0			1				20
20	12	-5	4/4	4	0			1				21
21	12	-5	4/4	4	0			1				22
22	12	-5	4/4	4	0			1				23
23	12	-5	4/4	3/2	0			1	double		lastMeasure	-1
