mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	slur	Ottava:8va	diminuendo_line	crescendo_hairpin	decrescendo_hairpin
1	1	0	0	0.0	0	0	StaffText	3/4	1	1	0							"Andante

"					
1	1	1	1	0.0	1/4	1/4	Dynamic	3/4	1	1	0					p							
1	1	1	1	0.0	1/4	1/4	Chord	3/4	1	1	0	grace16	1/16	1	0								
1	1	1	1	0.0	1/4	1/4	Chord	3/4	1	1	0	grace16	1/16	1	1								
1	1	1	1	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	2								
1	1	2	2	0.75	1/2	1/2	Chord	3/4	1	1	3/16		1/8	3/2	3				0				
1	1	11/4	11/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	4								
1	1	0	0	0.0	0	0	Dynamic	3/4	1	2	0					mf							
1	1	0	0	2.0	0	0	Chord	3/4	1	2	1/2		1/2	1	5								
1	1	2	2	0.0	1/2	1/2	Dynamic	3/4	1	2	0					mf							
1	1	2	2	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	6								
1	1	0	0	2.0	0	0	Chord	3/4	1	3	1/2		1/2	1	7								
1	1	1	1	0.0	1/4	1/4	Chord	3/4	2	1	0	grace16	1/16	1	8								
1	1	1	1	0.0	1/4	1/4	Chord	3/4	2	1	0	grace16	1/16	1	9								
1	1	1	1	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	10								
1	1	2	2	0.75	1/2	1/2	Chord	3/4	2	1	3/16		1/8	3/2	11				1				
1	1	11/4	11/4	0.25	11/16	11/16	Chord	3/4	2	1	1/16		1/16	1	12								
1	1	0	0	2.0	0	0	Chord	3/4	2	2	1/2		1/2	1	13								
2	2	4	4	0.0	1/4	1/4	Chord	3/4	1	1	0	grace16	1/16	1	14				2				
2	2	4	4	0.0	1/4	1/4	Chord	3/4	1	1	0	grace16	1/16	1	15				2				
2	2	4	4	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	16				2				
2	2	5	5	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	17								
2	2	3	3	3.0	0	0	Chord	3/4	1	2	3/4		1/2	3/2	18		articTenutoAbove						
