mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	slur	Ottava:8va
1	1	0	0	0.0	0	0	Dynamic	3/4	1	1	0					mf				
1	1	0	0	0.0	0	0	StaffText	3/4	1	1	0							A tempo rubato		
1	1	0	0	0.0	0	0	StaffText	3/4	1	1	0							marcato		
1	1	0	0	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	0		ornamentShortTrill			
1	1	2	2	0.125	1/2	1/2	Chord	3/4	1	1	1/32		1/32	1	1				0	
1	1	17/8	17/8	0.125	17/32	17/32	Chord	3/4	1	1	1/32		1/32	1	2				0	
1	1	9/4	9/4	0.75	9/16	9/16	Chord	3/4	1	1	3/16		1/8	3/2	3					
1	1	1	1	2.0	1/4	1/4	Chord	3/4	1	2	1/2		1/2	1	4					
1	1	0	0	2.0	0	0	Chord	3/4	2	1	1/2		1/2	1	5		ornamentShortTrill			
1	1	2	2	0.125	1/2	1/2	Chord	3/4	2	1	1/32		1/32	1	6				1	
1	1	17/8	17/8	0.125	17/32	17/32	Chord	3/4	2	1	1/32		1/32	1	7				1	
1	1	9/4	9/4	0.75	9/16	9/16	Chord	3/4	2	1	3/16		1/8	3/2	8					
1	1	1	1	0.0	1/4	1/4	Dynamic	3/4	2	2	0					p				
1	1	1	1	2.0	1/4	1/4	Chord	3/4	2	2	1/2		1/2	1	9					
2	2	3	3	0.0	0	0	Dynamic	3/4	1	1	0					mf				
2	2	3	3	3.0	0	0	Chord	3/4	1	1	3/4		1/2	3/2	10		ornamentShortTrill			
2	2	4	4	2.0	1/4	1/4	Chord	3/4	1	2	1/2		1/2	1	11					
2	2	3	3	3.0	0	0	Chord	3/4	2	1	3/4		1/2	3/2	12		ornamentShortTrill			
2	2	4	4	0.0	1/4	1/4	Dynamic	3/4	2	2	0					p				
2	2	4	4	2.0	1/4	1/4	Chord	3/4	2	2	1/2		1/2	1	13					
3	3	6	6	0.0	0	0	Dynamic	3/4	1	1	0					mf				
3	3	6	6	0.0	0	0	Chord	3/4	1	1	0	grace16	1/16	1	14					
3	3	6	6	0.0	0	0	Chord	3/4	1	1	0	grace16	1/16	1	15					
3	3	6	6	0.0	0	0	Chord	3/4	1	1	0	grace16	1/16	1	16					
3	3	6	6	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	17		ornamentShortTrill			
3	3	8	8	0.125	1/2	1/2	Chord	3/4	1	1	1/32		1/32	1	18				2	
3	3	65/8	65/8	0.125	17/32	17/32	Chord	3/4	1	1	1/32		1/32	1	19				2	
3	3	33/4	33/4	0.125	9/16	9/16	Chord	3/4	1	1	1/32		1/32	1	20				2	
3	3	67/8	67/8	0.125	19/32	19/32	Chord	3/4	1	1	1/32		1/32	1	21				2	
3	3	17/2	17/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	22					
3	3	7	7	2.0	1/4	1/4	Chord	3/4	1	2	1/2		1/2	1	23					
3	3	6	6	0.0	0	0	Chord	3/4	2	1	0	grace16	1/16	1	24					
3	3	6	6	0.0	0	0	Chord	3/4	2	1	0	grace16	1/16	1	25					
3	3	6	6	0.0	0	0	Chord	3/4	2	1	0	grace16	1/16	1	26					
3	3	6	6	2.0	0	0	Chord	3/4	2	1	1/2		1/2	1	27		ornamentShortTrill			
3	3	8	8	0.125	1/2	1/2	Chord	3/4	2	1	1/32		1/32	1	28				3	
3	3	65/8	65/8	0.125	17/32	17/32	Chord	3/4	2	1	1/32		1/32	1	29				3	
3	3	33/4	33/4	0.125	9/16	9/16	Chord	3/4	2	1	1/32		1/32	1	30				3	
3	3	67/8	67/8	0.125	19/32	19/32	Chord	3/4	2	1	1/32		1/32	1	31				3	
3	3	17/2	17/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	32					
3	3	7	7	2.0	1/4	1/4	Chord	3/4	2	2	1/2		1/2	1	33					
4	4	9	9	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	34		ornamentShortTrill			
4	4	11	11	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	35					
4	4	23/2	23/2	0.125	5/8	5/8	Chord	3/4	1	1	1/32		1/32	1	36				4	
4	4	93/8	93/8	0.125	21/32	21/32	Chord	3/4	1	1	1/32		1/32	1	37				4	
4	4	47/4	47/4	0.125	11/16	11/16	Chord	3/4	1	1	1/32		1/32	1	38				4	
4	4	95/8	95/8	0.125	23/32	23/32	Chord	3/4	1	1	1/32		1/32	1	39					
4	4	10	10	2.0	1/4	1/4	Chord	3/4	1	2	1/2		1/2	1	40					
4	4	9	9	2.0	0	0	Chord	3/4	2	1	1/2		1/2	1	41		ornamentShortTrill			
4	4	11	11	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	42					
4	4	23/2	23/2	0.125	5/8	5/8	Chord	3/4	2	1	1/32		1/32	1	43				5	
4	4	93/8	93/8	0.125	21/32	21/32	Chord	3/4	2	1	1/32		1/32	1	44				5	
4	4	47/4	47/4	0.125	11/16	11/16	Chord	3/4	2	1	1/32		1/32	1	45				5	
4	4	95/8	95/8	0.125	23/32	23/32	Chord	3/4	2	1	1/32		1/32	1	46					
4	4	10	10	2.0	1/4	1/4	Chord	3/4	2	2	1/2		1/2	1	47					
5	5	12	12	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	48		ornamentShortTrill			
5	5	14	14	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	49		articAccentAbove			
5	5	13	13	2.0	1/4	1/4	Chord	3/4	1	2	1/2		1/2	1	50					
5	5	12	12	2.0	0	0	Chord	3/4	2	1	1/2		1/2	1	51		ornamentShortTrill			
5	5	14	14	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	52					
