mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	crescendo_hairpin
1	1	0	0	0.0	0	0	Dynamic	3/4	1	1	0				f									
1	1	0	0	0.0	0	0	StaffText	3/4	1	1	0						Allegro vivace							
1	1	0	0	0.0	0	0	Tempo	3/4	1	1	0							𝅘𝅥=116	116.0	𝅘𝅥	116.0	0.0		
1	1	0	0	0.25	0	0	Chord	3/4	1	1	1/16	1/16	1	0		articAccentAbove							0	
1	1	1/4	1/4	0.25	1/16	1/16	Chord	3/4	1	1	1/16	1/16	1	1										
1	1	1	1	0.25	1/4	1/4	Chord	3/4	1	1	1/16	1/16	1	2		articAccentAbove							1	
1	1	5/4	5/4	0.25	5/16	5/16	Chord	3/4	1	1	1/16	1/16	1	3										
1	1	2	2	0.25	1/2	1/2	Chord	3/4	1	1	1/16	1/16	1	4		articAccentAbove							2	
1	1	9/4	9/4	0.25	9/16	9/16	Chord	3/4	1	1	1/16	1/16	1	5										
1	1	0	0	0.5	0	0	Chord	3/4	2	1	1/8	1/8	1	6		articAccentAbove								
1	1	1/2	1/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8	1/8	1	7										
1	1	1	1	0.5	1/4	1/4	Chord	3/4	2	1	1/8	1/8	1	8		articAccentAbove								
1	1	3/2	3/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	9										
1	1	2	2	0.5	1/2	1/2	Chord	3/4	2	1	1/8	1/8	1	10		articAccentAbove								
1	1	5/2	5/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	11										
2	2	3	3	3.0	0	0	Chord	3/4	1	1	3/4	1/2	3/2	12		articAccentAbove								
2	2	7/2	7/2	0.25	1/8	1/8	Chord	3/4	1	2	1/16	1/16	1	13									3	
2	2	15/4	15/4	0.25	3/16	3/16	Chord	3/4	1	2	1/16	1/16	1	14									3	
2	2	4	4	0.25	1/4	1/4	Chord	3/4	1	2	1/16	1/16	1	15									3	
2	2	17/4	17/4	0.25	5/16	5/16	Chord	3/4	1	2	1/16	1/16	1	16									3	
2	2	9/2	9/2	0.25	3/8	3/8	Chord	3/4	1	2	1/16	1/16	1	17									3	
2	2	19/4	19/4	0.25	7/16	7/16	Chord	3/4	1	2	1/16	1/16	1	18									3	
2	2	5	5	0.5	1/2	1/2	Chord	3/4	1	2	1/8	1/8	1	19		articStaccatoAbove								
2	2	3	3	3.0	0	0	Chord	3/4	2	1	3/4	1/2	3/2	20		articAccentAbove								
2	2	7/2	7/2	0.5	1/8	1/8	Chord	3/4	2	2	1/8	1/8	1	21									4	
2	2	4	4	0.5	1/4	1/4	Chord	3/4	2	2	1/8	1/8	1	22									4	
2	2	9/2	9/2	0.5	3/8	3/8	Chord	3/4	2	2	1/8	1/8	1	23										
2	2	5	5	0.5	1/2	1/2	Chord	3/4	2	2	1/8	1/8	1	24		articStaccatoAbove								
3	3	6	6	0.25	0	0	Chord	3/4	1	1	1/16	1/16	1	25		articAccentAbove							5	
3	3	25/4	25/4	0.25	1/16	1/16	Chord	3/4	1	1	1/16	1/16	1	26										
3	3	7	7	0.25	1/4	1/4	Chord	3/4	1	1	1/16	1/16	1	27		articAccentAbove							6	
3	3	29/4	29/4	0.25	5/16	5/16	Chord	3/4	1	1	1/16	1/16	1	28										
3	3	8	8	0.25	1/2	1/2	Chord	3/4	1	1	1/16	1/16	1	29		articAccentAbove							7	
3	3	33/4	33/4	0.25	9/16	9/16	Chord	3/4	1	1	1/16	1/16	1	30										
3	3	6	6	0.5	0	0	Chord	3/4	2	1	1/8	1/8	1	31		articAccentAbove								
3	3	13/2	13/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8	1/8	1	32										
3	3	7	7	0.5	1/4	1/4	Chord	3/4	2	1	1/8	1/8	1	33		articAccentAbove								
3	3	15/2	15/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	34										
3	3	8	8	0.5	1/2	1/2	Chord	3/4	2	1	1/8	1/8	1	35		articAccentAbove								
3	3	17/2	17/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	36										
4	4	9	9	3.0	0	0	Chord	3/4	1	1	3/4	1/2	3/2	37		articAccentAbove								
4	4	19/2	19/2	0.25	1/8	1/8	Chord	3/4	1	2	1/16	1/16	1	38									8	
4	4	39/4	39/4	0.25	3/16	3/16	Chord	3/4	1	2	1/16	1/16	1	39									8	
4	4	10	10	0.25	1/4	1/4	Chord	3/4	1	2	1/16	1/16	1	40									8	
4	4	41/4	41/4	0.25	5/16	5/16	Chord	3/4	1	2	1/16	1/16	1	41									8	
4	4	21/2	21/2	0.25	3/8	3/8	Chord	3/4	1	2	1/16	1/16	1	42									8	
4	4	43/4	43/4	0.25	7/16	7/16	Chord	3/4	1	2	1/16	1/16	1	43									8	
4	4	11	11	0.5	1/2	1/2	Chord	3/4	1	2	1/8	1/8	1	44		articStaccatoAbove								
4	4	9	9	3.0	0	0	Chord	3/4	2	1	3/4	1/2	3/2	45		articAccentAbove								
4	4	19/2	19/2	0.5	1/8	1/8	Chord	3/4	2	2	1/8	1/8	1	46									9	
4	4	10	10	0.5	1/4	1/4	Chord	3/4	2	2	1/8	1/8	1	47									9	
4	4	21/2	21/2	0.5	3/8	3/8	Chord	3/4	2	2	1/8	1/8	1	48										
4	4	11	11	0.5	1/2	1/2	Chord	3/4	2	2	1/8	1/8	1	49		articStaccatoAbove								
5	5	12	12	0.25	0	0	Chord	3/4	1	1	1/16	1/16	1	50		articAccentAbove							10	
5	5	49/4	49/4	0.25	1/16	1/16	Chord	3/4	1	1	1/16	1/16	1	51										
5	5	13	13	0.25	1/4	1/4	Chord	3/4	1	1	1/16	1/16	1	52		articAccentAbove							11	
5	5	53/4	53/4	0.25	5/16	5/16	Chord	3/4	1	1	1/16	1/16	1	53										
5	5	14	14	0.25	1/2	1/2	Chord	3/4	1	1	1/16	1/16	1	54		articAccentAbove							12	
5	5	57/4	57/4	0.25	9/16	9/16	Chord	3/4	1	1	1/16	1/16	1	55										
5	5	12	12	0.5	0	0	Chord	3/4	2	1	1/8	1/8	1	56		articAccentAbove								
5	5	25/2	25/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8	1/8	1	57										
5	5	13	13	0.5	1/4	1/4	Chord	3/4	2	1	1/8	1/8	1	58		articAccentAbove								
5	5	27/2	27/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	59										
5	5	14	14	0.5	1/2	1/2	Chord	3/4	2	1	1/8	1/8	1	60		articAccentAbove								
5	5	29/2	29/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	61										
6	6	15	15	3.0	0	0	Chord	3/4	1	1	3/4	1/2	3/2	62		articAccentAbove								
6	6	31/2	31/2	0.25	1/8	1/8	Chord	3/4	1	2	1/16	1/16	1	63									13	
6	6	63/4	63/4	0.25	3/16	3/16	Chord	3/4	1	2	1/16	1/16	1	64									13	
6	6	16	16	0.25	1/4	1/4	Chord	3/4	1	2	1/16	1/16	1	65									13	
6	6	65/4	65/4	0.25	5/16	5/16	Chord	3/4	1	2	1/16	1/16	1	66									13	
6	6	33/2	33/2	0.25	3/8	3/8	Chord	3/4	1	2	1/16	1/16	1	67									13	
6	6	67/4	67/4	0.25	7/16	7/16	Chord	3/4	1	2	1/16	1/16	1	68									13	
6	6	17	17	0.5	1/2	1/2	Chord	3/4	1	2	1/8	1/8	1	69		articStaccatoAbove								
6	6	15	15	3.0	0	0	Chord	3/4	2	1	3/4	1/2	3/2	70		articAccentAbove								
6	6	31/2	31/2	0.5	1/8	1/8	Chord	3/4	2	2	1/8	1/8	1	71									14	
6	6	16	16	0.5	1/4	1/4	Chord	3/4	2	2	1/8	1/8	1	72									14	
6	6	33/2	33/2	0.5	3/8	3/8	Chord	3/4	2	2	1/8	1/8	1	73										
6	6	17	17	0.5	1/2	1/2	Chord	3/4	2	2	1/8	1/8	1	74		articStaccatoAbove								
7	7	73/4	73/4	0.0	1/16	1/16	StaffText	3/4	1	1	0						m.g.							
7	7	73/4	73/4	0.25	1/16	1/16	Chord	3/4	1	1	1/16	1/16	1	75										
7	7	75/4	75/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16	1/16	1	76										
7	7	19	19	0.5	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	77										
7	7	20	20	0.5	1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	78										
7	7	18	18	0.0	0	0	Spanner	3/4	2	1	0													0
7	7	18	18	0.25	0	0	Chord	3/4	2	1	1/16	1/16	1	79										0
7	7	73/4	73/4	0.0	1/16	1/16	Spanner	3/4	2	1	0													
7	7	37/2	37/2	0.25	1/8	1/8	Chord	3/4	2	1	1/16	1/16	1	80										
7	7	19	19	0.0	1/4	1/4	Dynamic	3/4	2	1	0				sf									
7	7	20	20	0.5	1/2	1/2	Chord	3/4	2	1	1/8	1/8	1	81										
8	8	21	21	2.0	0	0	Chord	3/4	1	1	1/2	1/2	1	82		articAccentAbove								
