mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	Ottava:8va
5	5	12	12	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	56		articStaccatoAbove								
5	5	40/3	40/3	0.3333333333333333	1/3	1/3	Chord	3/4	2	1	1/12	1/8	2/3	57										
5	5	41/3	41/3	0.3333333333333333	5/12	5/12	Chord	3/4	2	1	1/12	1/8	2/3	58										
5	5	14	14	0.3333333333333333	1/2	1/2	Chord	3/4	2	1	1/12	1/8	2/3	59										
5	5	43/3	43/3	0.3333333333333333	7/12	7/12	Chord	3/4	2	1	1/12	1/8	2/3	60										
5	5	44/3	44/3	0.3333333333333333	2/3	2/3	Chord	3/4	2	1	1/12	1/8	2/3	61										
6	6	15	15	0.3333333333333333	0	0	Chord	3/4	1	1	1/12	1/8	2/3	62										
6	6	46/3	46/3	0.3333333333333333	1/12	1/12	Chord	3/4	1	1	1/12	1/8	2/3	63										
6	6	47/3	47/3	0.3333333333333333	1/6	1/6	Chord	3/4	1	1	1/12	1/8	2/3	64										
6	6	49/3	49/3	0.3333333333333333	1/3	1/3	Chord	3/4	1	1	1/12	1/8	2/3	65										
6	6	50/3	50/3	0.3333333333333333	5/12	5/12	Chord	3/4	1	1	1/12	1/8	2/3	66										
6	6	17	17	0.3333333333333333	1/2	1/2	Chord	3/4	1	1	1/12	1/8	2/3	67										
6	6	52/3	52/3	0.3333333333333333	7/12	7/12	Chord	3/4	1	1	1/12	1/8	2/3	68										
6	6	53/3	53/3	0.3333333333333333	2/3	2/3	Chord	3/4	1	1	1/12	1/8	2/3	69										
6	6	15	15	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	70		articStaccatoAbove								
6	6	49/3	49/3	0.3333333333333333	1/3	1/3	Chord	3/4	2	1	1/12	1/8	2/3	71										
6	6	50/3	50/3	0.3333333333333333	5/12	5/12	Chord	3/4	2	1	1/12	1/8	2/3	72										
6	6	17	17	0.3333333333333333	1/2	1/2	Chord	3/4	2	1	1/12	1/8	2/3	73										
6	6	52/3	52/3	0.3333333333333333	7/12	7/12	Chord	3/4	2	1	1/12	1/8	2/3	74										
6	6	53/3	53/3	0.3333333333333333	2/3	2/3	Chord	3/4	2	1	1/12	1/8	2/3	75										
7	7	18	18	0.3333333333333333	0	0	Chord	3/4	1	1	1/12	1/8	2/3	76										
7	7	55/3	55/3	0.3333333333333333	1/12	1/12	Chord	3/4	1	1	1/12	1/8	2/3	77										
7	7	56/3	56/3	0.3333333333333333	1/6	1/6	Chord	3/4	1	1	1/12	1/8	2/3	78										
7	7	19	19	0.3333333333333333	1/4	1/4	Chord	3/4	1	1	1/12	1/8	2/3	79										
7	7	58/3	58/3	0.3333333333333333	1/3	1/3	Chord	3/4	1	1	1/12	1/8	2/3	80										
7	7	59/3	59/3	0.3333333333333333	5/12	5/12	Chord	3/4	1	1	1/12	1/8	2/3	81										
7	7	20	20	0.3333333333333333	1/2	1/2	Chord	3/4	1	1	1/12	1/8	2/3	82										
7	7	61/3	61/3	0.3333333333333333	7/12	7/12	Chord	3/4	1	1	1/12	1/8	2/3	83										
7	7	62/3	62/3	0.3333333333333333	2/3	2/3	Chord	3/4	1	1	1/12	1/8	2/3	84										
7	7	18	18	0.3333333333333333	0	0	Chord	3/4	2	1	1/12	1/8	2/3	85										
7	7	56/3	56/3	0.3333333333333333	1/6	1/6	Chord	3/4	2	1	1/12	1/8	2/3	86										
7	7	19	19	0.0	1/4	1/4	StaffText	3/4	2	1	0						dim.							
7	7	19	19	0.3333333333333333	1/4	1/4	Chord	3/4	2	1	1/12	1/8	2/3	87										
7	7	59/3	59/3	0.3333333333333333	5/12	5/12	Chord	3/4	2	1	1/12	1/8	2/3	88										
7	7	20	20	0.3333333333333333	1/2	1/2	Chord	3/4	2	1	1/12	1/8	2/3	89										
7	7	62/3	62/3	0.3333333333333333	2/3	2/3	Chord	3/4	2	1	1/12	1/8	2/3	90										
8	8	21	21	0.0	0	0	Dynamic	3/4	1	1	0				p									
8	8	21	21	0.3333333333333333	0	0	Chord	3/4	1	1	1/12	1/8	2/3	91										
8	8	64/3	64/3	0.3333333333333333	1/12	1/12	Chord	3/4	1	1	1/12	1/8	2/3	92										
8	8	65/3	65/3	0.3333333333333333	1/6	1/6	Chord	3/4	1	1	1/12	1/8	2/3	93										
8	8	22	22	0.0	1/4	1/4	StaffText	3/4	1	1	0						m.g.							
8	8	22	22	0.3333333333333333	1/4	1/4	Chord	3/4	1	1	1/12	1/8	2/3	94										
8	8	67/3	67/3	0.3333333333333333	1/3	1/3	Chord	3/4	1	1	1/12	1/8	2/3	95										
8	8	68/3	68/3	0.3333333333333333	5/12	5/12	Chord	3/4	1	1	1/12	1/8	2/3	96										
8	8	23	23	0.0	1/2	1/2	StaffText	3/4	1	1	0						m.g.							
8	8	23	23	0.5	1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	97										
8	8	21	21	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	98		articStaccatoAbove								
9	9	24	24	0.0	0	0	Dynamic	3/4	1	1	0				p									
9	9	24	24	0.3333333333333333	0	0	Chord	3/4	1	1	1/12	1/8	2/3	99										
9	9	73/3	73/3	0.0	1/12	1/12	StaffText	3/4	1	1	0						sempre staccato							
9	9	73/3	73/3	0.3333333333333333	1/12	1/12	Chord	3/4	1	1	1/12	1/8	2/3	100										
9	9	74/3	74/3	0.3333333333333333	1/6	1/6	Chord	3/4	1	1	1/12	1/8	2/3	101										
9	9	76/3	76/3	0.3333333333333333	1/3	1/3	Chord	3/4	1	1	1/12	1/8	2/3	102										
9	9	77/3	77/3	0.3333333333333333	5/12	5/12	Chord	3/4	1	1	1/12	1/8	2/3	103										
9	9	26	26	0.3333333333333333	1/2	1/2	Chord	3/4	1	1	1/12	1/8	2/3	104										
9	9	79/3	79/3	0.3333333333333333	7/12	7/12	Chord	3/4	1	1	1/12	1/8	2/3	105										
9	9	80/3	80/3	0.3333333333333333	2/3	2/3	Chord	3/4	1	1	1/12	1/8	2/3	106										
9	9	24	24	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	107		articStaccatoAbove								
9	9	76/3	76/3	0.3333333333333333	1/3	1/3	Chord	3/4	2	1	1/12	1/8	2/3	108										
9	9	77/3	77/3	0.3333333333333333	5/12	5/12	Chord	3/4	2	1	1/12	1/8	2/3	109										
9	9	26	26	0.3333333333333333	1/2	1/2	Chord	3/4	2	1	1/12	1/8	2/3	110										
9	9	79/3	79/3	0.3333333333333333	7/12	7/12	Chord	3/4	2	1	1/12	1/8	2/3	111										
9	9	80/3	80/3	0.3333333333333333	2/3	2/3	Chord	3/4	2	1	1/12	1/8	2/3	112										
10	10	27	27	0.3333333333333333	0	0	Chord	3/4	1	1	1/12	1/8	2/3	113										
10	10	82/3	82/3	0.3333333333333333	1/12	1/12	Chord	3/4	1	1	1/12	1/8	2/3	114										
10	10	83/3	83/3	0.3333333333333333	1/6	1/6	Chord	3/4	1	1	1/12	1/8	2/3	115										
10	10	28	28	0.3333333333333333	1/4	1/4	Chord	3/4	1	1	1/12	1/8	2/3	116										
10	10	85/3	85/3	0.3333333333333333	1/3	1/3	Chord	3/4	1	1	1/12	1/8	2/3	117										
10	10	86/3	86/3	0.3333333333333333	5/12	5/12	Chord	3/4	1	1	1/12	1/8	2/3	118										
10	10	27	27	0.3333333333333333	0	0	Chord	3/4	2	1	1/12	1/8	2/3	119										
10	10	83/3	83/3	0.3333333333333333	1/6	1/6	Chord	3/4	2	1	1/12	1/8	2/3	120										
10	10	28	28	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	121		articStaccatoBelow								
10	10	29	29	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	122		articStaccatoAbove								
11	11	30	30	0.0	0	0	StaffText	3/4	1	1	0						cresc.							
11	11	30	30	0.3333333333333333	0	0	Chord	3/4	1	1	1/12	1/8	2/3	123										
11	11	91/3	91/3	0.3333333333333333	1/12	1/12	Chord	3/4	1	1	1/12	1/8	2/3	124										
11	11	92/3	92/3	0.3333333333333333	1/6	1/6	Chord	3/4	1	1	1/12	1/8	2/3	125										
11	11	94/3	94/3	0.3333333333333333	1/3	1/3	Chord	3/4	1	1	1/12	1/8	2/3	126										
11	11	95/3	95/3	0.3333333333333333	5/12	5/12	Chord	3/4	1	1	1/12	1/8	2/3	127										
11	11	32	32	0.3333333333333333	1/2	1/2	Chord	3/4	1	1	1/12	1/8	2/3	128										
11	11	97/3	97/3	0.3333333333333333	7/12	7/12	Chord	3/4	1	1	1/12	1/8	2/3	129										
11	11	98/3	98/3	0.3333333333333333	2/3	2/3	Chord	3/4	1	1	1/12	1/8	2/3	130										
11	11	30	30	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	131		articStaccatoAbove								
11	11	94/3	94/3	0.3333333333333333	1/3	1/3	Chord	3/4	2	1	1/12	1/8	2/3	132										
11	11	95/3	95/3	0.3333333333333333	5/12	5/12	Chord	3/4	2	1	1/12	1/8	2/3	133										
11	11	32	32	0.3333333333333333	1/2	1/2	Chord	3/4	2	1	1/12	1/8	2/3	134										
11	11	97/3	97/3	0.3333333333333333	7/12	7/12	Chord	3/4	2	1	1/12	1/8	2/3	135										
11	11	98/3	98/3	0.3333333333333333	2/3	2/3	Chord	3/4	2	1	1/12	1/8	2/3	136										
12	12	33	33	0.3333333333333333	0	0	Chord	3/4	1	1	1/12	1/8	2/3	137										
12	12	100/3	100/3	0.3333333333333333	1/12	1/12	Chord	3/4	1	1	1/12	1/8	2/3	138										
12	12	101/3	101/3	0.3333333333333333	1/6	1/6	Chord	3/4	1	1	1/12	1/8	2/3	139										
12	12	34	34	0.3333333333333333	1/4	1/4	Chord	3/4	1	1	1/12	1/8	2/3	140										
12	12	103/3	103/3	0.3333333333333333	1/3	1/3	Chord	3/4	1	1	1/12	1/8	2/3	141										
12	12	104/3	104/3	0.3333333333333333	5/12	5/12	Chord	3/4	1	1	1/12	1/8	2/3	142										
12	12	107/3	107/3	0.0	2/3	2/3	Spanner	3/4	1	1	0													0
12	12	107/3	107/3	0.3333333333333333	2/3	2/3	Chord	3/4	1	1	1/12	1/8	2/3	143										0
12	12	33	33	0.3333333333333333	0	0	Chord	3/4	2	1	1/12	1/8	2/3	144										
12	12	101/3	101/3	0.3333333333333333	1/6	1/6	Chord	3/4	2	1	1/12	1/8	2/3	145										
12	12	34	34	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	146										
12	12	35	35	0.3333333333333333	1/2	1/2	Chord	3/4	2	1	1/12	1/8	2/3	147										
12	12	107/3	107/3	0.3333333333333333	2/3	2/3	Chord	3/4	2	1	1/12	1/8	2/3	148										
13	13	36	36	0.0	0	0	Dynamic	3/4	1	1	0				f									0
13	13	36	36	0.3333333333333333	0	0	Chord	3/4	1	1	1/12	1/8	2/3	149										0
13	13	110/3	110/3	0.3333333333333333	1/6	1/6	Chord	3/4	1	1	1/12	1/8	2/3	150										0
13	13	37	37	0.3333333333333333	1/4	1/4	Chord	3/4	1	1	1/12	1/8	2/3	151										0
13	13	112/3	112/3	0.3333333333333333	1/3	1/3	Chord	3/4	1	1	1/12	1/8	2/3	152										0
13	13	113/3	113/3	0.3333333333333333	5/12	5/12	Chord	3/4	1	1	1/12	1/8	2/3	153										0
13	13	38	38	0.3333333333333333	1/2	1/2	Chord	3/4	1	1	1/12	1/8	2/3	154										0
13	13	115/3	115/3	0.3333333333333333	7/12	7/12	Chord	3/4	1	1	1/12	1/8	2/3	155										0
13	13	116/3	116/3	0.0	2/3	2/3	Spanner	3/4	1	1	0													
13	13	116/3	116/3	0.3333333333333333	2/3	2/3	Chord	3/4	1	1	1/12	1/8	2/3	156										
13	13	36	36	0.3333333333333333	0	0	Chord	3/4	2	1	1/12	1/8	2/3	157										
13	13	110/3	110/3	0.3333333333333333	1/6	1/6	Chord	3/4	2	1	1/12	1/8	2/3	158										
13	13	37	37	0.3333333333333333	1/4	1/4	Chord	3/4	2	1	1/12	1/8	2/3	159										
13	13	112/3	112/3	0.3333333333333333	1/3	1/3	Chord	3/4	2	1	1/12	1/8	2/3	160										
13	13	113/3	113/3	0.3333333333333333	5/12	5/12	Chord	3/4	2	1	1/12	1/8	2/3	161										
13	13	38	38	0.3333333333333333	1/2	1/2	Chord	3/4	2	1	1/12	1/8	2/3	162										
13	13	115/3	115/3	0.3333333333333333	7/12	7/12	Chord	3/4	2	1	1/12	1/8	2/3	163										
13	13	116/3	116/3	0.3333333333333333	2/3	2/3	Chord	3/4	2	1	1/12	1/8	2/3	164										
14	14	39	39	0.3333333333333333	0	0	Chord	3/4	1	1	1/12	1/8	2/3	165									0	
14	14	118/3	118/3	0.3333333333333333	1/12	1/12	Chord	3/4	1	1	1/12	1/8	2/3	166										
14	14	119/3	119/3	0.0	1/6	1/6	StaffText	3/4	1	1	0						dim.							
14	14	119/3	119/3	0.3333333333333333	1/6	1/6	Chord	3/4	1	1	1/12	1/8	2/3	167										
14	14	40	40	0.3333333333333333	1/4	1/4	Chord	3/4	1	1	1/12	1/8	2/3	168										
14	14	121/3	121/3	0.3333333333333333	1/3	1/3	Chord	3/4	1	1	1/12	1/8	2/3	169										
14	14	122/3	122/3	0.3333333333333333	5/12	5/12	Chord	3/4	1	1	1/12	1/8	2/3	170										
14	14	41	41	0.3333333333333333	1/2	1/2	Chord	3/4	1	1	1/12	1/8	2/3	171										
14	14	124/3	124/3	0.3333333333333333	7/12	7/12	Chord	3/4	1	1	1/12	1/8	2/3	172										
14	14	125/3	125/3	0.3333333333333333	2/3	2/3	Chord	3/4	1	1	1/12	1/8	2/3	173										
14	14	39	39	0.3333333333333333	0	0	Chord	3/4	2	1	1/12	1/8	2/3	174										
14	14	119/3	119/3	0.3333333333333333	1/6	1/6	Chord	3/4	2	1	1/12	1/8	2/3	175										
14	14	40	40	0.3333333333333333	1/4	1/4	Chord	3/4	2	1	1/12	1/8	2/3	176										
14	14	121/3	121/3	0.3333333333333333	1/3	1/3	Chord	3/4	2	1	1/12	1/8	2/3	177										
14	14	122/3	122/3	0.3333333333333333	5/12	5/12	Chord	3/4	2	1	1/12	1/8	2/3	178										
14	14	41	41	0.3333333333333333	1/2	1/2	Chord	3/4	2	1	1/12	1/8	2/3	179										
14	14	124/3	124/3	0.3333333333333333	7/12	7/12	Chord	3/4	2	1	1/12	1/8	2/3	180										
14	14	125/3	125/3	0.3333333333333333	2/3	2/3	Chord	3/4	2	1	1/12	1/8	2/3	181										
15	15	42	42	0.0	0	0	Dynamic	3/4	1	1	0				p									
15	15	42	42	0.3333333333333333	0	0	Chord	3/4	1	1	1/12	1/8	2/3	182									1	
15	15	127/3	127/3	0.3333333333333333	1/12	1/12	Chord	3/4	1	1	1/12	1/8	2/3	183										
15	15	128/3	128/3	0.3333333333333333	1/6	1/6	Chord	3/4	1	1	1/12	1/8	2/3	184		articStaccatoAbove								
15	15	43	43	0.3333333333333333	1/4	1/4	Chord	3/4	1	1	1/12	1/8	2/3	185									2	
15	15	130/3	130/3	0.3333333333333333	1/3	1/3	Chord	3/4	1	1	1/12	1/8	2/3	186										
15	15	131/3	131/3	0.3333333333333333	5/12	5/12	Chord	3/4	1	1	1/12	1/8	2/3	187		articStaccatoAbove								
15	15	44	44	0.0	1/2	1/2	StaffText	3/4	1	1	0						dim.							
15	15	44	44	0.3333333333333333	1/2	1/2	Chord	3/4	1	1	1/12	1/8	2/3	188									3	
15	15	133/3	133/3	0.3333333333333333	7/12	7/12	Chord	3/4	1	1	1/12	1/8	2/3	189										
15	15	134/3	134/3	0.3333333333333333	2/3	2/3	Chord	3/4	1	1	1/12	1/8	2/3	190		articStaccatoAbove								
15	15	42	42	0.3333333333333333	0	0	Chord	3/4	2	1	1/12	1/8	2/3	191										
15	15	128/3	128/3	0.3333333333333333	1/6	1/6	Chord	3/4	2	1	1/12	1/8	2/3	192										
15	15	43	43	0.3333333333333333	1/4	1/4	Chord	3/4	2	1	1/12	1/8	2/3	193										
15	15	131/3	131/3	0.3333333333333333	5/12	5/12	Chord	3/4	2	1	1/12	1/8	2/3	194									4	
15	15	44	44	0.3333333333333333	1/2	1/2	Chord	3/4	2	1	1/12	1/8	2/3	195										
15	15	134/3	134/3	0.3333333333333333	2/3	2/3	Chord	3/4	2	1	1/12	1/8	2/3	196									5	
16	16	45	45	0.3333333333333333	0	0	Chord	3/4	1	1	1/12	1/8	2/3	197									6	
16	16	136/3	136/3	0.3333333333333333	1/12	1/12	Chord	3/4	1	1	1/12	1/8	2/3	198										
16	16	137/3	137/3	0.3333333333333333	1/6	1/6	Chord	3/4	1	1	1/12	1/8	2/3	199		articStaccatoBelow								
16	16	46	46	0.3333333333333333	1/4	1/4	Chord	3/4	1	1	1/12	1/8	2/3	200									7	
16	16	139/3	139/3	0.3333333333333333	1/3	1/3	Chord	3/4	1	1	1/12	1/8	2/3	201										
16	16	140/3	140/3	0.3333333333333333	5/12	5/12	Chord	3/4	1	1	1/12	1/8	2/3	202		articStaccatoAbove							8	
16	16	47	47	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	203		articStaccatoAbove								
16	16	45	45	0.3333333333333333	0	0	Chord	3/4	2	1	1/12	1/8	2/3	204										
16	16	137/3	137/3	0.3333333333333333	1/6	1/6	Chord	3/4	2	1	1/12	1/8	2/3	205									9	
16	16	46	46	0.3333333333333333	1/4	1/4	Chord	3/4	2	1	1/12	1/8	2/3	206										
16	16	140/3	140/3	0.3333333333333333	5/12	5/12	Chord	3/4	2	1	1/12	1/8	2/3	207									10	
16	16	47	47	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	208		articStaccatoAbove								
