mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	Ottava:8va
1	1	0	0	0.0	0	0	StaffText	3/4	1	1	0						Lístesso tempo							
1	1	0	0	0.0	0	0	Dynamic	3/4	1	1	0				p									
1	1	0	0	0.0	0	0	Tempo	3/4	1	1	0							𝅘𝅥=88	88.0	𝅘𝅥	88.0	0.0		
1	1	0	0	0.3333333333333333	0	0	Chord	3/4	1	1	1/12	1/8	2/3	0										
1	1	1/3	1/3	0.3333333333333333	1/12	1/12	Chord	3/4	1	1	1/12	1/8	2/3	1										
1	1	2/3	2/3	0.3333333333333333	1/6	1/6	Chord	3/4	1	1	1/12	1/8	2/3	2										
1	1	4/3	4/3	0.3333333333333333	1/3	1/3	Chord	3/4	1	1	1/12	1/8	2/3	3										
1	1	5/3	5/3	0.3333333333333333	5/12	5/12	Chord	3/4	1	1	1/12	1/8	2/3	4										
1	1	2	2	0.3333333333333333	1/2	1/2	Chord	3/4	1	1	1/12	1/8	2/3	5										
1	1	7/3	7/3	0.3333333333333333	7/12	7/12	Chord	3/4	1	1	1/12	1/8	2/3	6										
1	1	8/3	8/3	0.3333333333333333	2/3	2/3	Chord	3/4	1	1	1/12	1/8	2/3	7										
1	1	0	0	0.0	0	0	StaffText	3/4	2	1	0						leggiere e staccato							
1	1	0	0	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	8		articStaccatoAbove								
1	1	4/3	4/3	0.3333333333333333	1/3	1/3	Chord	3/4	2	1	1/12	1/8	2/3	9										
1	1	5/3	5/3	0.3333333333333333	5/12	5/12	Chord	3/4	2	1	1/12	1/8	2/3	10										
1	1	2	2	0.3333333333333333	1/2	1/2	Chord	3/4	2	1	1/12	1/8	2/3	11										
1	1	7/3	7/3	0.3333333333333333	7/12	7/12	Chord	3/4	2	1	1/12	1/8	2/3	12										
1	1	8/3	8/3	0.3333333333333333	2/3	2/3	Chord	3/4	2	1	1/12	1/8	2/3	13										
2	2	3	3	0.3333333333333333	0	0	Chord	3/4	1	1	1/12	1/8	2/3	14										
2	2	10/3	10/3	0.3333333333333333	1/12	1/12	Chord	3/4	1	1	1/12	1/8	2/3	15										
2	2	11/3	11/3	0.3333333333333333	1/6	1/6	Chord	3/4	1	1	1/12	1/8	2/3	16										
2	2	4	4	0.3333333333333333	1/4	1/4	Chord	3/4	1	1	1/12	1/8	2/3	17										
2	2	13/3	13/3	0.3333333333333333	1/3	1/3	Chord	3/4	1	1	1/12	1/8	2/3	18										
2	2	14/3	14/3	0.3333333333333333	5/12	5/12	Chord	3/4	1	1	1/12	1/8	2/3	19										
2	2	3	3	0.3333333333333333	0	0	Chord	3/4	2	1	1/12	1/8	2/3	20										
2	2	11/3	11/3	0.3333333333333333	1/6	1/6	Chord	3/4	2	1	1/12	1/8	2/3	21										
2	2	4	4	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	22		articStaccatoAbove								
2	2	5	5	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	23		articStaccatoAbove								
3	3	6	6	0.3333333333333333	0	0	Chord	3/4	1	1	1/12	1/8	2/3	24										
3	3	19/3	19/3	0.3333333333333333	1/12	1/12	Chord	3/4	1	1	1/12	1/8	2/3	25										
3	3	20/3	20/3	0.3333333333333333	1/6	1/6	Chord	3/4	1	1	1/12	1/8	2/3	26										
3	3	22/3	22/3	0.3333333333333333	1/3	1/3	Chord	3/4	1	1	1/12	1/8	2/3	27										
3	3	23/3	23/3	0.3333333333333333	5/12	5/12	Chord	3/4	1	1	1/12	1/8	2/3	28										
3	3	8	8	0.3333333333333333	1/2	1/2	Chord	3/4	1	1	1/12	1/8	2/3	29										
3	3	25/3	25/3	0.3333333333333333	7/12	7/12	Chord	3/4	1	1	1/12	1/8	2/3	30										
3	3	26/3	26/3	0.3333333333333333	2/3	2/3	Chord	3/4	1	1	1/12	1/8	2/3	31										
3	3	6	6	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	32		articStaccatoAbove								
3	3	22/3	22/3	0.3333333333333333	1/3	1/3	Chord	3/4	2	1	1/12	1/8	2/3	33										
3	3	23/3	23/3	0.3333333333333333	5/12	5/12	Chord	3/4	2	1	1/12	1/8	2/3	34										
3	3	8	8	0.3333333333333333	1/2	1/2	Chord	3/4	2	1	1/12	1/8	2/3	35										
3	3	25/3	25/3	0.3333333333333333	7/12	7/12	Chord	3/4	2	1	1/12	1/8	2/3	36										
3	3	26/3	26/3	0.3333333333333333	2/3	2/3	Chord	3/4	2	1	1/12	1/8	2/3	37										
4	4	9	9	0.3333333333333333	0	0	Chord	3/4	1	1	1/12	1/8	2/3	38										
4	4	28/3	28/3	0.3333333333333333	1/12	1/12	Chord	3/4	1	1	1/12	1/8	2/3	39										
4	4	29/3	29/3	0.3333333333333333	1/6	1/6	Chord	3/4	1	1	1/12	1/8	2/3	40										
4	4	10	10	0.3333333333333333	1/4	1/4	Chord	3/4	1	1	1/12	1/8	2/3	41										
4	4	31/3	31/3	0.3333333333333333	1/3	1/3	Chord	3/4	1	1	1/12	1/8	2/3	42										
4	4	32/3	32/3	0.3333333333333333	5/12	5/12	Chord	3/4	1	1	1/12	1/8	2/3	43										
4	4	9	9	0.3333333333333333	0	0	Chord	3/4	2	1	1/12	1/8	2/3	44										
4	4	29/3	29/3	0.3333333333333333	1/6	1/6	Chord	3/4	2	1	1/12	1/8	2/3	45										
4	4	10	10	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	46		articStaccatoBelow								
4	4	11	11	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	47		articStaccatoAbove								
5	5	12	12	0.0	0	0	Dynamic	3/4	1	1	0				mf									
5	5	12	12	0.3333333333333333	0	0	Chord	3/4	1	1	1/12	1/8	2/3	48										
5	5	37/3	37/3	0.3333333333333333	1/12	1/12	Chord	3/4	1	1	1/12	1/8	2/3	49										
5	5	38/3	38/3	0.3333333333333333	1/6	1/6	Chord	3/4	1	1	1/12	1/8	2/3	50										
5	5	40/3	40/3	0.3333333333333333	1/3	1/3	Chord	3/4	1	1	1/12	1/8	2/3	51										
5	5	41/3	41/3	0.3333333333333333	5/12	5/12	Chord	3/4	1	1	1/12	1/8	2/3	52										
5	5	14	14	0.3333333333333333	1/2	1/2	Chord	3/4	1	1	1/12	1/8	2/3	53										
5	5	43/3	43/3	0.3333333333333333	7/12	7/12	Chord	3/4	1	1	1/12	1/8	2/3	54										
5	5	44/3	44/3	0.3333333333333333	2/3	2/3	Chord	3/4	1	1	1/12	1/8	2/3	55										
