mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	tempo_visible	slur	decrescendo_hairpin	crescendo_hairpin	TextLine
1	0	0	0	0.0	0	7/8	Tempo	4/4	1	1	0							Allegrovivace	144.0	1.0				
1	0	0	0	0.0	0	7/8	Dynamic	4/4	2	1	0				mf									
1	0	0	0	0.0	0	7/8	Spanner	4/4	2	1	0													0
1	0	0	0	0.5	0	7/8	Chord	4/4	2	1	1/8	1/8	1	0		articStaccatoBelow								0
2	1	1/2	1/2	1.5	0	0	Chord	4/4	1	1	3/8	1/4	3/2	1										
2	1	5/2	5/2	1.5	1/2	1/2	Chord	4/4	1	1	3/8	1/4	3/2	2		articTenutoAbove								
2	1	1	1	0.25	1/8	1/8	Chord	4/4	1	2	1/16	1/16	1	3							0			
2	1	5/4	5/4	0.25	3/16	3/16	Chord	4/4	1	2	1/16	1/16	1	4							0			
2	1	3/2	3/2	0.5	1/4	1/4	Chord	4/4	1	2	1/8	1/8	1	5										
2	1	3	3	0.25	5/8	5/8	Chord	4/4	1	2	1/16	1/16	1	6							1			
2	1	13/4	13/4	0.25	11/16	11/16	Chord	4/4	1	2	1/16	1/16	1	7							1			
2	1	7/2	7/2	0.5	3/4	3/4	Chord	4/4	1	2	1/8	1/8	1	8										
2	1	1/2	1/2	0.0	0	0	Spanner	4/4	2	1	0													
2	1	1	1	0.25	1/8	1/8	Chord	4/4	2	1	1/16	1/16	1	9							2			
2	1	5/4	5/4	0.25	3/16	3/16	Chord	4/4	2	1	1/16	1/16	1	10							2			
2	1	3/2	3/2	0.5	1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	11										
2	1	2	2	0.0	3/8	3/8	Spanner	4/4	2	1	0													1
2	1	2	2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	12		articStaccatoAbove								1
2	1	3	3	0.25	5/8	5/8	Chord	4/4	2	1	1/16	1/16	1	13							3			1
2	1	13/4	13/4	0.25	11/16	11/16	Chord	4/4	2	1	1/16	1/16	1	14							3			1
2	1	7/2	7/2	0.5	3/4	3/4	Chord	4/4	2	1	1/8	1/8	1	15										1
2	1	4	4	0.0	7/8	7/8	Spanner	4/4	2	1	0													1, 2
2	1	4	4	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	16		articStaccatoAbove								1, 2
3	2	9/2	9/2	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	17										
3	2	5	5	0.25	1/8	1/8	Chord	4/4	1	2	1/16	1/16	1	18							4			
