mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	Ottava:8vb	Ottava:8va	decrescendo_hairpin
1	1	0	0	0.0	0	0	StaffText	9/8	1	1	0						Piu mosso. Agitato									
1	1	0	0	0.0	0	0	Dynamic	9/8	1	1	0				p											
1	1	0	0	0.0	0	0	Tempo	9/8	1	1	0							𝅘𝅥.=96	144.0	𝅘𝅥.	96.0	0.0				
1	1	0	0	0.5	0	0	Chord	9/8	1	1	1/8	1/8	1	0		articAccentAbove										
1	1	3/4	3/4	0.125	3/16	3/16	Chord	9/8	1	1	1/32	1/32	1	1									0			
1	1	7/8	7/8	0.125	7/32	7/32	Chord	9/8	1	1	1/32	1/32	1	2									0			
1	1	1	1	0.5	1/4	1/4	Chord	9/8	1	1	1/8	1/8	1	3		articStaccatoAbove										
1	1	3/2	3/2	0.5	3/8	3/8	Chord	9/8	1	1	1/8	1/8	1	4		articAccentAbove										
1	1	9/4	9/4	0.125	9/16	9/16	Chord	9/8	1	1	1/32	1/32	1	5									1			
1	1	19/8	19/8	0.125	19/32	19/32	Chord	9/8	1	1	1/32	1/32	1	6									1			
1	1	5/2	5/2	0.5	5/8	5/8	Chord	9/8	1	1	1/8	1/8	1	7		articStaccatoAbove										
1	1	3	3	0.5	3/4	3/4	Chord	9/8	1	1	1/8	1/8	1	8		articAccentAbove										
1	1	15/4	15/4	0.125	15/16	15/16	Chord	9/8	1	1	1/32	1/32	1	9									2			
1	1	31/8	31/8	0.125	31/32	31/32	Chord	9/8	1	1	1/32	1/32	1	10									2			
1	1	4	4	0.5	1	1	Chord	9/8	1	1	1/8	1/8	1	11		articStaccatoAbove										
1	1	0	0	0.5	0	0	Chord	9/8	2	1	1/8	1/8	1	12		articAccentBelow										
1	1	3/4	3/4	0.125	3/16	3/16	Chord	9/8	2	1	1/32	1/32	1	13									3			
1	1	7/8	7/8	0.125	7/32	7/32	Chord	9/8	2	1	1/32	1/32	1	14									3			
1	1	1	1	0.5	1/4	1/4	Chord	9/8	2	1	1/8	1/8	1	15		articStaccatoBelow										
1	1	3/2	3/2	0.5	3/8	3/8	Chord	9/8	2	1	1/8	1/8	1	16		articAccentBelow										
1	1	9/4	9/4	0.125	9/16	9/16	Chord	9/8	2	1	1/32	1/32	1	17									4			
1	1	19/8	19/8	0.125	19/32	19/32	Chord	9/8	2	1	1/32	1/32	1	18									4			
1	1	5/2	5/2	0.5	5/8	5/8	Chord	9/8	2	1	1/8	1/8	1	19		articStaccatoBelow										
1	1	3	3	0.5	3/4	3/4	Chord	9/8	2	1	1/8	1/8	1	20		articAccentBelow										
1	1	15/4	15/4	0.125	15/16	15/16	Chord	9/8	2	1	1/32	1/32	1	21									5			
1	1	31/8	31/8	0.125	31/32	31/32	Chord	9/8	2	1	1/32	1/32	1	22									5			
1	1	4	4	0.5	1	1	Chord	9/8	2	1	1/8	1/8	1	23		articStaccatoBelow										
1	1	0	0	0.0	0	0	Dynamic	9/8	3	1	0				p											
1	1	0	0	0.5	0	0	Chord	9/8	3	1	1/8	1/8	1	24		articAccentAbove										
1	1	3/4	3/4	0.25	3/16	3/16	Chord	9/8	3	1	1/16	1/16	1	25									6			
1	1	1	1	0.5	1/4	1/4	Chord	9/8	3	1	1/8	1/8	1	26		articStaccatoAbove										
1	1	3/2	3/2	0.5	3/8	3/8	Chord	9/8	3	1	1/8	1/8	1	27		articAccentAbove										
1	1	9/4	9/4	0.25	9/16	9/16	Chord	9/8	3	1	1/16	1/16	1	28									7			
1	1	5/2	5/2	0.5	5/8	5/8	Chord	9/8	3	1	1/8	1/8	1	29		articStaccatoAbove										
1	1	3	3	0.5	3/4	3/4	Chord	9/8	3	1	1/8	1/8	1	30		articAccentAbove										
1	1	15/4	15/4	0.25	15/16	15/16	Chord	9/8	3	1	1/16	1/16	1	31									8			
1	1	4	4	0.5	1	1	Chord	9/8	3	1	1/8	1/8	1	32		articStaccatoAbove										
1	1	0	0	0.5	0	0	Chord	9/8	4	1	1/8	1/8	1	33		articAccentBelow										
1	1	3/4	3/4	0.25	3/16	3/16	Chord	9/8	4	1	1/16	1/16	1	34									9			
1	1	1	1	0.5	1/4	1/4	Chord	9/8	4	1	1/8	1/8	1	35		articStaccatoBelow										
1	1	3/2	3/2	0.5	3/8	3/8	Chord	9/8	4	1	1/8	1/8	1	36		articAccentBelow										
