mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur
1	1	0	0	0.0	0	0	Dynamic	3/4	1	1	0				f								
1	1	0	0	0.0	0	0	StaffText	3/4	1	1	0						Allegro (ma non tanto)						
1	1	0	0	0.0	0	0	Tempo	3/4	1	1	0							𝅘𝅥=112	112.0	𝅘𝅥	112.0	0.0	
1	1	0	0	0.3333333333333333	0	0	Chord	3/4	1	1	1/12	1/8	2/3	0									
1	1	1/3	1/3	0.3333333333333333	1/12	1/12	Chord	3/4	1	1	1/12	1/8	2/3	1		articStaccatoAbove							
1	1	2/3	2/3	0.3333333333333333	1/6	1/6	Chord	3/4	1	1	1/12	1/8	2/3	2		articStaccatoAbove							
1	1	1	1	0.3333333333333333	1/4	1/4	Chord	3/4	1	1	1/12	1/8	2/3	3		articStaccatoAbove							
1	1	4/3	4/3	0.3333333333333333	1/3	1/3	Chord	3/4	1	1	1/12	1/8	2/3	4		articStaccatoAbove							
1	1	5/3	5/3	0.3333333333333333	5/12	5/12	Chord	3/4	1	1	1/12	1/8	2/3	5		articStaccatoAbove							
1	1	2	2	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	6		articTenutoAbove							
1	1	0	0	0.0	0	0	StaffText	3/4	2	1	0						marcato						
1	1	0	0	0.3333333333333333	0	0	Chord	3/4	2	1	1/12	1/8	2/3	7									
1	1	1/3	1/3	0.3333333333333333	1/12	1/12	Chord	3/4	2	1	1/12	1/8	2/3	8		articStaccatoAbove							
1	1	2/3	2/3	0.3333333333333333	1/6	1/6	Chord	3/4	2	1	1/12	1/8	2/3	9		articStaccatoAbove							
1	1	1	1	0.3333333333333333	1/4	1/4	Chord	3/4	2	1	1/12	1/8	2/3	10		articStaccatoAbove							
1	1	4/3	4/3	0.3333333333333333	1/3	1/3	Chord	3/4	2	1	1/12	1/8	2/3	11		articStaccatoAbove							
1	1	5/3	5/3	0.3333333333333333	5/12	5/12	Chord	3/4	2	1	1/12	1/8	2/3	12		articStaccatoAbove							
1	1	2	2	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	13		articTenutoAbove							
2	2	3	3	0.3333333333333333	0	0	Chord	2/4	1	1	1/12	1/8	2/3	14									
2	2	10/3	10/3	0.3333333333333333	1/12	1/12	Chord	2/4	1	1	1/12	1/8	2/3	15		articStaccatoAbove							
2	2	11/3	11/3	0.3333333333333333	1/6	1/6	Chord	2/4	1	1	1/12	1/8	2/3	16		articStaccatoAbove							
2	2	4	4	1.0	1/4	1/4	Chord	2/4	1	1	1/4	1/4	1	17		articTenutoAbove							
2	2	3	3	0.5	0	0	Chord	2/4	1	2	1/8	1/8	1	18									
2	2	3	3	0.3333333333333333	0	0	Chord	2/4	2	1	1/12	1/8	2/3	19									
2	2	10/3	10/3	0.3333333333333333	1/12	1/12	Chord	2/4	2	1	1/12	1/8	2/3	20		articStaccatoAbove							
2	2	11/3	11/3	0.3333333333333333	1/6	1/6	Chord	2/4	2	1	1/12	1/8	2/3	21		articStaccatoAbove							
2	2	4	4	1.0	1/4	1/4	Chord	2/4	2	1	1/4	1/4	1	22		articTenutoAbove							
2	2	3	3	0.5	0	0	Chord	2/4	2	2	1/8	1/8	1	23									
3	3	5	5	0.3333333333333333	0	0	Chord	3/4	1	1	1/12	1/8	2/3	24									
3	3	16/3	16/3	0.3333333333333333	1/12	1/12	Chord	3/4	1	1	1/12	1/8	2/3	25		articStaccatoAbove							
3	3	17/3	17/3	0.3333333333333333	1/6	1/6	Chord	3/4	1	1	1/12	1/8	2/3	26		articStaccatoAbove							
3	3	6	6	0.3333333333333333	1/4	1/4	Chord	3/4	1	1	1/12	1/8	2/3	27		articStaccatoAbove							
3	3	19/3	19/3	0.3333333333333333	1/3	1/3	Chord	3/4	1	1	1/12	1/8	2/3	28		articStaccatoAbove							
3	3	20/3	20/3	0.3333333333333333	5/12	5/12	Chord	3/4	1	1	1/12	1/8	2/3	29		articStaccatoAbove							
3	3	7	7	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	30		articTenutoAbove							
3	3	5	5	0.3333333333333333	0	0	Chord	3/4	2	1	1/12	1/8	2/3	31									
