mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	crescendo_hairpin	decrescendo_hairpin	crescendo_line	diminuendo_line
7	7	18	18	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	52													
7	7	19	19	2.0	1/4	1/4	Chord	3/4	2	1	1/2	1/2	1	53													
7	7	19	19	2.0	1/4	1/4	Chord	3/4	2	3	1/2	1/2	1	54													
8	8	21	21	3.0	0	0	Chord	3/4	1	1	3/4	1/2	3/2	55													
8	8	21	21	1.0	0	0	Chord	3/4	1	2	1/4	1/4	1	56									13				
8	8	22	22	0.0	1/4	1/4	Spanner	3/4	1	2	0												13		0		
8	8	22	22	1.0	1/4	1/4	Chord	3/4	1	2	1/4	1/4	1	57									13		0		
8	8	23	23	0.0	1/2	1/2	Spanner	3/4	1	2	0																
8	8	23	23	1.0	1/2	1/2	Chord	3/4	1	2	1/4	1/4	1	58													
8	8	21	21	3.0	0	0	Chord	3/4	2	1	3/4	1/2	3/2	59													
8	8	21	21	1.0	0	0	Chord	3/4	2	3	1/4	1/4	1	60													
8	8	22	22	0.5	1/4	1/4	Chord	3/4	2	3	1/8	1/8	1	61									14				
8	8	45/2	45/2	0.5	3/8	3/8	Chord	3/4	2	3	1/8	1/8	1	62									14				
8	8	23	23	1.0	1/2	1/2	Chord	3/4	2	3	1/4	1/4	1	63													
9	9	24	24	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	64													
9	9	25	25	1.5	1/4	1/4	Chord	3/4	1	1	3/8	1/4	3/2	65		articTenutoAbove							15				
9	9	53/2	53/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	66									15				
9	9	24	24	0.0	0	0	Dynamic	3/4	1	2	0				p												
9	9	24	24	2.0	0	0	Chord	3/4	1	2	1/2	1/2	1	67													
9	9	26	26	0.0	1/2	1/2	Spanner	3/4	1	2	0													1			
9	9	26	26	1.0	1/2	1/2	Chord	3/4	1	2	1/4	1/4	1	68										1			
9	9	24	24	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	69									16				
9	9	26	26	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	70													
10	10	27	27	2.0	0	0	Chord	3/4	1	1	1/2	1/2	1	71													
10	10	29	29	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	72		articTenutoAbove											
10	10	27	27	0.0	0	0	Spanner	3/4	1	2	0																
10	10	27	27	3.0	0	0	Chord	3/4	1	2	3/4	1/2	3/2	73													
10	10	27	27	3.0	0	0	Chord	3/4	2	1	3/4	1/2	3/2	74													
11	11	30	30	0.0	0	0	Spanner	3/4	1	1	0															1	
11	11	30	30	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	75		articTenutoAbove										1	
11	11	31	31	1.5	1/4	1/4	Chord	3/4	1	1	3/8	1/4	3/2	76		articTenutoAbove							17			1	
11	11	65/2	65/2	0.25	5/8	5/8	Chord	3/4	1	1	1/16	1/16	1	77									17			1	
11	11	131/4	131/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16	1/16	1	78												1	
11	11	30	30	2.0	0	0	Chord	3/4	1	2	1/2	1/2	1	79												1	
11	11	32	32	1.0	1/2	1/2	Chord	3/4	1	2	1/4	1/4	1	80												1	
11	11	30	30	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	81													
11	11	32	32	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	82													
12	12	33	33	0.0	0	0	Spanner	3/4	1	1	0																
12	12	33	33	2.0	0	0	Chord	3/4	1	1	1/2	1/2	1	83													
12	12	35	35	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	84													
12	12	33	33	1.0	0	0	Chord	3/4	1	2	1/4	1/4	1	85									18				
12	12	34	34	1.0	1/4	1/4	Chord	3/4	1	2	1/4	1/4	1	86									18				
12	12	35	35	1.0	1/2	1/2	Chord	3/4	1	2	1/4	1/4	1	87													
12	12	33	33	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	88													
12	12	35	35	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	89													
13	13	36	36	1.5	0	0	Chord	3/4	1	1	3/8	1/4	3/2	90									19				
13	13	75/2	75/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	91													
13	13	38	38	0.3333333333333333	1/2	1/2	Chord	3/4	1	1	1/12	1/8	2/3	92									20				
13	13	115/3	115/3	0.3333333333333333	7/12	7/12	Chord	3/4	1	1	1/12	1/8	2/3	93									20				
13	13	116/3	116/3	0.3333333333333333	2/3	2/3	Chord	3/4	1	1	1/12	1/8	2/3	94									20				
13	13	36	36	0.0	0	0	Dynamic	3/4	1	2	0				f												
13	13	36	36	2.0	0	0	Chord	3/4	1	2	1/2	1/2	1	95													
13	13	36	36	1.0	0	0	Chord	3/4	1	3	1/4	1/4	1	96													
13	13	37	37	0.5	1/4	1/4	Chord	3/4	1	3	1/8	1/8	1	97													
13	13	75/2	75/2	0.5	3/8	3/8	Chord	3/4	1	3	1/8	1/8	1	98													
13	13	38	38	1.0	1/2	1/2	Chord	3/4	1	3	1/4	1/4	1	99													
13	13	36	36	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	100													
13	13	38	38	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	101													
14	14	39	39	1.5	0	0	Chord	3/4	1	1	3/8	1/4	3/2	102													
14	14	81/2	81/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	103									21				
14	14	41	41	0.5	1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	104									21				
14	14	83/2	83/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	105													
14	14	39	39	1.0	0	0	Chord	3/4	1	2	1/4	1/4	1	106									22				
14	14	40	40	0.5	1/4	1/4	Chord	3/4	1	2	1/8	1/8	1	107		articTenutoBelow							22				
14	14	81/2	81/2	0.5	3/8	3/8	Chord	3/4	1	2	1/8	1/8	1	108		articTenutoBelow											
14	14	41	41	0.0	1/2	1/2	Spanner	3/4	1	2	0														1		
14	14	41	41	1.0	1/2	1/2	Chord	3/4	1	2	1/4	1/4	1	109											1		
14	14	39	39	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	110									23				
14	14	41	41	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	111													
14	14	39	39	1.0	0	0	Chord	3/4	2	2	1/4	1/4	1	112									24				
14	14	40	40	2.0	1/4	1/4	Chord	3/4	2	2	1/2	1/2	1	113													
15	15	42	42	0.0	0	0	Spanner	3/4	1	1	0																0
15	15	42	42	0.5	0	0	Chord	3/4	1	1	1/8	1/8	1	114									25				0
15	15	85/2	85/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	115									25				0
15	15	43	43	1.5	1/4	1/4	Chord	3/4	1	1	3/8	1/4	3/2	116		articTenutoAbove							25				0
15	15	89/2	89/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	117													0
15	15	42	42	0.0	0	0	Spanner	3/4	1	2	0																0
15	15	42	42	1.0	0	0	Chord	3/4	1	2	1/4	1/4	1	118									26				0
15	15	43	43	1.0	1/4	1/4	Chord	3/4	1	2	1/4	1/4	1	119									26				0
15	15	44	44	1.0	1/2	1/2	Chord	3/4	1	2	1/4	1/4	1	120													0
15	15	42	42	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	121													
15	15	43	43	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	122													
15	15	44	44	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	123													
16	16	45	45	0.0	0	0	Spanner	3/4	1	1	0																
16	16	45	45	2.0	0	0	Chord	3/4	1	1	1/2	1/2	1	124													
16	16	45	45	1.0	0	0	Chord	3/4	1	2	1/4	1/4	1	125									27				
16	16	46	46	0.6666666666666666	1/4	1/4	Chord	3/4	1	2	1/6	1/4	2/3	126													
16	16	140/3	140/3	0.3333333333333333	5/12	5/12	Chord	3/4	1	2	1/12	1/8	2/3	127													
16	16	47	47	0.3333333333333333	1/2	1/2	Chord	3/4	1	2	1/12	1/8	2/3	128													
16	16	142/3	142/3	0.3333333333333333	7/12	7/12	Chord	3/4	1	2	1/12	1/8	2/3	129													
16	16	143/3	143/3	0.3333333333333333	2/3	2/3	Chord	3/4	1	2	1/12	1/8	2/3	130													
16	16	45	45	0.0	0	0	Dynamic	3/4	2	1	0				p												
16	16	45	45	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	131													
