mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	crescendo_line	decrescendo_hairpin	crescendo_hairpin	diminuendo_line
5	5	21	21	0.5	3/4	3/4	Chord	9/8	2	1	1/8		1/8	1	88									20				
5	5	43/2	43/2	0.5	7/8	7/8	Chord	9/8	2	1	1/8		1/8	1	89									20				
5	5	22	22	0.5	1	1	Chord	9/8	2	1	1/8		1/8	1	90													
5	5	18	18	1.0	0	0	Chord	9/8	2	2	1/4		1/4	1	91													
5	5	39/2	39/2	1.0	3/8	3/8	Chord	9/8	2	2	1/4		1/4	1	92													
5	5	21	21	1.0	3/4	3/4	Chord	9/8	2	2	1/4		1/4	1	93													
6	6	45/2	45/2	0.5	0	0	Chord	9/8	1	1	1/8		1/8	1	94									21				
6	6	23	23	0.5	1/8	1/8	Chord	9/8	1	1	1/8		1/8	1	95									21				
6	6	47/2	47/2	0.5	1/4	1/4	Chord	9/8	1	1	1/8		1/8	1	96									21				
6	6	24	24	1.5	3/8	3/8	Chord	9/8	1	1	3/8		1/4	3/2	97									21				
6	6	51/2	51/2	0.5	3/4	3/4	Chord	9/8	1	1	1/8		1/8	1	98									21				
6	6	26	26	0.5	7/8	7/8	Chord	9/8	1	1	1/8		1/8	1	99									21				
6	6	53/2	53/2	0.5	1	1	Chord	9/8	1	1	1/8		1/8	1	100													
6	6	45/2	45/2	0.5	0	0	Chord	9/8	2	1	1/8		1/8	1	101									22				
6	6	23	23	0.5	1/8	1/8	Chord	9/8	2	1	1/8		1/8	1	102									22				
6	6	47/2	47/2	0.5	1/4	1/4	Chord	9/8	2	1	1/8		1/8	1	103													
6	6	24	24	0.5	3/8	3/8	Chord	9/8	2	1	1/8		1/8	1	104									23				
6	6	49/2	49/2	0.5	1/2	1/2	Chord	9/8	2	1	1/8		1/8	1	105									23				
6	6	25	25	0.5	5/8	5/8	Chord	9/8	2	1	1/8		1/8	1	106													
6	6	51/2	51/2	0.5	3/4	3/4	Chord	9/8	2	1	1/8		1/8	1	107									24				
6	6	26	26	0.5	7/8	7/8	Chord	9/8	2	1	1/8		1/8	1	108									24				
6	6	53/2	53/2	0.5	1	1	Chord	9/8	2	1	1/8		1/8	1	109													
6	6	45/2	45/2	1.0	0	0	Chord	9/8	2	2	1/4		1/4	1	110													
6	6	24	24	1.0	3/8	3/8	Chord	9/8	2	2	1/4		1/4	1	111													
6	6	51/2	51/2	1.0	3/4	3/4	Chord	9/8	2	2	1/4		1/4	1	112													
7	7	27	27	0.0	0	0	Dynamic	9/8	1	1	0					p												
7	7	27	27	0.5	0	0	Chord	9/8	1	1	1/8		1/8	1	113		articTenutoAbove							25				
7	7	55/2	55/2	0.5	1/8	1/8	Chord	9/8	1	1	1/8		1/8	1	114									25				
7	7	28	28	0.5	1/4	1/4	Chord	9/8	1	1	1/8		1/8	1	115									25				
7	7	57/2	57/2	0.0	3/8	3/8	Spanner	9/8	1	1	0													25			0	
7	7	57/2	57/2	0.5	3/8	3/8	Chord	9/8	1	1	1/8		1/8	1	116									25			0	
7	7	29	29	1.0	1/2	1/2	Chord	9/8	1	1	1/4		1/4	1	117		articTenutoAbove							25			0	
7	7	30	30	0.0	3/4	3/4	Spanner	9/8	1	1	0													25				
7	7	30	30	0.0	3/4	3/4	Spanner	9/8	1	1	0													25		0		
7	7	30	30	0.5	3/4	3/4	Chord	9/8	1	1	1/8		1/8	1	118									25		0		
7	7	61/2	61/2	0.25	7/8	7/8	Chord	9/8	1	1	1/16		1/16	1	119									25		0		
7	7	123/4	123/4	0.0	15/16	15/16	Spanner	9/8	1	1	0													25				
7	7	123/4	123/4	0.25	15/16	15/16	Chord	9/8	1	1	1/16		1/16	1	120									25				
7	7	31	31	0.25	1	1	Chord	9/8	1	1	1/16		1/16	1	121									25				
7	7	125/4	125/4	0.25	17/16	17/16	Chord	9/8	1	1	1/16		1/16	1	122													
7	7	27	27	0.5	0	0	Chord	9/8	2	1	1/8		1/8	1	123									26				
7	7	55/2	55/2	0.5	1/8	1/8	Chord	9/8	2	1	1/8		1/8	1	124									26				
7	7	28	28	0.5	1/4	1/4	Chord	9/8	2	1	1/8		1/8	1	125													
7	7	57/2	57/2	0.5	3/8	3/8	Chord	9/8	2	1	1/8		1/8	1	126									27				
7	7	29	29	0.5	1/2	1/2	Chord	9/8	2	1	1/8		1/8	1	127									27				
7	7	59/2	59/2	0.5	5/8	5/8	Chord	9/8	2	1	1/8		1/8	1	128													
7	7	30	30	0.5	3/4	3/4	Chord	9/8	2	1	1/8		1/8	1	129									28				
7	7	61/2	61/2	0.5	7/8	7/8	Chord	9/8	2	1	1/8		1/8	1	130									28				
7	7	31	31	0.5	1	1	Chord	9/8	2	1	1/8		1/8	1	131													
7	7	27	27	1.5	0	0	Chord	9/8	2	2	3/8		1/4	3/2	132													
7	7	57/2	57/2	1.5	3/8	3/8	Chord	9/8	2	2	3/8		1/4	3/2	133													
7	7	30	30	1.5	3/4	3/4	Chord	9/8	2	2	3/8		1/4	3/2	134													
8	8	63/2	63/2	0.5	0	0	Chord	9/8	1	1	1/8		1/8	1	135									29				
8	8	32	32	0.5	1/8	1/8	Chord	9/8	1	1	1/8		1/8	1	136									29				
8	8	65/2	65/2	0.5	1/4	1/4	Chord	9/8	1	1	1/8		1/8	1	137									29				
8	8	33	33	0.0	3/8	3/8	Spanner	9/8	1	1	0													29			1	
8	8	33	33	0.5	3/8	3/8	Chord	9/8	1	1	1/8		1/8	1	138									29			1	
8	8	67/2	67/2	1.0	1/2	1/2	Chord	9/8	1	1	1/4		1/4	1	139		articTenutoAbove							29			1	
8	8	69/2	69/2	0.0	3/4	3/4	Spanner	9/8	1	1	0													29				
8	8	69/2	69/2	0.0	3/4	3/4	Spanner	9/8	1	1	0													29		1		
8	8	69/2	69/2	0.5	3/4	3/4	Chord	9/8	1	1	1/8		1/8	1	140									29		1		
8	8	35	35	0.25	7/8	7/8	Chord	9/8	1	1	1/16		1/16	1	141									29		1		
8	8	141/4	141/4	0.0	15/16	15/16	Spanner	9/8	1	1	0													29				
8	8	141/4	141/4	0.25	15/16	15/16	Chord	9/8	1	1	1/16		1/16	1	142									29				
8	8	71/2	71/2	0.0	1	1	Spanner	9/8	1	1	0													29			2	
8	8	71/2	71/2	0.25	1	1	Chord	9/8	1	1	1/16		1/16	1	143									29			2	
8	8	143/4	143/4	0.25	17/16	17/16	Chord	9/8	1	1	1/16		1/16	1	144												2	
8	8	63/2	63/2	0.5	0	0	Chord	9/8	2	1	1/8		1/8	1	145									30				
8	8	32	32	0.5	1/8	1/8	Chord	9/8	2	1	1/8		1/8	1	146									30				
8	8	65/2	65/2	0.5	1/4	1/4	Chord	9/8	2	1	1/8		1/8	1	147													
8	8	33	33	0.5	3/8	3/8	Chord	9/8	2	1	1/8		1/8	1	148									31				
8	8	67/2	67/2	0.5	1/2	1/2	Chord	9/8	2	1	1/8		1/8	1	149									31				
8	8	34	34	0.5	5/8	5/8	Chord	9/8	2	1	1/8		1/8	1	150													
8	8	69/2	69/2	0.5	3/4	3/4	Chord	9/8	2	1	1/8		1/8	1	151									32				
8	8	35	35	0.5	7/8	7/8	Chord	9/8	2	1	1/8		1/8	1	152									32				
8	8	71/2	71/2	0.0	1	1	StaffText	9/8	2	1	0							cresc.										
8	8	71/2	71/2	0.5	1	1	Chord	9/8	2	1	1/8		1/8	1	153													
8	8	63/2	63/2	1.5	0	0	Chord	9/8	2	2	3/8		1/4	3/2	154													
8	8	33	33	1.5	3/8	3/8	Chord	9/8	2	2	3/8		1/4	3/2	155													
8	8	69/2	69/2	1.5	3/4	3/4	Chord	9/8	2	2	3/8		1/4	3/2	156													
9	9	36	36	0.0	0	0	Spanner	6/8	1	1	0																	
9	9	36	36	1.5	0	0	Chord	6/8	1	1	3/8		1/4	3/2	157		articTenutoAbove							33				
9	9	75/2	75/2	0.5	3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	158									33				
9	9	38	38	0.0	1/2	1/2	Spanner	6/8	1	1	0													33			3	
9	9	38	38	0.25	1/2	1/2	Chord	6/8	1	1	1/16		1/16	1	159									33			3	
9	9	153/4	153/4	0.25	9/16	9/16	Chord	6/8	1	1	1/16		1/16	1	160									33			3	
9	9	77/2	77/2	0.25	5/8	5/8	Chord	6/8	1	1	1/16		1/16	1	161									33			3	
9	9	155/4	155/4	0.25	11/16	11/16	Chord	6/8	1	1	1/16		1/16	1	162												3	
9	9	36	36	0.0	0	0	Spanner	6/8	2	1	0															2		
9	9	36	36	0.5	0	0	Chord	6/8	2	1	1/8		1/8	1	163									34		2		
9	9	73/2	73/2	0.5	1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	164									34		2		
9	9	37	37	0.0	1/4	1/4	Spanner	6/8	2	1	0																	
9	9	37	37	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	165													
9	9	75/2	75/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	166									35				
9	9	38	38	0.5	1/2	1/2	Chord	6/8	2	1	1/8		1/8	1	167									35				
9	9	77/2	77/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	168													
9	9	36	36	1.5	0	0	Chord	6/8	2	2	3/8		1/4	3/2	169													
9	9	75/2	75/2	1.5	3/8	3/8	Chord	6/8	2	2	3/8		1/4	3/2	170													
10	10	39	39	0.0	0	0	Dynamic	6/8	1	1	0					mf												
10	10	39	39	0.0	0	0	Spanner	6/8	1	1	0																	
10	10	39	39	1.5	0	0	Chord	6/8	1	1	3/8		1/4	3/2	171		articTenutoAbove							36				
10	10	81/2	81/2	0.5	3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	172									36				
10	10	41	41	0.0	1/2	1/2	Spanner	6/8	1	1	0													36			4	
10	10	41	41	0.5	1/2	1/2	Chord	6/8	1	1	1/8		1/8	1	173									36			4	
10	10	83/2	83/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	174												4	
10	10	39	39	0.0	0	0	Spanner	6/8	2	1	0															3		
10	10	39	39	0.5	0	0	Chord	6/8	2	1	1/8		1/8	1	175									37		3		
10	10	79/2	79/2	0.5	1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	176									37		3		
10	10	40	40	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	177											3		
10	10	81/2	81/2	0.0	3/8	3/8	Spanner	6/8	2	1	0																	
10	10	81/2	81/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	178									38				
10	10	41	41	0.5	1/2	1/2	Chord	6/8	2	1	1/8		1/8	1	179									38				
10	10	83/2	83/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	180													
10	10	39	39	1.5	0	0	Chord	6/8	2	2	3/8		1/4	3/2	181													
10	10	81/2	81/2	1.5	3/8	3/8	Chord	6/8	2	2	3/8		1/4	3/2	182													
11	11	42	42	0.0	0	0	Spanner	6/8	1	1	0																	
11	11	42	42	1.5	0	0	Chord	6/8	1	1	3/8		1/4	3/2	183		articTenutoAbove							39				
11	11	87/2	87/2	0.5	3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	184									39				
11	11	44	44	0.0	1/2	1/2	Spanner	6/8	1	1	0													39			5	
11	11	44	44	0.5	1/2	1/2	Chord	6/8	1	1	1/8		1/8	1	185									39			5	
11	11	89/2	89/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	186												5	
11	11	42	42	0.0	0	0	Spanner	6/8	2	1	0															4		
11	11	42	42	0.5	0	0	Chord	6/8	2	1	1/8		1/8	1	187									40		4		
11	11	85/2	85/2	0.5	1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	188									40		4		
11	11	43	43	0.0	1/4	1/4	Spanner	6/8	2	1	0																	
11	11	43	43	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	189													
11	11	87/2	87/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	190									41				
11	11	44	44	0.5	1/2	1/2	Chord	6/8	2	1	1/8		1/8	1	191									41				
11	11	89/2	89/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	192													
11	11	42	42	1.5	0	0	Chord	6/8	2	2	3/8		1/4	3/2	193													
11	11	87/2	87/2	1.5	3/8	3/8	Chord	6/8	2	2	3/8		1/4	3/2	194													
12	12	45	45	0.0	0	0	Spanner	6/8	1	1	0																	
12	12	45	45	0.0	0	0	Spanner	6/8	1	1	0																	0
12	12	45	45	0.5	0	0	Chord	6/8	1	1	1/8		1/8	1	195									42				0
12	12	91/2	91/2	0.5	1/8	1/8	Chord	6/8	1	1	1/8		1/8	1	196									42				0
12	12	46	46	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	197									42				0
12	12	93/2	93/2	0.0	3/8	3/8	StaffText	6/8	1	1	0							rit.						42				0
12	12	93/2	93/2	0.5	3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	198									42				0
12	12	47	47	0.25	1/2	1/2	Chord	6/8	1	1	1/16		1/16	1	199									42				0
12	12	189/4	189/4	0.25	9/16	9/16	Chord	6/8	1	1	1/16		1/16	1	200									42				0
12	12	95/2	95/2	0.25	5/8	5/8	Chord	6/8	1	1	1/16		1/16	1	201									42				0
12	12	191/4	191/4	0.25	11/16	11/16	Chord	6/8	1	1	1/16		1/16	1	202									42				0
12	12	45	45	0.5	0	0	Chord	6/8	2	1	1/8		1/8	1	203									43				
12	12	91/2	91/2	0.5	1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	204									43				
12	12	46	46	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	205													
12	12	93/2	93/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	206									44				
12	12	47	47	0.5	1/2	1/2	Chord	6/8	2	1	1/8		1/8	1	207									44				
12	12	95/2	95/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	208													
12	12	45	45	1.5	0	0	Chord	6/8	2	2	3/8		1/4	3/2	209													
12	12	93/2	93/2	1.5	3/8	3/8	Chord	6/8	2	2	3/8		1/4	3/2	210													
13	13	48	48	0.0	0	0	Dynamic	9/8	1	1	0					p												
13	13	48	48	0.0	0	0	Spanner	9/8	1	1	0																	
13	13	48	48	0.5	0	0	Chord	9/8	1	1	1/8		1/8	1	211													
13	13	97/2	97/2	1.0	1/8	1/8	Chord	9/8	1	1	1/4		1/4	1	212									45				
13	13	99/2	99/2	1.0	3/8	3/8	Chord	9/8	1	1	1/4		1/4	1	213									45				
13	13	101/2	101/2	0.5	5/8	5/8	Chord	9/8	1	1	1/8		1/8	1	214									45				
13	13	51	51	0.5	3/4	3/4	Chord	9/8	1	1	1/8		1/8	1	215									45				
13	13	103/2	103/2	0.5	7/8	7/8	Chord	9/8	1	1	1/8		1/8	1	216									45				
13	13	52	52	0.5	1	1	Chord	9/8	1	1	1/8		1/8	1	217													
13	13	48	48	0.5	0	0	Chord	9/8	2	1	1/8		1/8	1	218									46				
13	13	97/2	97/2	0.5	1/8	1/8	Chord	9/8	2	1	1/8		1/8	1	219									46				
13	13	49	49	0.5	1/4	1/4	Chord	9/8	2	1	1/8		1/8	1	220													
13	13	99/2	99/2	0.5	3/8	3/8	Chord	9/8	2	1	1/8		1/8	1	221									47				
13	13	50	50	0.5	1/2	1/2	Chord	9/8	2	1	1/8		1/8	1	222									47				
13	13	101/2	101/2	0.5	5/8	5/8	Chord	9/8	2	1	1/8		1/8	1	223													
13	13	51	51	0.5	3/4	3/4	Chord	9/8	2	1	1/8		1/8	1	224									48				
13	13	103/2	103/2	0.5	7/8	7/8	Chord	9/8	2	1	1/8		1/8	1	225									48				
13	13	52	52	0.5	1	1	Chord	9/8	2	1	1/8		1/8	1	226													
13	13	48	48	1.0	0	0	Chord	9/8	2	2	1/4		1/4	1	227													
13	13	99/2	99/2	1.0	3/8	3/8	Chord	9/8	2	2	1/4		1/4	1	228													
13	13	51	51	1.0	3/4	3/4	Chord	9/8	2	2	1/4		1/4	1	229													
14	14	105/2	105/2	0.5	0	0	Chord	9/8	1	1	1/8		1/8	1	230									49				
14	14	53	53	0.5	1/8	1/8	Chord	9/8	1	1	1/8		1/8	1	231									49				
14	14	107/2	107/2	0.5	1/4	1/4	Chord	9/8	1	1	1/8		1/8	1	232									49				
14	14	54	54	1.5	3/8	3/8	Chord	9/8	1	1	3/8		1/4	3/2	233													
14	14	111/2	111/2	0.5	3/4	3/4	Chord	9/8	1	1	1/8		1/8	1	234													
14	14	56	56	0.5	7/8	7/8	Chord	9/8	1	1	1/8		1/8	1	235									50				
14	14	113/2	113/2	0.5	1	1	Chord	9/8	1	1	1/8		1/8	1	236									50				
14	14	105/2	105/2	0.5	0	0	Chord	9/8	2	1	1/8		1/8	1	237									51				
14	14	53	53	0.5	1/8	1/8	Chord	9/8	2	1	1/8		1/8	1	238									51				
14	14	107/2	107/2	0.5	1/4	1/4	Chord	9/8	2	1	1/8		1/8	1	239													
14	14	54	54	0.5	3/8	3/8	Chord	9/8	2	1	1/8		1/8	1	240									52				
14	14	109/2	109/2	0.5	1/2	1/2	Chord	9/8	2	1	1/8		1/8	1	241									52				
14	14	55	55	0.5	5/8	5/8	Chord	9/8	2	1	1/8		1/8	1	242													
14	14	111/2	111/2	0.5	3/4	3/4	Chord	9/8	2	1	1/8		1/8	1	243									53				
14	14	56	56	0.5	7/8	7/8	Chord	9/8	2	1	1/8		1/8	1	244									53				
14	14	113/2	113/2	0.5	1	1	Chord	9/8	2	1	1/8		1/8	1	245													
14	14	105/2	105/2	1.0	0	0	Chord	9/8	2	2	1/4		1/4	1	246													
14	14	54	54	1.0	3/8	3/8	Chord	9/8	2	2	1/4		1/4	1	247													
14	14	111/2	111/2	1.0	3/4	3/4	Chord	9/8	2	2	1/4		1/4	1	248													
15	15	57	57	1.5	0	0	Chord	9/8	1	1	3/8		1/4	3/2	249													
15	15	117/2	117/2	0.5	3/8	3/8	Chord	9/8	1	1	1/8		1/8	1	250													
15	15	59	59	0.5	1/2	1/2	Chord	9/8	1	1	1/8		1/8	1	251									54				
15	15	119/2	119/2	0.5	5/8	5/8	Chord	9/8	1	1	1/8		1/8	1	252									54				
15	15	60	60	0.5	3/4	3/4	Chord	9/8	1	1	1/8		1/8	1	253									54				
15	15	121/2	121/2	0.5	7/8	7/8	Chord	9/8	1	1	1/8		1/8	1	254									54				
15	15	61	61	0.5	1	1	Chord	9/8	1	1	1/8		1/8	1	255													
