mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	crescendo_line	decrescendo_hairpin	crescendo_hairpin	diminuendo_line
1	1	0	0	0.0	0	0	Dynamic	9/8	1	1	0					p												
1	1	0	0	0.0	0	0	StaffText	9/8	1	1	0							L'istesso tempo 										
1	1	0	0	0.0	0	0	StaffText	9/8	1	1	0							dolcissimo										
1	1	0	0	0.0	0	0	Tempo	9/8	1	1	0								𝅘𝅥.=90	135.0	𝅘𝅥.	90.0	0.0					
1	1	0	0	1.5	0	0	Chord	9/8	1	1	3/8		1/4	3/2	0									0				
1	1	3/2	3/2	1.0	3/8	3/8	Chord	9/8	1	1	1/4		1/4	1	1									0				
1	1	5/2	5/2	0.5	5/8	5/8	Chord	9/8	1	1	1/8		1/8	1	2									0				
1	1	3	3	0.5	3/4	3/4	Chord	9/8	1	1	1/8		1/8	1	3									0				
1	1	7/2	7/2	0.5	7/8	7/8	Chord	9/8	1	1	1/8		1/8	1	4									0				
1	1	4	4	0.5	1	1	Chord	9/8	1	1	1/8		1/8	1	5													
1	1	0	0	0.5	0	0	Chord	9/8	2	1	1/8		1/8	1	6									1				
1	1	1/2	1/2	0.5	1/8	1/8	Chord	9/8	2	1	1/8		1/8	1	7									1				
1	1	1	1	0.5	1/4	1/4	Chord	9/8	2	1	1/8		1/8	1	8													
1	1	3/2	3/2	0.5	3/8	3/8	Chord	9/8	2	1	1/8		1/8	1	9									2				
1	1	2	2	0.5	1/2	1/2	Chord	9/8	2	1	1/8		1/8	1	10									2				
1	1	5/2	5/2	0.5	5/8	5/8	Chord	9/8	2	1	1/8		1/8	1	11													
1	1	3	3	0.5	3/4	3/4	Chord	9/8	2	1	1/8		1/8	1	12									3				
1	1	7/2	7/2	0.5	7/8	7/8	Chord	9/8	2	1	1/8		1/8	1	13									3				
1	1	4	4	0.5	1	1	Chord	9/8	2	1	1/8		1/8	1	14													
1	1	0	0	1.0	0	0	Chord	9/8	2	2	1/4		1/4	1	15													
1	1	3/2	3/2	1.0	3/8	3/8	Chord	9/8	2	2	1/4		1/4	1	16													
1	1	3	3	1.0	3/4	3/4	Chord	9/8	2	2	1/4		1/4	1	17													
2	2	9/2	9/2	0.5	0	0	Chord	9/8	1	1	1/8		1/8	1	18									4				
2	2	5	5	0.5	1/8	1/8	Chord	9/8	1	1	1/8		1/8	1	19									4				
2	2	11/2	11/2	0.5	1/4	1/4	Chord	9/8	1	1	1/8		1/8	1	20									4				
2	2	6	6	1.5	3/8	3/8	Chord	9/8	1	1	3/8		1/4	3/2	21													
2	2	15/2	15/2	0.5	3/4	3/4	Chord	9/8	1	1	1/8		1/8	1	22													
2	2	8	8	0.5	7/8	7/8	Chord	9/8	1	1	1/8		1/8	1	23									5				
2	2	17/2	17/2	0.5	1	1	Chord	9/8	1	1	1/8		1/8	1	24									5				
2	2	9/2	9/2	0.5	0	0	Chord	9/8	2	1	1/8		1/8	1	25									6				
2	2	5	5	0.5	1/8	1/8	Chord	9/8	2	1	1/8		1/8	1	26									6				
2	2	11/2	11/2	0.5	1/4	1/4	Chord	9/8	2	1	1/8		1/8	1	27													
2	2	6	6	0.5	3/8	3/8	Chord	9/8	2	1	1/8		1/8	1	28									7				
2	2	13/2	13/2	0.5	1/2	1/2	Chord	9/8	2	1	1/8		1/8	1	29									7				
2	2	7	7	0.5	5/8	5/8	Chord	9/8	2	1	1/8		1/8	1	30													
2	2	15/2	15/2	0.5	3/4	3/4	Chord	9/8	2	1	1/8		1/8	1	31									8				
2	2	8	8	0.5	7/8	7/8	Chord	9/8	2	1	1/8		1/8	1	32									8				
2	2	17/2	17/2	0.5	1	1	Chord	9/8	2	1	1/8		1/8	1	33													
2	2	9/2	9/2	1.0	0	0	Chord	9/8	2	2	1/4		1/4	1	34													
2	2	6	6	1.0	3/8	3/8	Chord	9/8	2	2	1/4		1/4	1	35													
2	2	15/2	15/2	1.0	3/4	3/4	Chord	9/8	2	2	1/4		1/4	1	36													
3	3	9	9	1.5	0	0	Chord	9/8	1	1	3/8		1/4	3/2	37													
3	3	21/2	21/2	0.5	3/8	3/8	Chord	9/8	1	1	1/8		1/8	1	38													
3	3	11	11	0.5	1/2	1/2	Chord	9/8	1	1	1/8		1/8	1	39									9				
3	3	23/2	23/2	0.5	5/8	5/8	Chord	9/8	1	1	1/8		1/8	1	40									9				
3	3	12	12	0.5	3/4	3/4	Chord	9/8	1	1	1/8		1/8	1	41									9				
3	3	25/2	25/2	0.5	7/8	7/8	Chord	9/8	1	1	1/8		1/8	1	42									9				
3	3	13	13	0.5	1	1	Chord	9/8	1	1	1/8		1/8	1	43													
3	3	9	9	0.5	0	0	Chord	9/8	2	1	1/8		1/8	1	44									10				
3	3	19/2	19/2	0.5	1/8	1/8	Chord	9/8	2	1	1/8		1/8	1	45									10				
3	3	10	10	0.5	1/4	1/4	Chord	9/8	2	1	1/8		1/8	1	46													
3	3	21/2	21/2	0.5	3/8	3/8	Chord	9/8	2	1	1/8		1/8	1	47									11				
3	3	11	11	0.5	1/2	1/2	Chord	9/8	2	1	1/8		1/8	1	48									11				
3	3	23/2	23/2	0.5	5/8	5/8	Chord	9/8	2	1	1/8		1/8	1	49													
3	3	12	12	0.5	3/4	3/4	Chord	9/8	2	1	1/8		1/8	1	50									12				
3	3	25/2	25/2	0.5	7/8	7/8	Chord	9/8	2	1	1/8		1/8	1	51									12				
3	3	13	13	0.5	1	1	Chord	9/8	2	1	1/8		1/8	1	52													
3	3	9	9	1.0	0	0	Chord	9/8	2	2	1/4		1/4	1	53													
3	3	21/2	21/2	1.0	3/8	3/8	Chord	9/8	2	2	1/4		1/4	1	54													
3	3	12	12	1.0	3/4	3/4	Chord	9/8	2	2	1/4		1/4	1	55													
4	4	27/2	27/2	0.5	0	0	Chord	9/8	1	1	1/8		1/8	1	56									13				
4	4	14	14	0.5	1/8	1/8	Chord	9/8	1	1	1/8		1/8	1	57									13				
4	4	29/2	29/2	0.5	1/4	1/4	Chord	9/8	1	1	1/8		1/8	1	58									13				
4	4	15	15	1.5	3/8	3/8	Chord	9/8	1	1	3/8		1/4	3/2	59													
4	4	33/2	33/2	0.5	3/4	3/4	Chord	9/8	1	1	1/8		1/8	1	60													
4	4	17	17	0.5	7/8	7/8	Chord	9/8	1	1	1/8		1/8	1	61									14				
4	4	35/2	35/2	0.5	1	1	Chord	9/8	1	1	1/8		1/8	1	62									14				
4	4	27/2	27/2	0.5	0	0	Chord	9/8	2	1	1/8		1/8	1	63									15				
4	4	14	14	0.5	1/8	1/8	Chord	9/8	2	1	1/8		1/8	1	64									15				
4	4	29/2	29/2	0.5	1/4	1/4	Chord	9/8	2	1	1/8		1/8	1	65													
4	4	15	15	0.5	3/8	3/8	Chord	9/8	2	1	1/8		1/8	1	66									16				
4	4	31/2	31/2	0.5	1/2	1/2	Chord	9/8	2	1	1/8		1/8	1	67									16				
4	4	16	16	0.5	5/8	5/8	Chord	9/8	2	1	1/8		1/8	1	68													
4	4	33/2	33/2	0.5	3/4	3/4	Chord	9/8	2	1	1/8		1/8	1	69									17				
4	4	17	17	0.0	7/8	7/8	StaffText	9/8	2	1	0							poco						17				
4	4	17	17	0.5	7/8	7/8	Chord	9/8	2	1	1/8		1/8	1	70									17				
4	4	35/2	35/2	0.5	1	1	Chord	9/8	2	1	1/8		1/8	1	71													
4	4	27/2	27/2	1.0	0	0	Chord	9/8	2	2	1/4		1/4	1	72													
4	4	15	15	1.0	3/8	3/8	Chord	9/8	2	2	1/4		1/4	1	73													
4	4	33/2	33/2	1.0	3/4	3/4	Chord	9/8	2	2	1/4		1/4	1	74													
5	5	18	18	1.5	0	0	Chord	9/8	1	1	3/8		1/4	3/2	75									14				
5	5	39/2	39/2	0.5	3/8	3/8	Chord	9/8	1	1	1/8		1/8	1	76									14				
5	5	20	20	0.5	1/2	1/2	Chord	9/8	1	1	1/8		1/8	1	77									14				
5	5	41/2	41/2	0.5	5/8	5/8	Chord	9/8	1	1	1/8		1/8	1	78									14				
5	5	21	21	0.5	3/4	3/4	Chord	9/8	1	1	1/8		1/8	1	79									14				
5	5	43/2	43/2	0.5	7/8	7/8	Chord	9/8	1	1	1/8		1/8	1	80									14				
5	5	22	22	0.5	1	1	Chord	9/8	1	1	1/8		1/8	1	81													
5	5	18	18	0.0	0	0	StaffText	9/8	2	1	0							"cresc.
"										
5	5	18	18	0.5	0	0	Chord	9/8	2	1	1/8		1/8	1	82									18				
5	5	37/2	37/2	0.5	1/8	1/8	Chord	9/8	2	1	1/8		1/8	1	83									18				
5	5	19	19	0.5	1/4	1/4	Chord	9/8	2	1	1/8		1/8	1	84													
5	5	39/2	39/2	0.5	3/8	3/8	Chord	9/8	2	1	1/8		1/8	1	85									19				
5	5	20	20	0.5	1/2	1/2	Chord	9/8	2	1	1/8		1/8	1	86									19				
5	5	41/2	41/2	0.5	5/8	5/8	Chord	9/8	2	1	1/8		1/8	1	87													
