mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	slur
1	1	0	0	0.0	0	0	StaffText	9/8	1	1	0						Agitato	
1	1	0	0	0.0	0	0	Dynamic	9/8	1	1	0				p			
1	1	0	0	0.5	0	0	Chord	9/8	1	1	1/8	1/8	1	0		articAccentAbove		
1	1	3/4	3/4	0.25	3/16	3/16	Chord	9/8	1	1	1/16	1/16	1	1				0
1	1	1	1	0.5	1/4	1/4	Chord	9/8	1	1	1/8	1/8	1	2				
1	1	3/2	3/2	0.5	3/8	3/8	Chord	9/8	1	1	1/8	1/8	1	3		articAccentAbove		
1	1	9/4	9/4	0.25	9/16	9/16	Chord	9/8	1	1	1/16	1/16	1	4				1
1	1	5/2	5/2	0.5	5/8	5/8	Chord	9/8	1	1	1/8	1/8	1	5				
1	1	3	3	0.5	3/4	3/4	Chord	9/8	1	1	1/8	1/8	1	6		articAccentAbove		
1	1	15/4	15/4	0.25	15/16	15/16	Chord	9/8	1	1	1/16	1/16	1	7				2
1	1	4	4	0.5	1	1	Chord	9/8	1	1	1/8	1/8	1	8				
1	1	0	0	0.5	0	0	Chord	9/8	2	1	1/8	1/8	1	9		articAccentBelow		
1	1	3/4	3/4	0.25	3/16	3/16	Chord	9/8	2	1	1/16	1/16	1	10				3
1	1	1	1	0.5	1/4	1/4	Chord	9/8	2	1	1/8	1/8	1	11				
1	1	3/2	3/2	0.5	3/8	3/8	Chord	9/8	2	1	1/8	1/8	1	12		articAccentBelow		
1	1	9/4	9/4	0.25	9/16	9/16	Chord	9/8	2	1	1/16	1/16	1	13				4
1	1	5/2	5/2	0.5	5/8	5/8	Chord	9/8	2	1	1/8	1/8	1	14				
1	1	3	3	0.5	3/4	3/4	Chord	9/8	2	1	1/8	1/8	1	15		articAccentBelow		
1	1	15/4	15/4	0.25	15/16	15/16	Chord	9/8	2	1	1/16	1/16	1	16				5
1	1	4	4	0.5	1	1	Chord	9/8	2	1	1/8	1/8	1	17				
2	2	9/2	9/2	0.5	0	0	Chord	9/8	1	1	1/8	1/8	1	18				
2	2	21/4	21/4	0.25	3/16	3/16	Chord	9/8	1	1	1/16	1/16	1	19				6
2	2	11/2	11/2	0.5	1/4	1/4	Chord	9/8	1	1	1/8	1/8	1	20				
2	2	6	6	0.5	3/8	3/8	Chord	9/8	1	1	1/8	1/8	1	21				
2	2	27/4	27/4	0.25	9/16	9/16	Chord	9/8	1	1	1/16	1/16	1	22				7
2	2	7	7	0.5	5/8	5/8	Chord	9/8	1	1	1/8	1/8	1	23				
2	2	33/4	33/4	0.25	15/16	15/16	Chord	9/8	1	1	1/16	1/16	1	24				8
