mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	slur
2	2	17/2	17/2	0.5	1	1	Chord	9/8	1	1	1/8	1/8	1	25				
2	2	9/2	9/2	0.5	0	0	Chord	9/8	2	1	1/8	1/8	1	26				
2	2	21/4	21/4	0.25	3/16	3/16	Chord	9/8	2	1	1/16	1/16	1	27				9
2	2	11/2	11/2	0.5	1/4	1/4	Chord	9/8	2	1	1/8	1/8	1	28				
2	2	6	6	0.5	3/8	3/8	Chord	9/8	2	1	1/8	1/8	1	29				
2	2	27/4	27/4	0.25	9/16	9/16	Chord	9/8	2	1	1/16	1/16	1	30				10
2	2	7	7	0.5	5/8	5/8	Chord	9/8	2	1	1/8	1/8	1	31				
2	2	15/2	15/2	0.0	3/4	3/4	StaffText	9/8	2	1	0						dim.	
2	2	15/2	15/2	0.5	3/4	3/4	Chord	9/8	2	1	1/8	1/8	1	32				
2	2	33/4	33/4	0.25	15/16	15/16	Chord	9/8	2	1	1/16	1/16	1	33				11
2	2	17/2	17/2	0.5	1	1	Chord	9/8	2	1	1/8	1/8	1	34				
3	3	9	9	0.0	0	0	Dynamic	9/8	1	1	0				mf			
3	3	9	9	0.5	0	0	Chord	9/8	1	1	1/8	1/8	1	35		articAccentAbove		
3	3	39/4	39/4	0.25	3/16	3/16	Chord	9/8	1	1	1/16	1/16	1	36				12
3	3	10	10	0.5	1/4	1/4	Chord	9/8	1	1	1/8	1/8	1	37				
3	3	21/2	21/2	0.5	3/8	3/8	Chord	9/8	1	1	1/8	1/8	1	38		articAccentAbove		
3	3	45/4	45/4	0.25	9/16	9/16	Chord	9/8	1	1	1/16	1/16	1	39				13
3	3	23/2	23/2	0.5	5/8	5/8	Chord	9/8	1	1	1/8	1/8	1	40				
3	3	12	12	0.5	3/4	3/4	Chord	9/8	1	1	1/8	1/8	1	41		articAccentAbove		
3	3	51/4	51/4	0.25	15/16	15/16	Chord	9/8	1	1	1/16	1/16	1	42				14
3	3	13	13	0.5	1	1	Chord	9/8	1	1	1/8	1/8	1	43				
3	3	9	9	0.5	0	0	Chord	9/8	2	1	1/8	1/8	1	44		articAccentBelow		
3	3	39/4	39/4	0.25	3/16	3/16	Chord	9/8	2	1	1/16	1/16	1	45				15
3	3	10	10	0.5	1/4	1/4	Chord	9/8	2	1	1/8	1/8	1	46				
3	3	21/2	21/2	0.5	3/8	3/8	Chord	9/8	2	1	1/8	1/8	1	47		articAccentBelow		
3	3	45/4	45/4	0.25	9/16	9/16	Chord	9/8	2	1	1/16	1/16	1	48				16
3	3	23/2	23/2	0.5	5/8	5/8	Chord	9/8	2	1	1/8	1/8	1	49				
3	3	12	12	0.5	3/4	3/4	Chord	9/8	2	1	1/8	1/8	1	50		articAccentBelow		
3	3	51/4	51/4	0.25	15/16	15/16	Chord	9/8	2	1	1/16	1/16	1	51				17
3	3	13	13	0.5	1	1	Chord	9/8	2	1	1/8	1/8	1	52				
4	4	57/4	57/4	0.25	3/16	3/16	Chord	9/8	1	1	1/16	1/16	1	53				18
4	4	29/2	29/2	0.5	1/4	1/4	Chord	9/8	1	1	1/8	1/8	1	54				
4	4	15	15	0.5	3/8	3/8	Chord	9/8	1	1	1/8	1/8	1	55				
4	4	63/4	63/4	0.25	9/16	9/16	Chord	9/8	1	1	1/16	1/16	1	56				19
4	4	16	16	0.5	5/8	5/8	Chord	9/8	1	1	1/8	1/8	1	57				
4	4	33/2	33/2	0.5	3/4	3/4	Chord	9/8	1	1	1/8	1/8	1	58				
4	4	69/4	69/4	0.25	15/16	15/16	Chord	9/8	1	1	1/16	1/16	1	59				20
4	4	35/2	35/2	0.5	1	1	Chord	9/8	1	1	1/8	1/8	1	60				
4	4	27/2	27/2	0.5	0	0	Chord	9/8	2	1	1/8	1/8	1	61				
4	4	14	14	0.0	1/8	1/8	StaffText	9/8	2	1	0						cresc.	
4	4	57/4	57/4	0.25	3/16	3/16	Chord	9/8	2	1	1/16	1/16	1	62				21
4	4	29/2	29/2	0.5	1/4	1/4	Chord	9/8	2	1	1/8	1/8	1	63				
4	4	15	15	0.5	3/8	3/8	Chord	9/8	2	1	1/8	1/8	1	64				
4	4	63/4	63/4	0.25	9/16	9/16	Chord	9/8	2	1	1/16	1/16	1	65				22
4	4	16	16	0.5	5/8	5/8	Chord	9/8	2	1	1/8	1/8	1	66				
4	4	33/2	33/2	0.5	3/4	3/4	Chord	9/8	2	1	1/8	1/8	1	67				
4	4	69/4	69/4	0.25	15/16	15/16	Chord	9/8	2	1	1/16	1/16	1	68				23
4	4	35/2	35/2	0.5	1	1	Chord	9/8	2	1	1/8	1/8	1	69				
5	5	18	18	0.0	0	0	Dynamic	9/8	1	1	0				f			
5	5	18	18	0.5	0	0	Chord	9/8	1	1	1/8	1/8	1	70				
5	5	75/4	75/4	0.25	3/16	3/16	Chord	9/8	1	1	1/16	1/16	1	71				24
5	5	19	19	0.5	1/4	1/4	Chord	9/8	1	1	1/8	1/8	1	72				
5	5	39/2	39/2	0.5	3/8	3/8	Chord	9/8	1	1	1/8	1/8	1	73				
5	5	81/4	81/4	0.25	9/16	9/16	Chord	9/8	1	1	1/16	1/16	1	74				25
5	5	41/2	41/2	0.5	5/8	5/8	Chord	9/8	1	1	1/8	1/8	1	75				
5	5	87/4	87/4	0.25	15/16	15/16	Chord	9/8	1	1	1/16	1/16	1	76				26
5	5	22	22	0.5	1	1	Chord	9/8	1	1	1/8	1/8	1	77				
5	5	18	18	0.5	0	0	Chord	9/8	2	1	1/8	1/8	1	78				
5	5	75/4	75/4	0.25	3/16	3/16	Chord	9/8	2	1	1/16	1/16	1	79				27
5	5	19	19	0.5	1/4	1/4	Chord	9/8	2	1	1/8	1/8	1	80				
5	5	81/4	81/4	0.25	9/16	9/16	Chord	9/8	2	1	1/16	1/16	1	81				28
5	5	41/2	41/2	0.5	5/8	5/8	Chord	9/8	2	1	1/8	1/8	1	82				
5	5	21	21	0.5	3/4	3/4	Chord	9/8	2	1	1/8	1/8	1	83				
5	5	87/4	87/4	0.25	15/16	15/16	Chord	9/8	2	1	1/16	1/16	1	84				29
5	5	22	22	0.5	1	1	Chord	9/8	2	1	1/8	1/8	1	85				
6	6	45/2	45/2	0.5	0	0	Chord	9/8	1	1	1/8	1/8	1	86				
6	6	93/4	93/4	0.25	3/16	3/16	Chord	9/8	1	1	1/16	1/16	1	87				30
6	6	47/2	47/2	0.5	1/4	1/4	Chord	9/8	1	1	1/8	1/8	1	88				
6	6	24	24	0.5	3/8	3/8	Chord	9/8	1	1	1/8	1/8	1	89				
6	6	99/4	99/4	0.25	9/16	9/16	Chord	9/8	1	1	1/16	1/16	1	90				31
6	6	25	25	0.5	5/8	5/8	Chord	9/8	1	1	1/8	1/8	1	91				
6	6	105/4	105/4	0.25	15/16	15/16	Chord	9/8	1	1	1/16	1/16	1	92				32
6	6	53/2	53/2	0.5	1	1	Chord	9/8	1	1	1/8	1/8	1	93				
6	6	45/2	45/2	0.5	0	0	Chord	9/8	2	1	1/8	1/8	1	94				
6	6	93/4	93/4	0.25	3/16	3/16	Chord	9/8	2	1	1/16	1/16	1	95				33
6	6	47/2	47/2	0.5	1/4	1/4	Chord	9/8	2	1	1/8	1/8	1	96				
6	6	99/4	99/4	0.25	9/16	9/16	Chord	9/8	2	1	1/16	1/16	1	97				34
6	6	25	25	0.5	5/8	5/8	Chord	9/8	2	1	1/8	1/8	1	98				
6	6	51/2	51/2	0.0	3/4	3/4	StaffText	9/8	2	1	0						dim.	
6	6	51/2	51/2	0.5	3/4	3/4	Chord	9/8	2	1	1/8	1/8	1	99				
6	6	105/4	105/4	0.25	15/16	15/16	Chord	9/8	2	1	1/16	1/16	1	100				35
6	6	53/2	53/2	0.5	1	1	Chord	9/8	2	1	1/8	1/8	1	101				
7	7	27	27	0.5	0	0	Chord	6/8	1	1	1/8	1/8	1	102				
7	7	111/4	111/4	0.25	3/16	3/16	Chord	6/8	1	1	1/16	1/16	1	103				36
7	7	28	28	0.5	1/4	1/4	Chord	6/8	1	1	1/8	1/8	1	104				
7	7	117/4	117/4	0.25	9/16	9/16	Chord	6/8	1	1	1/16	1/16	1	105				37
7	7	59/2	59/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8	1/8	1	106				
7	7	27	27	0.5	0	0	Chord	6/8	2	1	1/8	1/8	1	107				
7	7	111/4	111/4	0.25	3/16	3/16	Chord	6/8	2	1	1/16	1/16	1	108				38
7	7	28	28	0.5	1/4	1/4	Chord	6/8	2	1	1/8	1/8	1	109				
7	7	57/2	57/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8	1/8	1	110				
7	7	117/4	117/4	0.25	9/16	9/16	Chord	6/8	2	1	1/16	1/16	1	111				39
7	7	59/2	59/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8	1/8	1	112				
8	8	30	30	0.0	0	0	Dynamic	9/8	1	1	0				p			
8	8	30	30	0.5	0	0	Chord	9/8	1	1	1/8	1/8	1	113				
8	8	123/4	123/4	0.25	3/16	3/16	Chord	9/8	1	1	1/16	1/16	1	114				40
8	8	31	31	0.0	1/4	1/4	StaffText	9/8	1	1	0						dim.	
8	8	31	31	0.5	1/4	1/4	Chord	9/8	1	1	1/8	1/8	1	115				
8	8	129/4	129/4	0.25	9/16	9/16	Chord	9/8	1	1	1/16	1/16	1	116				41
8	8	65/2	65/2	0.5	5/8	5/8	Chord	9/8	1	1	1/8	1/8	1	117				
8	8	135/4	135/4	0.25	15/16	15/16	Chord	9/8	1	1	1/16	1/16	1	118				42
8	8	34	34	0.5	1	1	Chord	9/8	1	1	1/8	1/8	1	119				
8	8	30	30	0.5	0	0	Chord	9/8	2	1	1/8	1/8	1	120				
8	8	123/4	123/4	0.25	3/16	3/16	Chord	9/8	2	1	1/16	1/16	1	121				43
8	8	31	31	0.5	1/4	1/4	Chord	9/8	2	1	1/8	1/8	1	122				
8	8	63/2	63/2	0.5	3/8	3/8	Chord	9/8	2	1	1/8	1/8	1	123				
8	8	129/4	129/4	0.25	9/16	9/16	Chord	9/8	2	1	1/16	1/16	1	124				44
8	8	65/2	65/2	0.5	5/8	5/8	Chord	9/8	2	1	1/8	1/8	1	125				
8	8	33	33	0.5	3/4	3/4	Chord	9/8	2	1	1/8	1/8	1	126				
8	8	135/4	135/4	0.25	15/16	15/16	Chord	9/8	2	1	1/16	1/16	1	127				45
8	8	34	34	0.5	1	1	Chord	9/8	2	1	1/8	1/8	1	128				
9	9	69/2	69/2	0.0	0	0	Dynamic	9/8	1	1	0				mf			
9	9	69/2	69/2	0.5	0	0	Chord	9/8	1	1	1/8	1/8	1	129		articAccentAbove		
9	9	141/4	141/4	0.25	3/16	3/16	Chord	9/8	1	1	1/16	1/16	1	130				46
9	9	71/2	71/2	0.5	1/4	1/4	Chord	9/8	1	1	1/8	1/8	1	131				
9	9	36	36	0.5	3/8	3/8	Chord	9/8	1	1	1/8	1/8	1	132		articAccentAbove		
9	9	147/4	147/4	0.25	9/16	9/16	Chord	9/8	1	1	1/16	1/16	1	133				47
9	9	37	37	0.5	5/8	5/8	Chord	9/8	1	1	1/8	1/8	1	134				
9	9	75/2	75/2	0.5	3/4	3/4	Chord	9/8	1	1	1/8	1/8	1	135		articAccentAbove		
9	9	153/4	153/4	0.25	15/16	15/16	Chord	9/8	1	1	1/16	1/16	1	136				48
9	9	77/2	77/2	0.5	1	1	Chord	9/8	1	1	1/8	1/8	1	137				
9	9	69/2	69/2	0.5	0	0	Chord	9/8	2	1	1/8	1/8	1	138		articAccentBelow		
9	9	141/4	141/4	0.25	3/16	3/16	Chord	9/8	2	1	1/16	1/16	1	139				49
9	9	71/2	71/2	0.5	1/4	1/4	Chord	9/8	2	1	1/8	1/8	1	140				
9	9	36	36	0.5	3/8	3/8	Chord	9/8	2	1	1/8	1/8	1	141		articAccentBelow		
9	9	147/4	147/4	0.25	9/16	9/16	Chord	9/8	2	1	1/16	1/16	1	142				50
9	9	37	37	0.5	5/8	5/8	Chord	9/8	2	1	1/8	1/8	1	143				
9	9	75/2	75/2	0.5	3/4	3/4	Chord	9/8	2	1	1/8	1/8	1	144		articAccentBelow		
9	9	153/4	153/4	0.25	15/16	15/16	Chord	9/8	2	1	1/16	1/16	1	145				51
9	9	77/2	77/2	0.5	1	1	Chord	9/8	2	1	1/8	1/8	1	146				
10	10	39	39	0.5	0	0	Chord	9/8	1	1	1/8	1/8	1	147				
10	10	159/4	159/4	0.25	3/16	3/16	Chord	9/8	1	1	1/16	1/16	1	148				52
10	10	40	40	0.5	1/4	1/4	Chord	9/8	1	1	1/8	1/8	1	149				
10	10	81/2	81/2	0.5	3/8	3/8	Chord	9/8	1	1	1/8	1/8	1	150				
10	10	165/4	165/4	0.25	9/16	9/16	Chord	9/8	1	1	1/16	1/16	1	151				53
10	10	83/2	83/2	0.5	5/8	5/8	Chord	9/8	1	1	1/8	1/8	1	152				
10	10	171/4	171/4	0.25	15/16	15/16	Chord	9/8	1	1	1/16	1/16	1	153				54
10	10	43	43	0.5	1	1	Chord	9/8	1	1	1/8	1/8	1	154				
10	10	39	39	0.5	0	0	Chord	9/8	2	1	1/8	1/8	1	155				
10	10	159/4	159/4	0.25	3/16	3/16	Chord	9/8	2	1	1/16	1/16	1	156				55
10	10	40	40	0.5	1/4	1/4	Chord	9/8	2	1	1/8	1/8	1	157				
10	10	81/2	81/2	0.5	3/8	3/8	Chord	9/8	2	1	1/8	1/8	1	158				
10	10	165/4	165/4	0.25	9/16	9/16	Chord	9/8	2	1	1/16	1/16	1	159				56
10	10	83/2	83/2	0.5	5/8	5/8	Chord	9/8	2	1	1/8	1/8	1	160				
10	10	42	42	0.5	3/4	3/4	Chord	9/8	2	1	1/8	1/8	1	161				
10	10	171/4	171/4	0.25	15/16	15/16	Chord	9/8	2	1	1/16	1/16	1	162				57
10	10	43	43	0.5	1	1	Chord	9/8	2	1	1/8	1/8	1	163				
11	11	87/2	87/2	0.5	0	0	Chord	9/8	1	1	1/8	1/8	1	164				
11	11	177/4	177/4	0.25	3/16	3/16	Chord	9/8	1	1	1/16	1/16	1	165				58
11	11	89/2	89/2	0.5	1/4	1/4	Chord	9/8	1	1	1/8	1/8	1	166				
11	11	45	45	0.5	3/8	3/8	Chord	9/8	1	1	1/8	1/8	1	167				
11	11	183/4	183/4	0.25	9/16	9/16	Chord	9/8	1	1	1/16	1/16	1	168				59
11	11	46	46	0.5	5/8	5/8	Chord	9/8	1	1	1/8	1/8	1	169				
11	11	189/4	189/4	0.25	15/16	15/16	Chord	9/8	1	1	1/16	1/16	1	170				60
11	11	95/2	95/2	0.5	1	1	Chord	9/8	1	1	1/8	1/8	1	171				
11	11	87/2	87/2	0.0	0	0	StaffText	9/8	2	1	0						cresc.	
11	11	87/2	87/2	0.5	0	0	Chord	9/8	2	1	1/8	1/8	1	172				
11	11	177/4	177/4	0.25	3/16	3/16	Chord	9/8	2	1	1/16	1/16	1	173				61
11	11	89/2	89/2	0.5	1/4	1/4	Chord	9/8	2	1	1/8	1/8	1	174				
11	11	183/4	183/4	0.25	9/16	9/16	Chord	9/8	2	1	1/16	1/16	1	175				62
11	11	46	46	0.5	5/8	5/8	Chord	9/8	2	1	1/8	1/8	1	176				
11	11	93/2	93/2	0.5	3/4	3/4	Chord	9/8	2	1	1/8	1/8	1	177				
11	11	189/4	189/4	0.25	15/16	15/16	Chord	9/8	2	1	1/16	1/16	1	178				63
11	11	95/2	95/2	0.5	1	1	Chord	9/8	2	1	1/8	1/8	1	179				
12	12	48	48	0.5	0	0	Chord	9/8	1	1	1/8	1/8	1	180				
12	12	195/4	195/4	0.25	3/16	3/16	Chord	9/8	1	1	1/16	1/16	1	181				64
12	12	49	49	0.5	1/4	1/4	Chord	9/8	1	1	1/8	1/8	1	182				
12	12	99/2	99/2	0.5	3/8	3/8	Chord	9/8	1	1	1/8	1/8	1	183				
12	12	201/4	201/4	0.25	9/16	9/16	Chord	9/8	1	1	1/16	1/16	1	184				65
12	12	101/2	101/2	0.5	5/8	5/8	Chord	9/8	1	1	1/8	1/8	1	185				
12	12	51	51	0.0	3/4	3/4	Dynamic	9/8	1	1	0				f			
12	12	207/4	207/4	0.25	15/16	15/16	Chord	9/8	1	1	1/16	1/16	1	186				66
12	12	52	52	0.5	1	1	Chord	9/8	1	1	1/8	1/8	1	187				
12	12	48	48	0.5	0	0	Chord	9/8	2	1	1/8	1/8	1	188				
12	12	195/4	195/4	0.25	3/16	3/16	Chord	9/8	2	1	1/16	1/16	1	189				67
12	12	49	49	0.5	1/4	1/4	Chord	9/8	2	1	1/8	1/8	1	190				
12	12	201/4	201/4	0.25	9/16	9/16	Chord	9/8	2	1	1/16	1/16	1	191				68
12	12	101/2	101/2	0.5	5/8	5/8	Chord	9/8	2	1	1/8	1/8	1	192				
12	12	51	51	0.5	3/4	3/4	Chord	9/8	2	1	1/8	1/8	1	193		articAccentBelow		
12	12	207/4	207/4	0.25	15/16	15/16	Chord	9/8	2	1	1/16	1/16	1	194				69
12	12	52	52	0.5	1	1	Chord	9/8	2	1	1/8	1/8	1	195				
13	13	105/2	105/2	0.5	0	0	Chord	9/8	1	1	1/8	1/8	1	196				
13	13	213/4	213/4	0.25	3/16	3/16	Chord	9/8	1	1	1/16	1/16	1	197				70
13	13	107/2	107/2	0.5	1/4	1/4	Chord	9/8	1	1	1/8	1/8	1	198				
13	13	219/4	219/4	0.25	9/16	9/16	Chord	9/8	1	1	1/16	1/16	1	199				71
13	13	55	55	0.5	5/8	5/8	Chord	9/8	1	1	1/8	1/8	1	200				
13	13	111/2	111/2	0.5	3/4	3/4	Chord	9/8	1	1	1/8	1/8	1	201				
13	13	225/4	225/4	0.25	15/16	15/16	Chord	9/8	1	1	1/16	1/16	1	202				72
13	13	113/2	113/2	0.5	1	1	Chord	9/8	1	1	1/8	1/8	1	203				
13	13	105/2	105/2	0.5	0	0	Chord	9/8	2	1	1/8	1/8	1	204		articAccentBelow		
13	13	213/4	213/4	0.25	3/16	3/16	Chord	9/8	2	1	1/16	1/16	1	205				73
13	13	107/2	107/2	0.5	1/4	1/4	Chord	9/8	2	1	1/8	1/8	1	206				
13	13	54	54	0.5	3/8	3/8	Chord	9/8	2	1	1/8	1/8	1	207		articAccentBelow		
13	13	219/4	219/4	0.25	9/16	9/16	Chord	9/8	2	1	1/16	1/16	1	208				74
13	13	55	55	0.5	5/8	5/8	Chord	9/8	2	1	1/8	1/8	1	209				
13	13	111/2	111/2	0.5	3/4	3/4	Chord	9/8	2	1	1/8	1/8	1	210		articAccentBelow		
13	13	225/4	225/4	0.25	15/16	15/16	Chord	9/8	2	1	1/16	1/16	1	211				75
13	13	113/2	113/2	0.5	1	1	Chord	9/8	2	1	1/8	1/8	1	212				
14	14	231/4	231/4	0.25	3/16	3/16	Chord	6/8	1	1	1/16	1/16	1	213				76
14	14	58	58	0.5	1/4	1/4	Chord	6/8	1	1	1/8	1/8	1	214				
14	14	237/4	237/4	0.25	9/16	9/16	Chord	6/8	1	1	1/16	1/16	1	215				77
14	14	119/2	119/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8	1/8	1	216				
14	14	57	57	0.0	0	0	StaffText	6/8	2	1	0						dim.	
14	14	57	57	0.5	0	0	Chord	6/8	2	1	1/8	1/8	1	217		articAccentBelow		
14	14	231/4	231/4	0.25	3/16	3/16	Chord	6/8	2	1	1/16	1/16	1	218				78
14	14	58	58	0.5	1/4	1/4	Chord	6/8	2	1	1/8	1/8	1	219				
14	14	117/2	117/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8	1/8	1	220		articAccentBelow		
14	14	237/4	237/4	0.25	9/16	9/16	Chord	6/8	2	1	1/16	1/16	1	221				79
14	14	119/2	119/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8	1/8	1	222				
15	15	243/4	243/4	0.25	3/16	3/16	Chord	9/8	1	1	1/16	1/16	1	223				80
15	15	61	61	0.5	1/4	1/4	Chord	9/8	1	1	1/8	1/8	1	224				
15	15	123/2	123/2	0.5	3/8	3/8	Chord	9/8	1	1	1/8	1/8	1	225		articAccentAbove		
15	15	249/4	249/4	0.25	9/16	9/16	Chord	9/8	1	1	1/16	1/16	1	226				81
15	15	125/2	125/2	0.5	5/8	5/8	Chord	9/8	1	1	1/8	1/8	1	227				
15	15	255/4	255/4	0.25	15/16	15/16	Chord	9/8	1	1	1/16	1/16	1	228				82
15	15	64	64	0.5	1	1	Chord	9/8	1	1	1/8	1/8	1	229				
15	15	60	60	0.5	0	0	Chord	9/8	2	1	1/8	1/8	1	230		articAccentAbove		
15	15	243/4	243/4	0.25	3/16	3/16	Chord	9/8	2	1	1/16	1/16	1	231				83
15	15	61	61	0.5	1/4	1/4	Chord	9/8	2	1	1/8	1/8	1	232				
15	15	123/2	123/2	0.0	3/8	3/8	Dynamic	9/8	2	1	0				mf			
15	15	123/2	123/2	0.5	3/8	3/8	Chord	9/8	2	1	1/8	1/8	1	233		articAccentAbove		
15	15	249/4	249/4	0.25	9/16	9/16	Chord	9/8	2	1	1/16	1/16	1	234				84
15	15	125/2	125/2	0.5	5/8	5/8	Chord	9/8	2	1	1/8	1/8	1	235				
15	15	63	63	0.0	3/4	3/4	StaffText	9/8	2	1	0						dim.	
15	15	63	63	0.5	3/4	3/4	Chord	9/8	2	1	1/8	1/8	1	236		articAccentAbove		
15	15	255/4	255/4	0.25	15/16	15/16	Chord	9/8	2	1	1/16	1/16	1	237				85
15	15	64	64	0.5	1	1	Chord	9/8	2	1	1/8	1/8	1	238				
16	16	261/4	261/4	0.25	3/16	3/16	Chord	6/8	1	1	1/16	1/16	1	239				86
16	16	131/2	131/2	0.5	1/4	1/4	Chord	6/8	1	1	1/8	1/8	1	240				
16	16	267/4	267/4	0.25	9/16	9/16	Chord	6/8	1	1	1/16	1/16	1	241				87
16	16	67	67	0.0	5/8	5/8	Dynamic	6/8	1	1	0				p			
16	16	67	67	0.5	5/8	5/8	Chord	6/8	1	1	1/8	1/8	1	242				
16	16	129/2	129/2	0.5	0	0	Chord	6/8	2	1	1/8	1/8	1	243		articAccentBelow		
16	16	261/4	261/4	0.25	3/16	3/16	Chord	6/8	2	1	1/16	1/16	1	244				88
16	16	131/2	131/2	0.5	1/4	1/4	Chord	6/8	2	1	1/8	1/8	1	245				
16	16	66	66	0.5	3/8	3/8	Chord	6/8	2	1	1/8	1/8	1	246		articAccentBelow		
16	16	267/4	267/4	0.25	9/16	9/16	Chord	6/8	2	1	1/16	1/16	1	247				89
16	16	67	67	0.5	5/8	5/8	Chord	6/8	2	1	1/8	1/8	1	248				
17	17	137/2	137/2	1.0	1/4	1/4	Chord	6/8	1	1	1/4	1/4	1	249				
17	17	135/2	135/2	0.0	0	0	Dynamic	6/8	2	1	0				ff			
17	17	135/2	135/2	2.0	0	0	Chord	6/8	2	1	1/2	1/2	1	250				
17	17	137/2	137/2	1.0	1/4	1/4	Chord	6/8	2	2	1/4	1/4	1	251				
