mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	slur
1	1	0	0	0.0	0	0	StaffText	3/4	1	1	0						"L'istesso tempo

"	
1	1	0	0	0.5	0	0	Chord	3/4	1	1	1/8	1/8	1	0		articStaccatoAbove		
1	1	3/4	3/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16	1/16	1	1				0
1	1	1	1	0.5	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	2		articStaccatoAbove		
1	1	7/4	7/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16	1/16	1	3				1
1	1	2	2	0.5	1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	4		articStaccatoAbove		
1	1	11/4	11/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16	1/16	1	5				2
1	1	0	0	0.0	0	0	Dynamic	3/4	1	2	0				p			
1	1	0	0	0.25	0	0	Chord	3/4	1	2	1/16	1/16	1	6				3
1	1	1/4	1/4	0.0	1/16	1/16	StaffText	3/4	1	2	0						"leggiere

"	3
1	1	1/4	1/4	0.25	1/16	1/16	Chord	3/4	1	2	1/16	1/16	1	7				3
1	1	1/2	1/2	0.5	1/8	1/8	Chord	3/4	1	2	1/8	1/8	1	8		articTenutoBelow		
1	1	1	1	0.25	1/4	1/4	Chord	3/4	1	2	1/16	1/16	1	9				
1	1	5/4	5/4	0.25	5/16	5/16	Chord	3/4	1	2	1/16	1/16	1	10				4
1	1	3/2	3/2	0.5	3/8	3/8	Chord	3/4	1	2	1/8	1/8	1	11		articTenutoBelow		
1	1	2	2	0.25	1/2	1/2	Chord	3/4	1	2	1/16	1/16	1	12				
1	1	9/4	9/4	0.25	9/16	9/16	Chord	3/4	1	2	1/16	1/16	1	13				5
1	1	5/2	5/2	0.5	5/8	5/8	Chord	3/4	1	2	1/8	1/8	1	14		articTenutoBelow		6
1	1	0	0	0.5	0	0	Chord	3/4	2	1	1/8	1/8	1	15		articStaccatoBelow		
1	1	3/4	3/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16	1/16	1	16				7
1	1	1	1	0.5	1/4	1/4	Chord	3/4	2	1	1/8	1/8	1	17		articStaccatoBelow		
1	1	7/4	7/4	0.25	7/16	7/16	Chord	3/4	2	1	1/16	1/16	1	18				8
1	1	2	2	0.5	1/2	1/2	Chord	3/4	2	1	1/8	1/8	1	19		articStaccatoBelow		
1	1	11/4	11/4	0.25	11/16	11/16	Chord	3/4	2	1	1/16	1/16	1	20				9
2	2	3	3	0.5	0	0	Chord	3/4	1	1	1/8	1/8	1	21		articStaccatoAbove		
2	2	15/4	15/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16	1/16	1	22				10
2	2	4	4	0.5	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	23		articStaccatoAbove		
2	2	19/4	19/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16	1/16	1	24				11
2	2	5	5	0.5	1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	25		articStaccatoAbove		
2	2	23/4	23/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16	1/16	1	26				12
2	2	3	3	0.25	0	0	Chord	3/4	1	2	1/16	1/16	1	27				
2	2	13/4	13/4	0.25	1/16	1/16	Chord	3/4	1	2	1/16	1/16	1	28				13
2	2	7/2	7/2	0.5	1/8	1/8	Chord	3/4	1	2	1/8	1/8	1	29		articTenutoBelow		
2	2	4	4	0.25	1/4	1/4	Chord	3/4	1	2	1/16	1/16	1	30				
2	2	17/4	17/4	0.25	5/16	5/16	Chord	3/4	1	2	1/16	1/16	1	31				14
2	2	9/2	9/2	0.5	3/8	3/8	Chord	3/4	1	2	1/8	1/8	1	32		articTenutoBelow		
2	2	5	5	0.25	1/2	1/2	Chord	3/4	1	2	1/16	1/16	1	33				
2	2	21/4	21/4	0.25	9/16	9/16	Chord	3/4	1	2	1/16	1/16	1	34				15
2	2	11/2	11/2	0.5	5/8	5/8	Chord	3/4	1	2	1/8	1/8	1	35		articTenutoBelow		16
2	2	3	3	0.5	0	0	Chord	3/4	2	1	1/8	1/8	1	36		articStaccatoBelow		
2	2	15/4	15/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16	1/16	1	37				17
2	2	4	4	0.5	1/4	1/4	Chord	3/4	2	1	1/8	1/8	1	38		articStaccatoBelow		
2	2	19/4	19/4	0.25	7/16	7/16	Chord	3/4	2	1	1/16	1/16	1	39				18
2	2	5	5	0.5	1/2	1/2	Chord	3/4	2	1	1/8	1/8	1	40		articStaccatoBelow		
2	2	23/4	23/4	0.25	11/16	11/16	Chord	3/4	2	1	1/16	1/16	1	41				19
3	3	6	6	0.5	0	0	Chord	3/4	1	1	1/8	1/8	1	42		articStaccatoAbove		
3	3	27/4	27/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16	1/16	1	43				20
3	3	7	7	0.5	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	44		articStaccatoAbove		
3	3	31/4	31/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16	1/16	1	45				21
3	3	8	8	0.5	1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	46		articStaccatoAbove		
3	3	35/4	35/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16	1/16	1	47				22
3	3	6	6	0.25	0	0	Chord	3/4	1	2	1/16	1/16	1	48				
3	3	25/4	25/4	0.25	1/16	1/16	Chord	3/4	1	2	1/16	1/16	1	49				23
3	3	13/2	13/2	0.5	1/8	1/8	Chord	3/4	1	2	1/8	1/8	1	50		articTenutoBelow		
3	3	7	7	0.25	1/4	1/4	Chord	3/4	1	2	1/16	1/16	1	51				
3	3	29/4	29/4	0.25	5/16	5/16	Chord	3/4	1	2	1/16	1/16	1	52				24
3	3	15/2	15/2	0.5	3/8	3/8	Chord	3/4	1	2	1/8	1/8	1	53		articTenutoBelow		
3	3	8	8	0.25	1/2	1/2	Chord	3/4	1	2	1/16	1/16	1	54				
3	3	33/4	33/4	0.25	9/16	9/16	Chord	3/4	1	2	1/16	1/16	1	55				25
3	3	17/2	17/2	0.5	5/8	5/8	Chord	3/4	1	2	1/8	1/8	1	56		articTenutoBelow		26
3	3	6	6	0.5	0	0	Chord	3/4	2	1	1/8	1/8	1	57		articStaccatoBelow		
3	3	27/4	27/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16	1/16	1	58				27
3	3	7	7	0.5	1/4	1/4	Chord	3/4	2	1	1/8	1/8	1	59		articStaccatoBelow		
3	3	31/4	31/4	0.25	7/16	7/16	Chord	3/4	2	1	1/16	1/16	1	60				28
3	3	8	8	0.5	1/2	1/2	Chord	3/4	2	1	1/8	1/8	1	61		articStaccatoBelow		
3	3	35/4	35/4	0.25	11/16	11/16	Chord	3/4	2	1	1/16	1/16	1	62				29
4	4	9	9	0.5	0	0	Chord	3/4	1	1	1/8	1/8	1	63		articStaccatoAbove		
4	4	39/4	39/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16	1/16	1	64				30
4	4	10	10	0.5	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	65		articStaccatoAbove		
4	4	43/4	43/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16	1/16	1	66				31
4	4	11	11	0.5	1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	67		articStaccatoAbove		
4	4	47/4	47/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16	1/16	1	68				32
4	4	9	9	0.25	0	0	Chord	3/4	1	2	1/16	1/16	1	69				
4	4	37/4	37/4	0.25	1/16	1/16	Chord	3/4	1	2	1/16	1/16	1	70				
4	4	19/2	19/2	0.5	1/8	1/8	Chord	3/4	1	2	1/8	1/8	1	71		articTenutoBelow		
4	4	10	10	0.25	1/4	1/4	Chord	3/4	1	2	1/16	1/16	1	72				
4	4	41/4	41/4	0.25	5/16	5/16	Chord	3/4	1	2	1/16	1/16	1	73				33
4	4	21/2	21/2	0.5	3/8	3/8	Chord	3/4	1	2	1/8	1/8	1	74		articTenutoBelow		
4	4	11	11	0.25	1/2	1/2	Chord	3/4	1	2	1/16	1/16	1	75				
4	4	45/4	45/4	0.25	9/16	9/16	Chord	3/4	1	2	1/16	1/16	1	76				34
4	4	23/2	23/2	0.5	5/8	5/8	Chord	3/4	1	2	1/8	1/8	1	77		articTenutoBelow		
4	4	9	9	0.0	0	0	StaffText	3/4	2	1	0						poco cresc.	
4	4	9	9	0.5	0	0	Chord	3/4	2	1	1/8	1/8	1	78		articStaccatoBelow		
4	4	39/4	39/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16	1/16	1	79				35
4	4	10	10	0.5	1/4	1/4	Chord	3/4	2	1	1/8	1/8	1	80		articStaccatoBelow		
4	4	43/4	43/4	0.25	7/16	7/16	Chord	3/4	2	1	1/16	1/16	1	81				36
4	4	11	11	0.5	1/2	1/2	Chord	3/4	2	1	1/8	1/8	1	82		articStaccatoBelow		
4	4	47/4	47/4	0.25	11/16	11/16	Chord	3/4	2	1	1/16	1/16	1	83				37
5	5	12	12	0.5	0	0	Chord	3/4	1	1	1/8	1/8	1	84		articStaccatoAbove		
5	5	51/4	51/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16	1/16	1	85				38
5	5	13	13	0.5	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	86		articStaccatoAbove		
