mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	tempo_visible	slur	crescendo_hairpin	decrescendo_hairpin
2	2	11/2	11/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	19									1
2	2	3	3	0.5	0	0	Chord	3/4	1	2	1/8	1/8	1	20									1
2	2	7/2	7/2	1.0	1/8	1/8	Chord	3/4	1	2	1/4	1/4	1	21									1
2	2	9/2	9/2	1.0	3/8	3/8	Chord	3/4	1	2	1/4	1/4	1	22									1
2	2	11/2	11/2	0.5	5/8	5/8	Chord	3/4	1	2	1/8	1/8	1	23									1
2	2	3	3	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	24		articStaccatoAbove							
2	2	4	4	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	25		articStaccatoAbove							
2	2	5	5	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	26		articStaccatoAbove							
3	3	6	6	0.0	0	0	Dynamic	3/4	1	1	0				p								
3	3	6	6	0.0	0	0	Spanner	3/4	1	1	0												
3	3	13/2	13/2	0.16666666666666666	1/8	1/8	Chord	3/4	1	1	1/24	1/16	2/3	27							3		
3	3	20/3	20/3	0.16666666666666666	1/6	1/6	Chord	3/4	1	1	1/24	1/16	2/3	28							3		
3	3	41/6	41/6	0.16666666666666666	5/24	5/24	Chord	3/4	1	1	1/24	1/16	2/3	29							3		
3	3	7	7	0.5	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	30		articStaccatoAbove							
3	3	15/2	15/2	1.0	3/8	3/8	Chord	3/4	1	1	1/4	1/4	1	31		articTenutoAbove							
3	3	17/2	17/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	32		articTenutoAbove							
3	3	13/2	13/2	0.0	1/8	1/8	Spanner	3/4	1	2	0											2	
3	3	13/2	13/2	0.5	1/8	1/8	Chord	3/4	1	2	1/8	1/8	1	33								2	
3	3	7	7	0.0	1/4	1/4	Spanner	3/4	1	2	0												
3	3	7	7	0.0	1/4	1/4	Spanner	3/4	1	2	0												2
3	3	7	7	0.5	1/4	1/4	Chord	3/4	1	2	1/8	1/8	1	34									2
3	3	15/2	15/2	0.0	3/8	3/8	Spanner	3/4	1	2	0												
3	3	15/2	15/2	1.0	3/8	3/8	Chord	3/4	1	2	1/4	1/4	1	35									
3	3	17/2	17/2	0.5	5/8	5/8	Chord	3/4	1	2	1/8	1/8	1	36									
3	3	6	6	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	37		articStaccatoAbove							
3	3	7	7	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	38		articStaccatoAbove							
3	3	8	8	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	39		articStaccatoAbove							
4	4	9	9	0.5	0	0	Chord	3/4	1	1	1/8	1/8	1	40									
4	4	19/2	19/2	0.25	1/8	1/8	Chord	3/4	1	1	1/16	1/16	1	41							4		
4	4	39/4	39/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16	1/16	1	42							4		
4	4	10	10	0.0	1/4	1/4	Spanner	3/4	1	1	0											3	
4	4	10	10	0.5	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	43		articStaccatoAbove						3	
4	4	21/2	21/2	0.0	3/8	3/8	StaffText	3/4	1	1	0						poco rit.						
4	4	21/2	21/2	0.0	3/8	3/8	Spanner	3/4	1	1	0												
4	4	21/2	21/2	0.75	3/8	3/8	Chord	3/4	1	1	3/16	1/8	3/2	44		articTenutoAbove					5		
4	4	45/4	45/4	0.25	9/16	9/16	Chord	3/4	1	1	1/16	1/16	1	45							5		
4	4	23/2	23/2	0.0	5/8	5/8	Spanner	3/4	1	1	0												3
4	4	23/2	23/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	46									3
4	4	9	9	0.5	0	0	Chord	3/4	1	2	1/8	1/8	1	47									3
4	4	19/2	19/2	1.0	1/8	1/8	Chord	3/4	1	2	1/4	1/4	1	48									3
4	4	21/2	21/2	1.0	3/8	3/8	Chord	3/4	1	2	1/4	1/4	1	49									3
4	4	23/2	23/2	0.5	5/8	5/8	Chord	3/4	1	2	1/8	1/8	1	50									3
4	4	9	9	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	51		articStaccatoAbove							
4	4	10	10	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	52		articStaccatoAbove							
4	4	11	11	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	53		articStaccatoAbove							
5	5	12	12	0.0	0	0	StaffText	3/4	1	1	0						a tempo						
5	5	12	12	0.0	0	0	Dynamic	3/4	1	1	0				mf								
5	5	12	12	0.0	0	0	Spanner	3/4	1	1	0												
5	5	25/2	25/2	0.16666666666666666	1/8	1/8	Chord	3/4	1	1	1/24	1/16	2/3	54							6		
5	5	38/3	38/3	0.16666666666666666	1/6	1/6	Chord	3/4	1	1	1/24	1/16	2/3	55							6		
5	5	77/6	77/6	0.16666666666666666	5/24	5/24	Chord	3/4	1	1	1/24	1/16	2/3	56							6		
5	5	13	13	0.5	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	57		articStaccatoAbove							
5	5	27/2	27/2	1.0	3/8	3/8	Chord	3/4	1	1	1/4	1/4	1	58		articTenutoAbove							
5	5	29/2	29/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	59		articTenutoAbove							
5	5	25/2	25/2	0.0	1/8	1/8	Spanner	3/4	1	2	0											4	
5	5	25/2	25/2	0.5	1/8	1/8	Chord	3/4	1	2	1/8	1/8	1	60								4	
5	5	13	13	0.0	1/4	1/4	Spanner	3/4	1	2	0												
5	5	13	13	0.0	1/4	1/4	Spanner	3/4	1	2	0												4
5	5	13	13	0.5	1/4	1/4	Chord	3/4	1	2	1/8	1/8	1	61									4
5	5	27/2	27/2	0.0	3/8	3/8	Spanner	3/4	1	2	0												
5	5	27/2	27/2	1.0	3/8	3/8	Chord	3/4	1	2	1/4	1/4	1	62									
5	5	29/2	29/2	0.5	5/8	5/8	Chord	3/4	1	2	1/8	1/8	1	63									
5	5	12	12	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	64		articStaccatoAbove							
5	5	13	13	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	65		articStaccatoAbove							
5	5	14	14	0.5	1/2	1/2	Chord	3/4	2	1	1/8	1/8	1	66		articStaccatoAbove							
5	5	119/8	119/8	0.125	23/32	23/32	Chord	3/4	2	1	1/32	1/32	1	67							7		
6	6	31/2	31/2	0.16666666666666666	1/8	1/8	Chord	3/4	1	1	1/24	1/16	2/3	68							8		
6	6	47/3	47/3	0.16666666666666666	1/6	1/6	Chord	3/4	1	1	1/24	1/16	2/3	69							8		
6	6	95/6	95/6	0.16666666666666666	5/24	5/24	Chord	3/4	1	1	1/24	1/16	2/3	70							8		
6	6	16	16	0.5	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	71		articStaccatoAbove							
6	6	33/2	33/2	1.0	3/8	3/8	Chord	3/4	1	1	1/4	1/4	1	72		articTenutoAbove							
6	6	35/2	35/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	73		articTenutoAbove							
6	6	31/2	31/2	0.0	1/8	1/8	Spanner	3/4	1	2	0											5	
6	6	31/2	31/2	0.5	1/8	1/8	Chord	3/4	1	2	1/8	1/8	1	74								5	
6	6	16	16	0.0	1/4	1/4	Spanner	3/4	1	2	0												
6	6	16	16	0.0	1/4	1/4	Spanner	3/4	1	2	0												5
6	6	16	16	0.5	1/4	1/4	Chord	3/4	1	2	1/8	1/8	1	75									5
6	6	33/2	33/2	0.0	3/8	3/8	Spanner	3/4	1	2	0												
6	6	33/2	33/2	1.0	3/8	3/8	Chord	3/4	1	2	1/4	1/4	1	76									
6	6	35/2	35/2	0.5	5/8	5/8	Chord	3/4	1	2	1/8	1/8	1	77									
6	6	15	15	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	78		articStaccatoAbove							
6	6	16	16	0.5	1/4	1/4	Chord	3/4	2	1	1/8	1/8	1	79		articStaccatoAbove							
6	6	135/8	135/8	0.125	15/32	15/32	Chord	3/4	2	1	1/32	1/32	1	80							9		
6	6	17	17	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	81		articStaccatoAbove							
7	7	18	18	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	82							10		
7	7	19	19	0.0	1/4	1/4	StaffText	3/4	1	1	0						dim.						
7	7	19	19	0.875	1/4	1/4	Chord	3/4	1	1	7/32	1/8	7/4	83									
7	7	159/8	159/8	0.125	15/32	15/32	Chord	3/4	1	1	1/32	1/32	1	84							11		
7	7	20	20	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	85									
7	7	18	18	0.0	0	0	Dynamic	3/4	1	2	0				mf								
7	7	18	18	3.0	0	0	Chord	3/4	1	2	3/4	1/2	3/2	86									
7	7	18	18	1.0	0	0	Chord	3/4	2	2	1/4	1/4	1	87		articStaccatoAbove							
7	7	19	19	1.0	1/4	1/4	Chord	3/4	2	2	1/4	1/4	1	88		articStaccatoAbove							
7	7	20	20	1.0	1/2	1/2	Chord	3/4	2	2	1/4	1/4	1	89		articStaccatoAbove							
8	8	21	21	0.0	0	0	Dynamic	3/4	1	1	0				pp								
8	8	43/2	43/2	0.16666666666666666	1/8	1/8	Chord	3/4	1	1	1/24	1/16	2/3	90							12		
8	8	65/3	65/3	0.16666666666666666	1/6	1/6	Chord	3/4	1	1	1/24	1/16	2/3	91							12		
8	8	131/6	131/6	0.16666666666666666	5/24	5/24	Chord	3/4	1	1	1/24	1/16	2/3	92							12		
8	8	22	22	0.5	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	93		articStaccatoAbove							
8	8	45/2	45/2	1.0	3/8	3/8	Chord	3/4	1	1	1/4	1/4	1	94		articTenutoAbove							
8	8	47/2	47/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	95		articTenutoAbove							
8	8	43/2	43/2	0.0	1/8	1/8	Spanner	3/4	1	2	0											6	
8	8	43/2	43/2	0.5	1/8	1/8	Chord	3/4	1	2	1/8	1/8	1	96								6	
8	8	22	22	0.0	1/4	1/4	Spanner	3/4	1	2	0												
8	8	22	22	0.0	1/4	1/4	Spanner	3/4	1	2	0												6
8	8	22	22	0.5	1/4	1/4	Chord	3/4	1	2	1/8	1/8	1	97									6
8	8	45/2	45/2	0.0	3/8	3/8	Spanner	3/4	1	2	0												
8	8	45/2	45/2	1.0	3/8	3/8	Chord	3/4	1	2	1/4	1/4	1	98									
8	8	47/2	47/2	0.5	5/8	5/8	Chord	3/4	1	2	1/8	1/8	1	99									
8	8	21	21	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	100		articStaccatoAbove							
8	8	22	22	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	101		articStaccatoAbove							
8	8	23	23	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	102		articStaccatoAbove							
9	9	24	24	0.5	0	0	Chord	3/4	1	1	1/8	1/8	1	103									
9	9	49/2	49/2	0.25	1/8	1/8	Chord	3/4	1	1	1/16	1/16	1	104							13		
9	9	99/4	99/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16	1/16	1	105							13		
9	9	25	25	0.5	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	106		articStaccatoAbove							
9	9	51/2	51/2	0.0	3/8	3/8	StaffText	3/4	1	1	0						poco rit.						
9	9	51/2	51/2	0.75	3/8	3/8	Chord	3/4	1	1	3/16	1/8	3/2	107		articTenutoAbove					14		
9	9	105/4	105/4	0.25	9/16	9/16	Chord	3/4	1	1	1/16	1/16	1	108							14		
9	9	53/2	53/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	109									
9	9	24	24	0.5	0	0	Chord	3/4	1	2	1/8	1/8	1	110									
9	9	49/2	49/2	1.0	1/8	1/8	Chord	3/4	1	2	1/4	1/4	1	111									
9	9	51/2	51/2	1.0	3/8	3/8	Chord	3/4	1	2	1/4	1/4	1	112									
9	9	53/2	53/2	0.5	5/8	5/8	Chord	3/4	1	2	1/8	1/8	1	113									
9	9	24	24	0.5	0	0	Chord	3/4	2	1	1/8	1/8	1	114		articStaccatoAbove							
9	9	199/8	199/8	0.125	7/32	7/32	Chord	3/4	2	1	1/32	1/32	1	115							15		
9	9	25	25	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	116		articStaccatoAbove							
9	9	26	26	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	117		articStaccatoAbove							
10	10	27	27	0.0	0	0	StaffText	3/4	1	1	0						a tempo						
10	10	55/2	55/2	0.16666666666666666	1/8	1/8	Chord	3/4	1	1	1/24	1/16	2/3	118							16		
10	10	83/3	83/3	0.16666666666666666	1/6	1/6	Chord	3/4	1	1	1/24	1/16	2/3	119							16		
10	10	167/6	167/6	0.16666666666666666	5/24	5/24	Chord	3/4	1	1	1/24	1/16	2/3	120							16		
10	10	28	28	0.5	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	121		articStaccatoAbove							
10	10	57/2	57/2	1.0	3/8	3/8	Chord	3/4	1	1	1/4	1/4	1	122		articTenutoAbove							
10	10	59/2	59/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	123		articTenutoAbove							
10	10	55/2	55/2	0.5	1/8	1/8	Chord	3/4	1	2	1/8	1/8	1	124									
10	10	28	28	0.5	1/4	1/4	Chord	3/4	1	2	1/8	1/8	1	125									
10	10	57/2	57/2	1.0	3/8	3/8	Chord	3/4	1	2	1/4	1/4	1	126									
10	10	59/2	59/2	0.5	5/8	5/8	Chord	3/4	1	2	1/8	1/8	1	127									
10	10	27	27	0.0	0	0	StaffText	3/4	2	1	0						poco cresc.						
10	10	27	27	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	128		articStaccatoAbove							
10	10	28	28	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	129		articStaccatoAbove							
10	10	29	29	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	130		articStaccatoAbove							
11	11	30	30	0.5	0	0	Chord	3/4	1	1	1/8	1/8	1	131									
11	11	61/2	61/2	0.25	1/8	1/8	Chord	3/4	1	1	1/16	1/16	1	132							17		
11	11	123/4	123/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16	1/16	1	133							17		
11	11	31	31	0.5	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	134		articStaccatoAbove							
11	11	63/2	63/2	0.0	3/8	3/8	StaffText	3/4	1	1	0						rit.-  -  -						
11	11	63/2	63/2	0.75	3/8	3/8	Chord	3/4	1	1	3/16	1/8	3/2	135		articTenutoAbove					18		
11	11	129/4	129/4	0.25	9/16	9/16	Chord	3/4	1	1	1/16	1/16	1	136							18		
11	11	65/2	65/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	137									
11	11	30	30	0.5	0	0	Chord	3/4	1	2	1/8	1/8	1	138									
11	11	61/2	61/2	1.0	1/8	1/8	Chord	3/4	1	2	1/4	1/4	1	139									
11	11	63/2	63/2	0.0	3/8	3/8	Spanner	3/4	1	2	0												7
11	11	63/2	63/2	1.0	3/8	3/8	Chord	3/4	1	2	1/4	1/4	1	140									7
11	11	65/2	65/2	0.0	5/8	5/8	Spanner	3/4	1	2	0												
11	11	65/2	65/2	0.5	5/8	5/8	Chord	3/4	1	2	1/8	1/8	1	141									
11	11	30	30	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	142		articStaccatoAbove							
11	11	31	31	0.5	1/4	1/4	Chord	3/4	2	1	1/8	1/8	1	143		articStaccatoAbove							
11	11	255/8	255/8	0.125	15/32	15/32	Chord	3/4	2	1	1/32	1/32	1	144							19		
11	11	32	32	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	145		articStaccatoAbove							
12	12	33	33	0.0	0	0	StaffText	3/4	1	1	0						a tempo						
12	12	33	33	0.0	0	0	Dynamic	3/4	1	1	0				p								
12	12	67/2	67/2	0.16666666666666666	1/8	1/8	Chord	3/4	1	1	1/24	1/16	2/3	146							20		
12	12	101/3	101/3	0.16666666666666666	1/6	1/6	Chord	3/4	1	1	1/24	1/16	2/3	147							20		
12	12	203/6	203/6	0.16666666666666666	5/24	5/24	Chord	3/4	1	1	1/24	1/16	2/3	148							20		
12	12	34	34	0.5	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	149		articStaccatoAbove							
12	12	69/2	69/2	1.0	3/8	3/8	Chord	3/4	1	1	1/4	1/4	1	150		articTenutoAbove							
12	12	71/2	71/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	151		articTenutoAbove							
12	12	67/2	67/2	0.0	1/8	1/8	Spanner	3/4	1	2	0												8
12	12	67/2	67/2	0.5	1/8	1/8	Chord	3/4	1	2	1/8	1/8	1	152									8
12	12	34	34	0.0	1/4	1/4	Spanner	3/4	1	2	0												
12	12	34	34	0.5	1/4	1/4	Chord	3/4	1	2	1/8	1/8	1	153									
12	12	69/2	69/2	0.0	3/8	3/8	Dynamic	3/4	1	2	0				p								
12	12	69/2	69/2	1.0	3/8	3/8	Chord	3/4	1	2	1/4	1/4	1	154									
12	12	71/2	71/2	0.5	5/8	5/8	Chord	3/4	1	2	1/8	1/8	1	155									
12	12	33	33	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	156		articStaccatoAbove							
12	12	34	34	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	157		articStaccatoAbove							
12	12	35	35	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	158		articStaccatoAbove							
13	13	36	36	0.5	0	0	Chord	3/4	1	1	1/8	1/8	1	159									
13	13	73/2	73/2	0.16666666666666666	1/8	1/8	Chord	3/4	1	1	1/24	1/16	2/3	160							21		
13	13	110/3	110/3	0.16666666666666666	1/6	1/6	Chord	3/4	1	1	1/24	1/16	2/3	161							21		
13	13	221/6	221/6	0.16666666666666666	5/24	5/24	Chord	3/4	1	1	1/24	1/16	2/3	162							21		
13	13	37	37	0.5	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	163		articStaccatoAbove							
13	13	75/2	75/2	1.0	3/8	3/8	Chord	3/4	1	1	1/4	1/4	1	164		articTenutoAbove							
13	13	77/2	77/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	165		articTenutoAbove					22		
13	13	36	36	0.5	0	0	Chord	3/4	1	2	1/8	1/8	1	166									
13	13	73/2	73/2	0.0	1/8	1/8	Spanner	3/4	1	2	0												9
13	13	73/2	73/2	0.5	1/8	1/8	Chord	3/4	1	2	1/8	1/8	1	167									9
13	13	37	37	0.0	1/4	1/4	Spanner	3/4	1	2	0												
13	13	37	37	0.5	1/4	1/4	Chord	3/4	1	2	1/8	1/8	1	168									
13	13	75/2	75/2	1.0	3/8	3/8	Chord	3/4	1	2	1/4	1/4	1	169									
13	13	77/2	77/2	0.5	5/8	5/8	Chord	3/4	1	2	1/8	1/8	1	170									
13	13	36	36	0.5	0	0	Chord	3/4	2	1	1/8	1/8	1	171		articStaccatoAbove							
13	13	295/8	295/8	0.125	7/32	7/32	Chord	3/4	2	1	1/32	1/32	1	172							23		
13	13	37	37	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	173		articStaccatoAbove							
13	13	38	38	0.0	1/2	1/2	StaffText	3/4	2	1	0						8 bassa						
13	13	38	38	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	174		articStaccatoAbove							
14	14	39	39	0.5	0	0	Chord	3/4	1	1	1/8	1/8	1	175									
14	14	79/2	79/2	0.16666666666666666	1/8	1/8	Chord	3/4	1	1	1/24	1/16	2/3	176							24		
14	14	119/3	119/3	0.16666666666666666	1/6	1/6	Chord	3/4	1	1	1/24	1/16	2/3	177							24		
14	14	239/6	239/6	0.16666666666666666	5/24	5/24	Chord	3/4	1	1	1/24	1/16	2/3	178							24		
14	14	40	40	0.5	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	179		articStaccatoAbove							
14	14	81/2	81/2	1.0	3/8	3/8	Chord	3/4	1	1	1/4	1/4	1	180		articTenutoAbove							
14	14	83/2	83/2	0.16666666666666666	5/8	5/8	Chord	3/4	1	1	1/24	1/16	2/3	181							25		
14	14	125/3	125/3	0.16666666666666666	2/3	2/3	Chord	3/4	1	1	1/24	1/16	2/3	182							25		
14	14	251/6	251/6	0.16666666666666666	17/24	17/24	Chord	3/4	1	1	1/24	1/16	2/3	183							25		
14	14	39	39	0.5	0	0	Chord	3/4	1	2	1/8	1/8	1	184									
14	14	79/2	79/2	0.5	1/8	1/8	Chord	3/4	1	2	1/8	1/8	1	185									
14	14	40	40	0.5	1/4	1/4	Chord	3/4	1	2	1/8	1/8	1	186									
14	14	81/2	81/2	1.0	3/8	3/8	Chord	3/4	1	2	1/4	1/4	1	187									
14	14	83/2	83/2	0.5	5/8	5/8	Chord	3/4	1	2	1/8	1/8	1	188									
14	14	39	39	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	189		articStaccatoAbove							
14	14	40	40	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	190		articStaccatoAbove							
14	14	41	41	0.5	1/2	1/2	Chord	3/4	2	1	1/8	1/8	1	191		articStaccatoAbove							
14	14	335/8	335/8	0.125	23/32	23/32	Chord	3/4	2	1	1/32	1/32	1	192							26		
15	15	42	42	0.5	0	0	Chord	3/4	1	1	1/8	1/8	1	193		articStaccatoAbove							
15	15	85/2	85/2	1.0	1/8	1/8	Chord	3/4	1	1	1/4	1/4	1	194		articTenutoAbove							
15	15	87/2	87/2	0.25	3/8	3/8	Chord	3/4	1	1	1/16	1/16	1	195							27		
15	15	175/4	175/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16	1/16	1	196							27		
15	15	44	44	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	197									
15	15	42	42	0.5	0	0	Chord	3/4	1	2	1/8	1/8	1	198									
15	15	85/2	85/2	1.0	1/8	1/8	Chord	3/4	1	2	1/4	1/4	1	199									
15	15	87/2	87/2	1.0	3/8	3/8	Chord	3/4	1	2	1/4	1/4	1	200							28		
15	15	89/2	89/2	0.5	5/8	5/8	Chord	3/4	1	2	1/8	1/8	1	201									
15	15	42	42	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	202		articStaccatoBelow							
15	15	43	43	2.0	1/4	1/4	Chord	3/4	2	1	1/2	1/2	1	203		articTenutoAbove							
15	15	43	43	1.0	1/4	1/4	Chord	3/4	2	2	1/4	1/4	1	204							29		
15	15	44	44	1.0	1/2	1/2	Chord	3/4	2	2	1/4	1/4	1	205									
