mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	tempo_visible	slur	crescendo_hairpin	decrescendo_hairpin
1	1	0	0	0.0	0	0	Dynamic	3/4	1	1	0				p								
1	1	0	0	0.0	0	0	Tempo	3/4	1	1	0							Adagiomisterioso	71.0	1.0			
1	1	1/2	1/2	0.16666666666666666	1/8	1/8	Chord	3/4	1	1	1/24	1/16	2/3	0							0		
1	1	2/3	2/3	0.16666666666666666	1/6	1/6	Chord	3/4	1	1	1/24	1/16	2/3	1							0		
1	1	5/6	5/6	0.16666666666666666	5/24	5/24	Chord	3/4	1	1	1/24	1/16	2/3	2							0		
1	1	1	1	0.5	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	3		articStaccatoAbove							
1	1	3/2	3/2	1.0	3/8	3/8	Chord	3/4	1	1	1/4	1/4	1	4		articTenutoAbove							
1	1	5/2	5/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	5		articTenutoAbove							
1	1	1/2	1/2	0.0	1/8	1/8	Spanner	3/4	1	2	0											0	
1	1	1/2	1/2	0.5	1/8	1/8	Chord	3/4	1	2	1/8	1/8	1	6								0	
1	1	1	1	0.0	1/4	1/4	Spanner	3/4	1	2	0												
1	1	1	1	0.0	1/4	1/4	Spanner	3/4	1	2	0												0
1	1	1	1	0.5	1/4	1/4	Chord	3/4	1	2	1/8	1/8	1	7									0
1	1	3/2	3/2	0.0	3/8	3/8	Spanner	3/4	1	2	0												
1	1	3/2	3/2	1.0	3/8	3/8	Chord	3/4	1	2	1/4	1/4	1	8									
1	1	5/2	5/2	0.5	5/8	5/8	Chord	3/4	1	2	1/8	1/8	1	9									
1	1	0	0	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	10		articStaccatoAbove							
1	1	1	1	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	11		articStaccatoAbove							
1	1	2	2	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	12		articStaccatoAbove							
2	2	3	3	0.5	0	0	Chord	3/4	1	1	1/8	1/8	1	13									
2	2	7/2	7/2	0.25	1/8	1/8	Chord	3/4	1	1	1/16	1/16	1	14							1		
2	2	15/4	15/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16	1/16	1	15							1		
2	2	4	4	0.0	1/4	1/4	Spanner	3/4	1	1	0											1	
2	2	4	4	0.5	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	16		articStaccatoAbove						1	
2	2	9/2	9/2	0.0	3/8	3/8	StaffText	3/4	1	1	0						poco rit.						
2	2	9/2	9/2	0.0	3/8	3/8	Spanner	3/4	1	1	0												
2	2	9/2	9/2	0.75	3/8	3/8	Chord	3/4	1	1	3/16	1/8	3/2	17		articTenutoAbove					2		
2	2	21/4	21/4	0.25	9/16	9/16	Chord	3/4	1	1	1/16	1/16	1	18							2		
2	2	11/2	11/2	0.0	5/8	5/8	Spanner	3/4	1	1	0												1
