mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	system_text	slur	crescendo_hairpin	decrescendo_hairpin
5	5	25/2	25/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8	1/8	1	48		articStaccatoAbove					
5	5	13	13	0.5	1/4	1/4	Chord	3/4	2	1	1/8	1/8	1	49		articStaccatoAbove					
5	5	27/2	27/2	1.0	3/8	3/8	Chord	3/4	2	1	1/4	1/4	1	50		articTenutoAbove					
5	5	29/2	29/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	51							
6	6	15	15	0.5	0	0	Chord	3/4	1	1	1/8	1/8	1	52		articTenutoAbove					
6	6	31/2	31/2	0.25	1/8	1/8	Chord	3/4	1	1	1/16	1/16	1	53					8		
6	6	63/4	63/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16	1/16	1	54					8		
6	6	16	16	0.5	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	55					8		
6	6	33/2	33/2	1.0	3/8	3/8	Chord	3/4	1	1	1/4	1/4	1	56					8		
6	6	35/2	35/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	57							
6	6	15	15	0.5	0	0	Chord	3/4	1	2	1/8	1/8	1	58							
6	6	31/2	31/2	0.5	1/8	1/8	Chord	3/4	1	2	1/8	1/8	1	59							
6	6	16	16	0.5	1/4	1/4	Chord	3/4	1	2	1/8	1/8	1	60							
6	6	33/2	33/2	1.0	3/8	3/8	Chord	3/4	1	2	1/4	1/4	1	61							
6	6	35/2	35/2	0.5	5/8	5/8	Chord	3/4	1	2	1/8	1/8	1	62							
6	6	15	15	0.5	0	0	Chord	3/4	2	1	1/8	1/8	1	63		articTenutoAbove					
6	6	31/2	31/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8	1/8	1	64					9		
6	6	16	16	0.5	1/4	1/4	Chord	3/4	2	1	1/8	1/8	1	65					9		
6	6	33/2	33/2	1.0	3/8	3/8	Chord	3/4	2	1	1/4	1/4	1	66					9		
6	6	35/2	35/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	67							
7	7	18	18	2.0	0	0	Chord	3/4	1	1	1/2	1/2	1	68		articTenutoAbove					
7	7	20	20	0.25	1/2	1/2	Chord	3/4	1	1	1/16	1/16	1	69							
7	7	81/4	81/4	0.25	9/16	9/16	Chord	3/4	1	1	1/16	1/16	1	70					10		
7	7	41/2	41/2	0.25	5/8	5/8	Chord	3/4	1	1	1/16	1/16	1	71					10		
7	7	83/4	83/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16	1/16	1	72					10		
7	7	37/2	37/2	0.25	1/8	1/8	Chord	3/4	1	2	1/16	1/16	1	73					11		
7	7	75/4	75/4	0.25	3/16	3/16	Chord	3/4	1	2	1/16	1/16	1	74							
7	7	41/2	41/2	0.5	5/8	5/8	Chord	3/4	1	2	1/8	1/8	1	75							
7	7	18	18	1.5	0	0	Chord	3/4	2	1	3/8	1/4	3/2	76							
7	7	41/2	41/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	77							
7	7	19	19	1.0	1/4	1/4	Chord	3/4	2	3	1/4	1/4	1	78		articTenutoBelow					
7	7	20	20	0.25	1/2	1/2	Chord	3/4	2	3	1/16	1/16	1	79							
7	7	81/4	81/4	0.0	9/16	9/16	StaffText	3/4	2	3	0						dim.				
7	7	81/4	81/4	0.25	9/16	9/16	Chord	3/4	2	3	1/16	1/16	1	80					12		
7	7	41/2	41/2	0.25	5/8	5/8	Chord	3/4	2	3	1/16	1/16	1	81							
7	7	83/4	83/4	0.25	11/16	11/16	Chord	3/4	2	3	1/16	1/16	1	82							
8	8	21	21	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	83		articTenutoAbove					
8	8	43/2	43/2	0.0	1/8	1/8	Dynamic	3/4	1	2	0				pp						
8	8	43/2	43/2	0.125	1/8	1/8	Chord	3/4	1	2	1/32	1/32	1	84					13		
8	8	173/8	173/8	0.125	5/32	5/32	Chord	3/4	1	2	1/32	1/32	1	85					13		
8	8	87/4	87/4	0.125	3/16	3/16	Chord	3/4	1	2	1/32	1/32	1	86					13		
8	8	175/8	175/8	0.125	7/32	7/32	Chord	3/4	1	2	1/32	1/32	1	87					13		
8	8	22	22	1.0	1/4	1/4	Chord	3/4	1	2	1/4	1/4	1	88					13		
8	8	23	23	1.0	1/2	1/2	Chord	3/4	1	2	1/4	1/4	1	89							
8	8	21	21	1.5	0	0	Chord	3/4	2	1	3/8	1/4	3/2	90		articTenutoAbove					
8	8	43/2	43/2	0.125	1/8	1/8	Chord	3/4	2	2	1/32	1/32	1	91					14		
8	8	173/8	173/8	0.125	5/32	5/32	Chord	3/4	2	2	1/32	1/32	1	92					14		
8	8	87/4	87/4	0.125	3/16	3/16	Chord	3/4	2	2	1/32	1/32	1	93					14		
8	8	175/8	175/8	0.125	7/32	7/32	Chord	3/4	2	2	1/32	1/32	1	94					14		
8	8	22	22	1.0	1/4	1/4	Chord	3/4	2	2	1/4	1/4	1	95					14		
8	8	23	23	1.0	1/2	1/2	Chord	3/4	2	2	1/4	1/4	1	96							
9	9	24	24	0.0	0	0	Dynamic	3/4	1	1	0				mf						
9	9	24	24	0.5	0	0	Chord	3/4	1	1	1/8	1/8	1	97		articStaccatoAbove					
9	9	49/2	49/2	0.25	1/8	1/8	Chord	3/4	1	1	1/16	1/16	1	98					15		
9	9	99/4	99/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16	1/16	1	99							
9	9	25	25	1.5	1/4	1/4	Chord	3/4	1	1	3/8	1/4	3/2	100		articTenutoAbove					
9	9	24	24	0.5	0	0	Chord	3/4	2	1	1/8	1/8	1	101		articStaccatoAbove			16		
9	9	49/2	49/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8	1/8	1	102		articStaccatoAbove					
9	9	25	25	1.5	1/4	1/4	Chord	3/4	2	1	3/8	1/4	3/2	103		articTenutoAbove					
9	9	53/2	53/2	0.0	5/8	5/8	Dynamic	3/4	2	1	0				p						
9	9	53/2	53/2	0.25	5/8	5/8	Chord	3/4	2	1	1/16	1/16	1	104					17		
9	9	107/4	107/4	0.25	11/16	11/16	Chord	3/4	2	1	1/16	1/16	1	105					17		
10	10	55/2	55/2	0.0	1/8	1/8	Dynamic	3/4	1	1	0				pp						
10	10	55/2	55/2	0.25	1/8	1/8	Chord	3/4	1	1	1/16	1/16	1	106					18		
10	10	111/4	111/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16	1/16	1	107							
10	10	28	28	0.5	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	108		articStaccatoAbove					
10	10	57/2	57/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	109		articStaccatoAbove					
10	10	29	29	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	110		articTenutoAbove					
10	10	27	27	3.0	0	0	Chord	3/4	2	1	3/4	1/2	3/2	111		articTenutoAbove					
10	10	55/2	55/2	0.5	1/8	1/8	Chord	3/4	2	2	1/8	1/8	1	112		articStaccatoAbove					
10	10	28	28	0.5	1/4	1/4	Chord	3/4	2	2	1/8	1/8	1	113		articStaccatoAbove					
10	10	57/2	57/2	0.5	3/8	3/8	Chord	3/4	2	2	1/8	1/8	1	114		articStaccatoAbove					
10	10	29	29	1.0	1/2	1/2	Chord	3/4	2	2	1/4	1/4	1	115		articTenutoAbove					
11	11	30	30	0.0	0	0	Dynamic	3/4	1	1	0				f						
11	11	30	30	0.5	0	0	Chord	3/4	1	1	1/8	1/8	1	116							
11	11	61/2	61/2	0.25	1/8	1/8	Chord	3/4	1	1	1/16	1/16	1	117					19		
11	11	123/4	123/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16	1/16	1	118							
11	11	31	31	0.5	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	119		articStaccatoAbove					
11	11	63/2	63/2	0.0	3/8	3/8	SystemText	3/4	1	1	0							dim.			
11	11	63/2	63/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	120		articStaccatoAbove					
11	11	32	32	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	121		articTenutoAbove					
11	11	30	30	0.5	0	0	Chord	3/4	2	1	1/8	1/8	1	122		articStaccatoAbove					
11	11	61/2	61/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8	1/8	1	123		articStaccatoAbove					
11	11	31	31	0.5	1/4	1/4	Chord	3/4	2	1	1/8	1/8	1	124		articStaccatoAbove					
11	11	63/2	63/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	125		articStaccatoAbove					
11	11	32	32	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	126		articTenutoAbove					
12	12	33	33	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	127		articTenutoAbove					
12	12	69/2	69/2	0.25	3/8	3/8	Chord	3/4	1	1	1/16	1/16	1	128					20		
12	12	139/4	139/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16	1/16	1	129					20		
12	12	35	35	0.5	1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	130							
12	12	71/2	71/2	0.25	5/8	5/8	Chord	3/4	1	1	1/16	1/16	1	131					21		
12	12	143/4	143/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16	1/16	1	132							
12	12	69/2	69/2	0.5	3/8	3/8	Chord	3/4	1	2	1/8	1/8	1	133							
12	12	35	35	0.5	1/2	1/2	Chord	3/4	1	2	1/8	1/8	1	134							
12	12	71/2	71/2	0.5	5/8	5/8	Chord	3/4	1	2	1/8	1/8	1	135							
12	12	67/2	67/2	0.25	1/8	1/8	Chord	3/4	2	1	1/16	1/16	1	136					22		
12	12	135/4	135/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16	1/16	1	137					22		
12	12	34	34	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	138		articTenutoAbove					
12	12	35	35	0.5	1/2	1/2	Chord	3/4	2	1	1/8	1/8	1	139							
12	12	71/2	71/2	0.25	5/8	5/8	Chord	3/4	2	1	1/16	1/16	1	140					23		
12	12	143/4	143/4	0.25	11/16	11/16	Chord	3/4	2	1	1/16	1/16	1	141							
12	12	33	33	1.0	0	0	Chord	3/4	2	2	1/4	1/4	1	142							
12	12	69/2	69/2	0.5	3/8	3/8	Chord	3/4	2	2	1/8	1/8	1	143							
12	12	35	35	0.5	1/2	1/2	Chord	3/4	2	2	1/8	1/8	1	144							
12	12	71/2	71/2	0.5	5/8	5/8	Chord	3/4	2	2	1/8	1/8	1	145							
13	13	36	36	0.5	0	0	Chord	3/4	1	1	1/8	1/8	1	146		articStaccatoAbove					
13	13	73/2	73/2	0.25	1/8	1/8	Chord	3/4	1	1	1/16	1/16	1	147					24		
13	13	147/4	147/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16	1/16	1	148							
13	13	37	37	0.5	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	149		articStaccatoAbove					
13	13	75/2	75/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	150		articStaccatoAbove					
13	13	38	38	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	151		articTenutoAbove					
13	13	36	36	0.5	0	0	Chord	3/4	2	1	1/8	1/8	1	152		articStaccatoAbove					
13	13	73/2	73/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8	1/8	1	153		articStaccatoAbove					
13	13	37	37	0.5	1/4	1/4	Chord	3/4	2	1	1/8	1/8	1	154							
13	13	75/2	75/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	155		articStaccatoAbove					
13	13	38	38	0.5	1/2	1/2	Chord	3/4	2	1	1/8	1/8	1	156							
13	13	77/2	77/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	157							
13	13	38	38	1.0	1/2	1/2	Chord	3/4	2	2	1/4	1/4	1	158							
14	14	39	39	0.5	0	0	Chord	3/4	1	1	1/8	1/8	1	159							
14	14	79/2	79/2	0.0	1/8	1/8	Dynamic	3/4	1	1	0				f						
14	14	79/2	79/2	0.25	1/8	1/8	Chord	3/4	1	1	1/16	1/16	1	160					25		
14	14	159/4	159/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16	1/16	1	161							
14	14	40	40	0.5	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	162		articStaccatoAbove					
14	14	81/2	81/2	0.0	3/8	3/8	SystemText	3/4	1	1	0							dim.			
14	14	81/2	81/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	163		articStaccatoAbove					
14	14	41	41	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	164		articTenutoAbove					
14	14	39	39	1.0	0	0	Chord	3/4	1	2	1/4	1/4	1	165							
14	14	79/2	79/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8	1/8	1	166		articStaccatoAbove					
14	14	40	40	0.5	1/4	1/4	Chord	3/4	2	1	1/8	1/8	1	167		articStaccatoAbove					
14	14	81/2	81/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	168		articStaccatoAbove					
14	14	41	41	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	169		articTenutoAbove					
15	15	42	42	0.5	0	0	Chord	3/4	1	1	1/8	1/8	1	170							
15	15	85/2	85/2	0.0	1/8	1/8	Dynamic	3/4	1	1	0				p						
15	15	85/2	85/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	171							
15	15	43	43	1.0	1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	172		articTenutoAbove					
15	15	44	44	0.0	1/2	1/2	SystemText	3/4	1	1	0							dim.			
15	15	44	44	0.5	1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	173		articStaccatoAbove					
15	15	89/2	89/2	0.25	5/8	5/8	Chord	3/4	1	1	1/16	1/16	1	174					26		
15	15	179/4	179/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16	1/16	1	175							
15	15	85/2	85/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8	1/8	1	176		articStaccatoAbove					
15	15	43	43	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	177		articTenutoAbove					
15	15	44	44	0.5	1/2	1/2	Chord	3/4	2	1	1/8	1/8	1	178		articStaccatoAbove					
15	15	89/2	89/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	179		articStaccatoAbove					
16	16	91/2	91/2	0.125	1/8	1/8	Chord	3/4	1	1	1/32	1/32	1	180							
16	16	365/8	365/8	0.125	5/32	5/32	Chord	3/4	1	1	1/32	1/32	1	181							
16	16	183/4	183/4	0.125	3/16	3/16	Chord	3/4	1	1	1/32	1/32	1	182							
16	16	367/8	367/8	0.125	7/32	7/32	Chord	3/4	1	1	1/32	1/32	1	183							
16	16	46	46	1.0	1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	184							
16	16	47	47	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	185							
16	16	45	45	1.5	0	0	Chord	3/4	1	2	3/8	1/4	3/2	186							
16	16	91/2	91/2	0.125	1/8	1/8	Chord	3/4	2	1	1/32	1/32	1	187							
16	16	365/8	365/8	0.125	5/32	5/32	Chord	3/4	2	1	1/32	1/32	1	188							
16	16	183/4	183/4	0.125	3/16	3/16	Chord	3/4	2	1	1/32	1/32	1	189							
16	16	367/8	367/8	0.125	7/32	7/32	Chord	3/4	2	1	1/32	1/32	1	190							
16	16	46	46	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	191							
16	16	47	47	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	192							
16	16	45	45	1.5	0	0	Chord	3/4	2	2	3/8	1/4	3/2	193							
