mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	1	0	0	9/8	2	1	d.i(+9){	d	i		i(+9)		i			+9			{	m	1	1	2, -1, 3	4	2	2	1	7	0.125	0.0625	0.8125	0.07142857142857142
1	1	1/4	1/4	9/8	2	1	i	d	i		i		i							m	1	1	2, -1, 3		2	2	0	5	0.0	0.0	0.625	0.0
1	1	3/8	3/8	9/8	2	1	i7(+9)	d	i		i7(+9)		i		7	+9				mm7	1	1	2, -1, 3, 0	4	2	2	1	7	0.125	0.0625	0.8125	0.07142857142857142
1	1	5/8	5/8	9/8	2	1	i7	d	i		i7		i		7					mm7	1	1	2, -1, 3, 0		2	2	0	5	0.0	0.0	0.625	0.0
1	1	3/4	3/4	9/8	2	1	IV43(+13)	d	i		IV43(+13)		IV		43	+13				Mm7	1	1	2, -1, 1, 5	4	1	2	0	8	0.0	0.0	0.875	0.0
1	1	1	1	9/8	2	1	i(#6)	d	i		i(#6)		i			#6				m	1	1	2, -1, 3	5	2	2	0	5	0.0	0.0	0.625	0.0
2	2	0	0	9/8	2	1	Fr2	d	i		Fr2	Fr	V		2	b5	V			Fr	1	1	2, 4, 8, -2		4	2	3	10	0.23076923076923078	0.3125	1.1875	0.20833333333333334
2	2	3/8	3/8	9/8	2	1	V(964)	d	i		V(964)		V			964				M	1	1	3, 2, -1	-2	3	3	3	7	0.3	0.375	0.75	0.3333333333333333
2	2	3/4	3/4	9/8	2	1	V	d	i		V		V							M	1	1	3, 7, 4		3	3	1	6	0.14285714285714285	0.0625	0.6875	0.08333333333333333
3	3	0	0	9/8	2	1	i(+9){	d	i		i(+9)		i			+9			{	m	1	1	2, -1, 3	4	2	2	1	7	0.125	0.0625	0.8125	0.07142857142857142
3	3	1/4	1/4	9/8	2	1	i	d	i		i		i							m	1	1	2, -1, 3		2	2	0	5	0.0	0.0	0.625	0.0
3	3	3/8	3/8	9/8	2	1	iM7(9^#4)	d	i		iM7(9^#4)		i	M	7	9^#4				mM7	1	1	2, -1, 8, 7	4	2	2	1	7	0.125	0.0625	0.8125	0.07142857142857142
3	3	5/8	5/8	9/8	2	1	iM7(^#4)	d	i		iM7(^#4)		i	M	7	^#4				mM7	1	1	2, -1, 8, 7		2	2	0	5	0.0	0.0	0.625	0.0
3	3	3/4	3/4	9/8	2	1	ivM43(^1394)	d	i		ivM43(^1394)		iv	M	43	^1394				mM7	1	1	2, 6, 1, 0	4, 3	1	2	0	8	0.0	0.0	0.875	0.0
3	3	1	1	9/8	2	1	iv7(9)	d	i		iv7(9)		iv		7	9				mm7	1	1	1, -2, 2, -1	3	1	1	1	3	0.25	0.125	0.375	0.25
4	4	0	0	9/8	2	1	V/III	d	i		V/III		V				III			M	1	1	0, 4, 1		0	0	1	8	0.1111111111111111	0.0625	0.9375	0.0625
4	4	3/8	3/8	9/8	2	1	V(9+4)/III	d	i		V(9+4)/III		V			9+4	III			M	1	1	0, 4, 1	2, -1	0	0	3	8	0.2727272727272727	0.3125	0.9375	0.25
4	4	3/4	3/4	9/8	2	1	V(9)/III	d	i		V(9)/III		V			9	III			M	1	1	0, 4, 1	2	0	0	3	8	0.2727272727272727	0.3125	0.9375	0.25
5	5	0	0	9/8	2	1	IIIM43(9)	d	i		IIIM43(9)		III	M	43	9				MM7	1	1	0, 4, -1, 3	1	-1	0	0	7	0.0	0.0	0.75	0.0
5	5	1/4	1/4	9/8	2	1	IIIM7(9)|IAC}	d	i		IIIM7(9)		III	M	7	9		IAC	}	MM7	1	1	-1, 3, 0, 4	1	-1	-1	0	5	0.0	0.0	0.625	0.0
5	5	3/8	3/8	9/8	2	1	III64(+6){	d	i		III64(+6)		III		64	+6			{	M	1	1	0, -1, 3	2	-1	0	0	9	0.0	0.0	1.0	0.0
5	5	3/4	3/4	9/8	2	1	V/III	d	i		V/III		V				III			M	1	1	0, 4, 1		0	0	0	3	0.0	0.0	0.25	0.0
5	5	1	1	9/8	2	1	#vio6	d	i		#vio6		#vi	o	6					o	1	1	2, -1, 5		5	2	1	3	0.25	0.125	0.375	0.25
6	6	0	0	9/8	2	1	V43(139)/III	d	i		V43(139)/III		V		43	139	III			Mm7	1	1	1, -2, 0, 4	3, 2	0	1	1	6	0.14285714285714285	0.125	0.625	0.16666666666666666
6	6	1/4	1/4	9/8	2	1	V(+94)/III	d	i		V(+94)/III		V			+94	III			M	1	1	0, -1, 1	2	0	0	0	5	0.0	0.0	0.625	0.0
6	6	3/8	3/8	9/8	2	1	bIII+M7/III	d	i		bIII+M7/III		bIII	+M	7		III			+M7	1	1	-4, 0, 4, 1		-4	-4	0	9	0.0	0.0	1.0	0.0
6	6	3/4	3/4	9/8	2	1	iiM7(#9)	d	i		iiM7(#9)		ii	M	7	#9				mM7	1	1	4, 1, 5, 9	6	4	4	0	7	0.0	0.0	0.75	0.0
7	7	0	0	6/8	2	1	V7(94)	d	i		V7(94)		V		7	94				Mm7	1	1	3, 2, 4, 1	-2	3	3	1	9	0.1	0.125	1.0	0.1111111111111111
7	7	3/8	3/8	6/8	2	1	iM7(9)	d	i		iM7(9)		i	M	7	9				mM7	1	1	2, -1, 3, 7	4	2	2	0	7	0.0	0.0	0.75	0.0
8	8	0	0	9/8	2	1	i7	d	i		i7		i		7					mm7	1	1	2, -1, 3, 0		2	2	0	4	0.0	0.0	0.5	0.0
8	8	3/16	3/16	9/8	2	1	iv(642)	d	i		iv(642)		iv			642				m	1	1	3, 0, 4		1	3	4	3	0.5714285714285714	0.375	0.375	0.5
8	8	9/16	9/16	9/8	2	1	#vio2(b4)	d	i		#vio2(b4)		#vi	o	2	b4				o7	1	1	-4, 5, -3, -1		5	-4	1	5	0.16666666666666666	0.0625	0.5625	0.1
8	8	3/4	3/4	9/8	2	1	V7(96)	d	i		V7(96)		V		7	96				Mm7	1	1	3, 7, -1, 1	-2	3	3	1	6	0.14285714285714285	0.0625	0.6875	0.08333333333333333
9	9	0	0	9/8	2	1	i(+9)	d	i		i(+9)		i			+9				m	1	1	2, -1, 3	4	2	2	1	7	0.125	0.0625	0.8125	0.07142857142857142
9	9	1/4	1/4	9/8	2	1	i|IAC}	d	i		i		i					IAC	}	m	1	1	2, -1, 3		2	2	0	5	0.0	0.0	0.625	0.0
9	9	3/8	3/8	9/8	2	1	i7(+9){	d	i		i7(+9)		i		7	+9			{	mm7	1	1	2, -1, 3, 0	4	2	2	1	7	0.125	0.0625	0.8125	0.07142857142857142
9	9	5/8	5/8	9/8	2	1	i7	d	i		i7		i		7					mm7	1	1	2, -1, 3, 0		2	2	0	5	0.0	0.0	0.625	0.0
9	9	3/4	3/4	9/8	2	1	IV43(+13)	d	i		IV43(+13)		IV		43	+13				Mm7	1	1	2, -1, 1, 5	4	1	2	0	8	0.0	0.0	0.875	0.0
9	9	1	1	9/8	2	1	i(#6)	d	i		i(#6)		i			#6				m	1	1	2, -1, 3	5	2	2	0	5	0.0	0.0	0.625	0.0
10	10	0	0	9/8	2	1	Fr2	d	i		Fr2	Fr	V		2	b5	V			Fr	1	1	2, 4, 8, -2		4	2	3	10	0.23076923076923078	0.3125	1.1875	0.20833333333333334
10	10	3/8	3/8	9/8	2	1	V(964)	d	i		V(964)		V			964				M	1	1	3, 2, -1	-2	3	3	3	7	0.3	0.375	0.75	0.3333333333333333
10	10	3/4	3/4	9/8	2	1	V	d	i		V		V							M	1	1	3, 7, 4		3	3	1	6	0.14285714285714285	0.0625	0.6875	0.08333333333333333
11	11	0	0	9/8	2	1	IIIM43(9){	d	i		IIIM43(9)		III	M	43	9			{	MM7	1	1	0, 4, -1, 3	1	-1	0	0	7	0.0	0.0	0.75	0.0
11	11	1/4	1/4	9/8	2	1	IIIM7(9)	d	i		IIIM7(9)		III	M	7	9				MM7	1	1	-1, 3, 0, 4	1	-1	-1	0	5	0.0	0.0	0.625	0.0
11	11	3/8	3/8	9/8	2	1	III64(+6)	d	i		III64(+6)		III		64	+6				M	1	1	0, -1, 3	2	-1	0	0	9	0.0	0.0	1.0	0.0
