mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	1	0	0	9/8	2	1	Db.I{		Db	I		I	I						{	M	0	0	-5, -1, -4		-5	-5	0	6	0.0	0.0	1.125	0.0
1	1	3/8	3/8	9/8	2	1	IM2		Db	I		IM2	I	M	2					MM7	0	0	0, -5, -1, -4		-5	0	1	6	0.14285714285714285	0.125	1.0	0.1111111111111111
1	1	3/4	3/4	9/8	2	1	vi7		Db	I		vi7	vi		7					mm7	0	0	-2, -5, -1, -4		-2	-2	1	7	0.125	0.125	1.0	0.1111111111111111
2	2	0	0	9/8	2	1	vi65		Db	I		vi65	vi		65					mm7	0	0	-5, -1, -4, -2		-2	-5	1	7	0.125	0.125	1.0	0.1111111111111111
2	2	3/8	3/8	9/8	2	1	iii43		Db	I		iii43	iii		43					mm7	0	0	0, -3, -1, -4		-1	0	0	6	0.0	0.0	1.125	0.0
2	2	3/4	3/4	9/8	2	1	vi7		Db	I		vi7	vi		7					mm7	0	0	-2, -5, -1, -4		-2	-2	2	6	0.25	0.25	0.875	0.2222222222222222
3	3	0	0	9/8	2	1	I}{		Db	I		I	I						}{	M	0	0	-5, -1, -4		-5	-5	0	6	0.0	0.0	1.125	0.0
3	3	3/8	3/8	9/8	2	1	IM7		Db	I		IM7	I	M	7					MM7	0	0	-5, -1, -4, 0		-5	-5	1	7	0.125	0.125	1.0	0.1111111111111111
3	3	3/4	3/4	9/8	2	1	vi7		Db	I		vi7	vi		7					mm7	0	0	-2, -5, -1, -4		-2	-2	1	7	0.125	0.125	1.0	0.1111111111111111
4	4	0	0	9/8	2	1	ii2		Db	I		ii2	ii		2					mm7	0	0	-5, -3, -6, -2		-3	-5	0	8	0.0	0.0	1.125	0.0
4	4	3/8	3/8	9/8	2	1	v6		Db	I		v6	v		6					m	0	0	-7, -3, -4		-4	-7	0	6	0.0	0.0	1.125	0.0
4	4	3/4	3/4	9/8	2	1	ii43	v43/v	Db	I		ii43	ii		43					mm7	0	0	-2, -5, -3, -6		-3	-2	0	8	0.0	0.0	1.125	0.0
5	5	0	0	9/8	2	1	vi6}{		Db	I		vi6	vi		6				}{	m	0	0	-5, -1, -2		-2	-5	0	6	0.0	0.0	1.125	0.0
5	5	3/8	3/8	9/8	2	1	iii43(+4)		Db	I		iii43(+4)	iii		43	+4				mm7	0	0	0, -3, -1, -4	-2	-1	0	0	8	0.0	0.0	1.125	0.0
5	5	3/4	3/4	9/8	2	1	vi65		Db	I		vi65	vi		65					mm7	0	0	-5, -1, -4, -2		-2	-5	1	7	0.125	0.125	1.0	0.1111111111111111
6	6	0	0	9/8	2	1	I(+2)	ii2(^4)	Db	I		I(+2)	I			+2				M	0	0	-5, -1, -4	-3	-5	-5	1	7	0.125	0.125	1.0	0.1111111111111111
6	6	3/8	3/8	9/8	2	1	bVII		Db	I		bVII	bVII							M	0	0	-7, -3, -6		-7	-7	0	6	0.0	0.0	1.125	0.0
6	6	3/4	3/4	9/8	2	1	ii43		Db	I		ii43	ii		43					mm7	0	0	-2, -5, -3, -6		-3	-2	0	8	0.0	0.0	1.125	0.0
7	7	0	0	9/8	2	1	IV6(+13)		Db	I		IV6(+13)	IV		6	+13				M	0	0	-2, -5, -6	-3	-6	-2	1	7	0.125	0.125	1.125	0.1
7	7	3/8	3/8	9/8	2	1	IM43		Db	I		IM43	I	M	43					MM7	0	0	-4, 0, -5, -1		-5	-4	1	6	0.14285714285714285	0.25	1.0	0.2
7	7	3/4	3/4	9/8	2	1	i43(4)		Db	I		i43(4)	i		43	4				mm7	0	0	-4, -7, -5, -6		-5	-4	5	5	0.5	0.375	0.875	0.3
8	8	0	0	9/8	2	1	IV6(+13)		Db	I		IV6(+13)	IV		6	+13				M	0	0	-2, -5, -6	-3	-6	-2	1	7	0.125	0.125	1.125	0.1
8	8	3/8	3/8	9/8	2	1	V65/vi		Db	I		V65/vi	V		65		vi			Mm7	0	0	3, 0, -3, -1		-1	3	2	5	0.2857142857142857	0.25	1.0	0.2
8	8	3/4	3/4	9/8	2	1	i43(4)		Db	I		i43(4)	i		43	4				mm7	0	0	-4, -7, -5, -6		-5	-4	5	5	0.5	0.375	0.875	0.3
9	9	0	0	6/8	2	1	V65/vi		Db	I		V65/vi	V		65		vi			Mm7	0	0	3, 0, -3, -1		-1	3	1	5	0.16666666666666666	0.125	1.125	0.1
9	9	3/8	3/8	6/8	2	1	i43(4)		Db	I		i43(4)	i		43	4				mm7	0	0	-4, -7, -5, -6		-5	-4	5	5	0.5	0.375	0.875	0.3
10	10	0	0	6/8	2	1	IV6(+13)		Db	I		IV6(+13)	IV		6	+13				M	0	0	-2, -5, -6	-3	-6	-2	0	6	0.0	0.0	1.25	0.0
10	10	3/8	3/8	6/8	2	1	IM43(+#4)		Db	I		IM43(+#4)	I	M	43	+#4				MM7	0	0	-4, 0, -5, -1	1	-5	-4	2	6	0.25	0.25	1.0	0.2
11	11	0	0	6/8	2	1	IV6(+13)		Db	I		IV6(+13)	IV		6	+13				M	0	0	-2, -5, -6	-3	-6	-2	0	6	0.0	0.0	1.25	0.0
11	11	3/8	3/8	6/8	2	1	IM43(+#4)		Db	I		IM43(+#4)	I	M	43	+#4				MM7	0	0	-4, 0, -5, -1	1	-5	-4	3	5	0.375	0.625	0.625	0.5
12	12	0	0	6/8	2	1	vi7		Db	I		vi7	vi		7					mm7	0	0	-2, -5, -1, -4		-2	-2	2	6	0.25	0.25	1.0	0.2
12	12	3/8	3/8	6/8	2	1	#vi%7		Db	I		#vi%7	#vi	%	7					%7	0	0	5, 2, -1, 3		5	5	5	6	0.45454545454545453	0.4375	0.9375	0.3181818181818182
13	13	0	0	9/8	2	1	I}{		Db	I		I	I						}{	M	0	0	-5, -1, -4		-5	-5	0	7	0.0	0.0	1.125	0.0
13	13	3/8	3/8	9/8	2	1	IM2		Db	I		IM2	I	M	2					MM7	0	0	0, -5, -1, -4		-5	0	1	6	0.14285714285714285	0.125	1.0	0.1111111111111111
13	13	3/4	3/4	9/8	2	1	vi7		Db	I		vi7	vi		7					mm7	0	0	-2, -5, -1, -4		-2	-2	1	7	0.125	0.125	1.0	0.1111111111111111
14	14	0	0	9/8	2	1	vi65		Db	I		vi65	vi		65					mm7	0	0	-5, -1, -4, -2		-2	-5	1	7	0.125	0.125	1.0	0.1111111111111111
14	14	3/8	3/8	9/8	2	1	iii43		Db	I		iii43	iii		43					mm7	0	0	0, -3, -1, -4		-1	0	0	6	0.0	0.0	1.125	0.0
14	14	3/4	3/4	9/8	2	1	vi7		Db	I		vi7	vi		7					mm7	0	0	-2, -5, -1, -4		-2	-2	2	6	0.25	0.25	0.875	0.2222222222222222
15	15	0	0	9/8	2	1	I}{		Db	I		I	I						}{	M	0	0	-5, -1, -4		-5	-5	0	6	0.0	0.0	1.125	0.0
15	15	3/8	3/8	9/8	2	1	IM7		Db	I		IM7	I	M	7					MM7	0	0	-5, -1, -4, 0		-5	-5	1	7	0.125	0.125	1.0	0.1111111111111111
15	15	3/4	3/4	9/8	2	1	vi7		Db	I		vi7	vi		7					mm7	0	0	-2, -5, -1, -4		-2	-2	1	7	0.125	0.125	1.0	0.1111111111111111
16	16	0	0	9/8	2	1	ii2		Db	I		ii2	ii		2					mm7	0	0	-5, -3, -6, -2		-3	-5	0	8	0.0	0.0	1.125	0.0
16	16	3/8	3/8	9/8	2	1	v6		Db	I		v6	v		6					m	0	0	-7, -3, -4		-4	-7	0	6	0.0	0.0	1.125	0.0
16	16	3/4	3/4	9/8	2	1	ii43	v43/v	Db	I		ii43	ii		43					mm7	0	0	-2, -5, -3, -6		-3	-2	0	8	0.0	0.0	1.125	0.0
17	17	0	0	9/8	2	1	vi6}{		Db	I		vi6	vi		6				}{	m	0	0	-5, -1, -2		-2	-5	0	6	0.0	0.0	1.125	0.0
