mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	1	0	0	3/4	2	1	d.i{	d	i		i	i						{	m	1	1	2, -1, 3		2	2	0	5	0.0	0.0	0.625	0.0
1	1	1/4	1/4	3/4	2	1	i6	d	i		i6	i		6					m	1	1	-1, 3, 2		2	-1	0	5	0.0	0.0	0.75	0.0
1	1	1/2	1/2	3/4	2	1	ii%65	d	i		ii%65	ii	%	65					%7	1	1	1, -2, 2, 4		4	1	0	6	0.0	0.0	0.5625	0.0
2	2	0	0	3/4	2	1	V	d	i		V	V							M	1	1	3, 7, 4		3	3	0	13	0.0	0.0	1.875	0.0
3	3	0	0	3/4	2	1	i	d	i		i	i							m	1	1	2, -1, 3		2	2	0	5	0.0	0.0	0.625	0.0
3	3	1/4	1/4	3/4	2	1	i6	d	i		i6	i		6					m	1	1	-1, 3, 2		2	-1	0	5	0.0	0.0	0.625	0.0
3	3	1/2	1/2	3/4	2	1	V7/V/III	d	i		V7/V/III	V		7		V/III			Mm7	1	1	1, 5, 2, -1		1	1	3	6	0.3333333333333333	0.25	0.6875	0.26666666666666666
4	4	0	0	3/4	2	2	V/III	d	i		V/III	V				III			M	1	1	0, 4, 1		0	0	0	13	0.0	0.0	1.875	0.0
5	5	0	0	3/4	2	1	I/III	d	i		I/III	I				III			M	1	1	-1, 3, 0		-1	-1	0	5	0.0	0.0	0.625	0.0
5	5	1/4	1/4	3/4	2	1	I6/III	d	i		I6/III	I		6		III			M	1	1	3, 0, -1		-1	3	0	5	0.0	0.0	0.75	0.0
5	5	1/2	1/2	3/4	2	1	V65/V/III	d	i		V65/V/III	V		65		V/III			Mm7	1	1	5, 2, -1, 1		1	5	0	6	0.0	0.0	0.5625	0.0
6	6	0	0	3/4	2	1	V/III	d	i		V/III	V				III			M	1	1	0, 4, 1		0	0	1	9	0.1	0.0625	1.25	0.047619047619047616
6	6	1/2	1/2	3/4	2	1	#viio7(#4)	d	i		#viio7(#4)	#vii	o	7	#4				o7	1	1	7, 4, 6, -2		7	7	7	9	0.4375	1.125	0.875	0.5625
7	7	1/2	1/2	3/4	2	1	ii%43	d	i		ii%43	ii	%	43					%7	1	1	-2, 2, 4, 1		4	-2						
7	7	0	0	3/4	2	2	i	d	i		i	i							m	1	1	2, -1, 3		2	2	2	4	0.3333333333333333	0.125	0.5	0.2
7	7	1/4	1/4	3/4	2	1	ii%65	d	i		ii%65	ii	%	65					%7	1	1	1, -2, 2, 4		4	1	0	10	0.0	0.0	1.25	0.0
8	8	0	0	3/4	2	1	V|HC}	d	i		V	V					HC	}	M	1	1	3, 7, 4		3	3	13	5	0.7222222222222222	1.5625	1.0	0.6097560975609756
9	9	1/4	1/4	3/4	2	2	i6	d	i		i6	i		6					m	1	1	-1, 3, 2		2	-1	1	5	0.16666666666666666	0.0625	0.625	0.09090909090909091
9	9	1/2	1/2	3/4	2	1	ii%65	d	i		ii%65	ii	%	65					%7	1	1	1, -2, 2, 4		4	1						
9	9	0	0	3/4	2	2	i{	d	i		i	i						{	m	1	1	2, -1, 3		2	2	7	10	0.4117647058823529	0.625	1.25	0.3333333333333333
10	10	0	0	3/4	2	2	V	d	i		V	V							M	1	1	3, 7, 4		3	3	1	14	0.06666666666666667	0.0625	1.75	0.034482758620689655
11	11	0	0	3/4	2	1	i	d	i		i	i							m	1	1	2, -1, 3		2	2	0	5	0.0	0.0	0.625	0.0
11	11	1/4	1/4	3/4	2	1	i6	d	i		i6	i		6					m	1	1	-1, 3, 2		2	-1	1	5	0.16666666666666666	0.0625	0.5	0.1111111111111111
11	11	1/2	1/2	3/4	2	1	V7/V/III	d	i		V7/V/III	V		7		V/III			Mm7	1	1	1, 5, 2, -1		1	1	3	6	0.3333333333333333	0.25	0.6875	0.26666666666666666
12	12	0	0	3/4	2	2	V/III	d	i		V/III	V				III			M	1	1	0, 4, 1		0	0	12	17	0.41379310344827586	1.5	1.9375	0.43636363636363634
13	13	1/2	1/2	3/4	2	1	V65/V/III	d	i		V65/V/III	V		65		V/III			Mm7	1	1	5, 2, -1, 1		1	5						
13	13	0	0	3/4	2	2	I/III	d	i		I/III	I				III			M	1	1	-1, 3, 0		-1	-1	0	6	0.0	0.0	0.8125	0.0
13	13	1/4	1/4	3/4	2	1	I6/III	d	i		I6/III	I		6		III			M	1	1	3, 0, -1		-1	3	9	6	0.6	0.875	0.6875	0.56
14	14	0	0	3/4	2	1	V/III	d	i		V/III	V				III			M	1	1	0, 4, 1		0	0	0	6	0.0	0.0	0.9375	0.0
14	14	1/4	1/4	3/4	2	1	#viio7	d	i		#viio7	#vii	o	7					o7	1	1	7, 4, 1, -2		7	7	2	5	0.2857142857142857	0.125	0.625	0.16666666666666666
14	14	1/2	1/2	3/4	2	2	i	d	i		i	i							m	1	1	2, -1, 3		2	2	2	6	0.25	0.125	0.6875	0.15384615384615385
15	15	0	0	3/4	2	1	ii%65	d	i		ii%65	ii	%	65					%7	1	1	1, -2, 2, 4		4	1	0	6	0.0	0.0	0.8125	0.0
15	15	1/4	1/4	3/4	2	2	V7(4)	d	i		V7(4)	V		7	4				Mm7	1	1	3, 2, 4, 1		3	3	2	8	0.2	0.125	0.875	0.125
15	15	5/8	5/8	3/4	2	2	V7	d	i		V7	V		7					Mm7	1	1	3, 7, 4, 1		3	3	1	2	0.3333333333333333	0.0625	0.1875	0.25
16	16	0	0	3/4	2	1	i|PAC}	d	i		i	i					PAC	}	m	1	1	2, -1, 3		2	2	7	5	0.5833333333333334	0.4375	1.5	0.22580645161290322
