mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	1	0	0	9/8	2	1	d.i{		d	i		i		i						{	m	1	1	2, -1, 3		2	2	0	12	0.0	0.0	1.5	0.0
1	1	3/16	3/16	9/8	2	1	#iii64		d	i		#iii64		#iii		64					m	1	1	7, 6, 3		6	7	0	12	0.0	0.0	1.0	0.0
1	1	3/8	3/8	9/8	2	1	iii64		d	i		iii64		iii		64					m	1	1	0, -1, -4		-1	0	1	12	0.07692307692307693	0.125	1.5	0.07692307692307693
1	1	9/16	9/16	9/8	2	1	ii64		d	i		ii64		ii		64					m	1	1	5, 4, 1		4	5	0	12	0.0	0.0	1.0	0.0
1	1	3/4	3/4	9/8	2	1	bii64(9)		d	i		bii64(9)		bii		64	9				m	1	1	-2, -3, -6	-1	-3	-2	1	12	0.07692307692307693	0.125	1.5	0.07692307692307693
1	1	15/16	15/16	9/8	2	1	i64		d	i		i64		i		64					m	1	1	3, 2, -1		2	3	0	12	0.0	0.0	1.0	0.0
2	2	0	0	9/8	2	1	V		d	i		V		V							M	1	1	3, 7, 4		3	3	0	13	0.0	0.0	1.625	0.0
2	2	3/16	3/16	9/8	2	1	#VII64		d	i		#VII64		#VII		64					M	1	1	8, 7, 11		7	8	1	11	0.08333333333333333	0.125	0.875	0.125
2	2	3/8	3/8	9/8	2	1	VII64		d	i		VII64		VII		64					M	1	1	1, 0, 4		0	1	0	13	0.0	0.0	1.625	0.0
2	2	9/16	9/16	9/8	2	1	#VI64		d	i		#VI64		#VI		64					M	1	1	6, 5, 9		5	6	0	12	0.0	0.0	1.0	0.0
2	2	3/4	3/4	9/8	2	1	III+(7)		d	i		III+(7)		III	+		7				+	1	1	-1, 3, 7	4	-1	-1	3	11	0.21428571428571427	0.375	1.375	0.21428571428571427
2	2	15/16	15/16	9/8	2	1	V64		d	i		V64		V		64					M	1	1	4, 3, 7		3	4	0	12	0.0	0.0	1.0	0.0
3	3	0	0	9/8	2	1	i|IAC}{		d	i		i		i					IAC	}{	m	1	1	2, -1, 3		2	2	0	12	0.0	0.0	1.5	0.0
3	3	3/16	3/16	9/8	2	1	#iii64		d	i		#iii64		#iii		64					m	1	1	7, 6, 3		6	7	0	12	0.0	0.0	1.0	0.0
