mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	1	0	0	3/4	2	1	d.iv43{	d	i		iv43		iv		43				{	mm7	1	1	2, -1, 1, -2		1	2	0	9	0.0	0.0	4.5	0.0
1	1	1/2	1/2	3/4	2	1	iv43(+6)	d	i		iv43(+6)		iv		43	+6				mm7	1	1	2, -1, 1, -2	4	1	2	2	4	0.3333333333333333	0.0625	0.4375	0.125
2	2	0	0	3/4	2	1	V43/#vi	d	i		V43/#vi		V		43		#vi			Mm7	1	1	7, 4, 6, 10		6	7	0	9	0.0	0.0	5.0	0.0
3	3	0	0	3/4	2	1	V43/VII	d	i		V43/VII		V		43		VII			Mm7	1	1	2, -1, 1, 5		1	2	4	11	0.26666666666666666	0.0	4.5	0.0
3	3	1/2	1/2	3/4	2	1	V43(+6)/VII	d	i		V43(+6)/VII		V		43	+6	VII			Mm7	1	1	2, -1, 1, 5	4	1	2	4	6	0.4	0.125	0.375	0.25
4	4	0	0	3/4	2	1	#vii(+#6)	d	i		#vii(+#6)		#vii			+#6				m	1	1	7, 4, 8	10	7	7	4	16	0.2	0.125	5.375	0.022727272727272728
5	5	0	0	3/4	2	1	v6	d	i		v6		v		6					m	1	1	0, 4, 3		3	0	0	10	0.0	0.0	4.5	0.0
6	6	0	0	3/4	2	1	#vi[V7/VI]	d	i	#vi	V7/VI		V		7		VI			Mm7	1	1	-1, 3, 0, -3		-1	-1	16	28	0.36363636363636365	3.75	5.25	0.4166666666666667
6	6	21/4	21/4	3/4	2	1	i6	d	i		i6		i		6					m	1	1	-1, 3, 2		2	-1	5	3	0.625	0.625	0.375	0.625
6	6	25/4	25/4	3/4	2	1	iio	d	i		iio		ii	o						o	1	1	4, 1, -2		4	4	2	2	0.5	0.25	0.25	0.5
6	6	27/4	27/4	3/4	2	1	V2/VI	d	i		V2/VI		V		2		VI			Mm7	1	1	-3, -1, 3, 0		-1	-3	1	3	0.25	0.125	0.375	0.25
6	6	29/4	29/4	3/4	2	1	bIM2	d	i		bIM2		bI	M	2					MM7	1	1	0, -5, -1, -4		-5	0	2	4	0.3333333333333333	0.25	0.5	0.3333333333333333
6	6	8	8	3/4	2	1	It	d	i		It	It	vii	o	6	b3	V			It	1	1	-2, 2, 8		8	-2	2	2	0.5	0.25	0.25	0.5
6	6	17/2	17/2	3/4	2	1	v	d	i		v		v							m	1	1	3, 0, 4		3	3	0	2	0.0	0.0	0.25	0.0
6	6	35/4	35/4	3/4	2	1	V2(b2)/VI	d	i		V2(b2)/VI		V		2	b2	VI			Mm7	1	1	-3, -6, 3, 0		-1	-3	10	11	0.47619047619047616	1.125	1.25	0.47368421052631576
7	7	0	0	3/4	2	1	ii%7/bII	d	i		ii%7/bII		ii	%	7		bII			%7	1	1	-1, -4, -7, -3		-1	-1	0	10	0.0	0.0	5.0	0.0
7	7	1/2	1/2	3/4	2	1	ii%7(+9)/bII	d	i		ii%7(+9)/bII		ii	%	7	+9	bII			%7	1	1	-1, -4, -7, -3	1	-1	-1	4	6	0.4	0.125	0.375	0.25
8	8	0	0	3/4	2	1	V43	d	i		V43		V		43					Mm7	1	1	4, 1, 3, 7		3	4	0	10	0.0	0.0	5.5	0.0
9	9	0	0	3/4	2	1	V43/bII	d	i		V43/bII		V		43		bII			Mm7	1	1	-1, -4, -2, 2		-2	-1	6	12	0.3333333333333333	0.0	5.0	0.0
9	9	1/2	1/2	3/4	2	1	V43(+13)/bII	d	i		V43(+13)/bII		V		43	+13	bII			Mm7	1	1	-1, -4, -2, 2	1	-2	-1	6	8	0.42857142857142855	0.1875	0.3125	0.375
10	10	0	0	3/4	2	1	vii%65	d	i		vii%65		vii	%	65					%7	1	1	-3, -6, -2, 0		0	-3	21	0	1.0	6.0	0.0	1.0
11	11	0	0	3/4	2	1	vii6	d	i		vii6		vii		6					m	1	1	-3, 1, 0		0	-3	7	12	0.3684210526315789	0.25	4.75	0.05
12	12	0	0	3/4	2	1	#vi[Ger65/VII]	d	i	#vi	Ger65/VII	Ger	vii	o	65	b3	V/VII			Ger	1	1	-4, 0, -3, 6		6	-4	17	28	0.37777777777777777	4.46875	4.53125	0.4965277777777778
