mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	1	0	0	3/4	2	1	d.i{		d	i		i		i						{	m	1	1	2, -1, 3		2	2	2	5	0.2857142857142857	0.08333333333333333	0.7916666666666666	0.09523809523809523
1	1	1/4	1/4	3/4	2	1	iv7(9)		d	i		iv7(9)		iv		7	9				mm7	1	1	1, -2, 2, -1	3	1	1	3	5	0.375	0.75	0.875	0.46153846153846156
1	1	1/2	1/2	3/4	2	1	V+6/V		d	i		V+6/V		V	+	6		V			+	1	1	8, 12, 4		4	8	3	2	0.6	0.375	0.5	0.42857142857142855
2	2	0	0	3/4	2	1	V+		d	i		V+		V	+						+	1	1	3, 7, 11		3	3	5	4	0.5555555555555556	0.75	0.75	0.5
2	2	1/4	1/4	3/4	2	1	#vi6		d	i		#vi6		#vi		6					m	1	1	2, 6, 5		5	2	2	4	0.3333333333333333	0.5	0.8125	0.38095238095238093
2	2	1/2	1/2	3/4	2	1	iv2		d	i		iv2		iv		2					mm7	1	1	-1, 1, -2, 2		1	-1	4	2	0.6666666666666666	0.4375	0.5	0.4666666666666667
3	3	0	0	3/4	2	1	i		d	i		i		i							m	1	1	2, -1, 3		2	2	2	5	0.2857142857142857	0.08333333333333333	0.7916666666666666	0.09523809523809523
3	3	1/4	1/4	3/4	2	1	iv7(9)		d	i		iv7(9)		iv		7	9				mm7	1	1	1, -2, 2, -1	3	1	1	3	5	0.375	0.75	0.875	0.46153846153846156
3	3	1/2	1/2	3/4	2	1	V+6/V		d	i		V+6/V		V	+	6		V			+	1	1	8, 12, 4		4	8	3	2	0.6	0.375	0.5	0.42857142857142855
4	4	0	0	3/4	2	1	V+		d	i		V+		V	+						+	1	1	3, 7, 11		3	3	5	4	0.5555555555555556	0.75	0.75	0.5
4	4	1/4	1/4	3/4	2	1	IVM7		d	i		IVM7		IV	M	7					MM7	1	1	1, 5, 2, 6		1	1	1	5	0.16666666666666666	0.1875	1.125	0.14285714285714285
4	4	1/2	1/2	3/4	2	1	VM7/III		d	i		VM7/III		V	M	7		III			MM7	1	1	0, 4, 1, 5		0	0	2	4	0.3333333333333333	0.1875	0.75	0.2
5	5	0	0	3/4	2	1	I/III		d	i		I/III		I				III			M	1	1	-1, 3, 0		-1	-1	2	5	0.2857142857142857	0.08333333333333333	0.7916666666666666	0.09523809523809523
5	5	1/4	1/4	3/4	2	1	bIII6/III		d	i		bIII6/III		bIII		6		III			M	1	1	0, -3, -4		-4	0	2	6	0.25	0.25	1.375	0.15384615384615385
5	5	1/2	1/2	3/4	2	1	ii		d	i		ii		ii							m	1	1	4, 1, 5		4	4	2	5	0.2857142857142857	0.0625	0.625	0.09090909090909091
6	6	0	0	3/4	2	1	iv64/VI		d	i		iv64/VI		iv		64		VI			m	1	1	-2, -3, -6		-3	-2	2	5	0.2857142857142857	0.08333333333333333	0.7916666666666666	0.09523809523809523
6	6	1/4	1/4	3/4	2	1	ii%65/VI		d	i		ii%65/VI		ii	%	65		VI			%7	1	1	-3, -6, -2, 0		0	-3	5	5	0.5	0.8125	0.625	0.5652173913043478
6	6	1/2	1/2	3/4	2	1	V+/VI	V+	d	i		V+/VI		V	+			VI			+	1	1	-1, 3, 7		-1	-1	3	2	0.6	0.375	0.5	0.42857142857142855
7	7	0	0	3/4	2	2	Fr65		d	i		Fr65	Fr	V		65	b5	V			Fr	1	1	8, -2, 2, 4		4	8	0	5	0.0	0.0	2.25	0.0
7	7	1/4	1/4	3/4	2	2	ii65		d	i		ii65		ii		65					mm7	1	1	1, 5, 2, 4		4	1	0	4	0.0	0.0	0.75	0.0
