mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	1	0	0	3/4	2	1	d.i{	d	i		i		i						{	m	1	1	2, -1, 3		2	2	0	5	0.0	0.0	0.625	0.0
1	1	1/8	1/8	3/4	2	1	bIIM7	d	i		bIIM7		bII	M	7					MM7	1	1	-3, 1, -2, 2		-3	-3	0	6	0.0	0.0	0.5	0.0
1	1	1/4	1/4	3/4	2	1	V	d	i		V		V							M	1	1	3, 7, 4		3	3	2	6	0.25	0.125	2.625	0.045454545454545456
2	2	1/8	1/8	3/4	2	1	V7/V	d	i		V7/V		V		7		V			Mm7	1	1	4, 8, 5, 2		4	4	1	3	0.25	0.0625	0.3125	0.16666666666666666
2	2	1/4	1/4	3/4	2	1	Fr43/iv	d	i		Fr43/iv	Fr	V		43	b5	V/iv			Fr	1	1	-3, 1, 3, 7		3	-3	0	3	0.0	0.0	0.5	0.0
3	3	0	0	3/4	2	1	i	d	i		i		i							m	1	1	2, -1, 3		2	2	0	5	0.0	0.0	0.625	0.0
3	3	1/8	1/8	3/4	2	1	ii%65	d	i		ii%65		ii	%	65					%7	1	1	1, -2, 2, 4		4	1	0	6	0.0	0.0	0.5	0.0
3	3	1/4	1/4	3/4	2	1	i64	d	i		i64		i		64					m	1	1	3, 2, -1		2	3	0	5	0.0	0.0	0.625	0.0
3	3	3/8	3/8	3/4	2	1	III64	d	i		III64		III		64					M	1	1	0, -1, 3		-1	0	0	5	0.0	0.0	0.625	0.0
3	3	1/2	1/2	3/4	2	1	V7/V/III	d	i		V7/V/III		V		7		V/III			Mm7	1	1	1, 5, 2, -1		1	1	0	5	0.0	0.0	1.25	0.0
4	4	0	0	3/4	2	2	V/III	d	i		V/III		V				III			M	1	1	0, 4, 1		0	0	3	5	0.375	0.25	1.125	0.18181818181818182
4	4	1/4	1/4	3/4	2	2	Fr43/IV/III	d	i		Fr43/IV/III	Fr	V		43	b5	V/IV/III			Fr	1	1	-6, -2, 0, 4		0	-6	2	4	0.3333333333333333	0.125	1.75	0.06666666666666667
5	5	0	0	3/4	2	1	I/III	d	i		I/III		I				III			M	1	1	-1, 3, 0		-1	-1	0	5	0.0	0.0	0.625	0.0
5	5	1/8	1/8	3/4	2	1	vi%7(119)/III	d	i		vi%7(119)/III		vi	%	7	119	III			%7	1	1	2, -1, -4, 0	1, 4	2	2	0	6	0.0	0.0	0.625	0.0
