mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	1	0	0	3/4	2	1	d.i(^2)	I(^2){	d	i		i(^2)	i			^2				m	1	1	2, 4, 3		2	2	2	16	0.1111111111111111	0.16666666666666666	1.6666666666666667	0.0909090909090909
2	2	0	0	2/4	2	2	V(4)	v(4)	d	i		V(4)	V			4				M	1	1	3, 2, 4		3	3	0	14	0.0	0.0	1.75	0.0
3	3	0	0	3/4	2	1	i(^2)	I(^2){	d	i		i(^2)	i			^2				m	1	1	2, 4, 3		2	2	2	16	0.1111111111111111	0.16666666666666666	1.6666666666666667	0.0909090909090909
4	4	0	0	2/4	2	2	v6(11)		d	i		v6(11)	v		6	11				m	1	1	0, 4, 3	2	3	0	0	14	0.0	0.0	1.75	0.0
5	5	0	0	3/4	2	1	IIIM7		d	i		IIIM7	III	M	7					MM7	1	1	-1, 3, 0, 4		-1	-1	4	14	0.2222222222222222	0.3333333333333333	1.5	0.18181818181818182
6	6	0	0	4/4	2	1	v6(11)		d	i		v6(11)	v		6	11				m	1	1	0, 4, 3	2	3	0	0	12	0.0	0.0	1.3333333333333333	0.0
6	6	1/2	1/2	4/4	2	1	VIM65(11)		d	i		VIM65(11)	VI	M	65	11				MM7	1	1	2, -1, 3, -2	4	-2	2	0	12	0.0	0.0	1.3333333333333333	0.0
7	7	0	0	3/4	2	1	V	v|HC}	d	i		V	V							M	1	1	3, 7, 4		3	3	8	26	0.23529411764705882	0.6666666666666666	2.4166666666666665	0.21621621621621623
8	8	0	0	3/4	2	1	i(^2){		d	i		i(^2)	i			^2			{	m	1	1	2, 4, 3		2	2	2	16	0.1111111111111111	0.16666666666666666	1.6666666666666667	0.0909090909090909
9	9	0	0	2/4	2	1	v		d	i		v	v							m	1	1	3, 0, 4		3	3	0	14	0.0	0.0	1.625	0.0
10	10	0	0	3/4	2	1	I(9)/III		d	i		I(9)/III	I			9	III			M	1	1	-1, 3, 0	1	-1	-1	2	16	0.1111111111111111	0.16666666666666666	1.6666666666666667	0.0909090909090909
11	11	0	0	2/4	2	2	v/III		d	i		v/III	v				III			m	1	1	0, -3, 1		0	0	0	14	0.0	0.0	1.75	0.0
12	12	0	0	3/4	2	1	iv7		d	i		iv7	iv		7					mm7	1	1	1, -2, 2, -1		1	1	4	20	0.16666666666666666	0.3333333333333333	2.0	0.14285714285714285
13	13	1/4	1/4	3/4	2	1	IIIM7		d	i		IIIM7	III	M	7					MM7	1	1	-1, 3, 0, 4		-1	-1	4	10	0.2857142857142857	0.4166666666666667	1.3333333333333333	0.2380952380952381
14	14	0	0	2/4	2	1	bIIM7		d	i		bIIM7	bII	M	7					MM7	1	1	-3, 1, -2, 2		-3	-3	2	10	0.16666666666666666	0.16666666666666666	1.0833333333333333	0.13333333333333333
14	14	1/4	1/4	2/4	2	1	V(b9)		d	i		V(b9)	V			b9				M	1	1	3, 7, 4	-9	3	3	6	4	0.6	0.8333333333333334	0.3333333333333333	0.7142857142857143
15	15	0	0	3/4	2	2	i|PAC}		d	i		i	i					PAC	}	m	1	1	2, -1, 3		2	2	6	30	0.16666666666666666	0.5	5.333333333333333	0.08571428571428572
