mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	pedalend	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	1	0	0	9/8	2	1	d.i{	d	i		i		i							{	m	1	1	2, -1, 3		2	2	2	14	0.125	0.25	2.0	0.1111111111111111
1	1	3/4	3/4	9/8	2	1	iM7(^#4)	d	i		iM7(^#4)		i	M	7	^#4					mM7	1	1	2, -1, 8, 7		2	2	0	8	0.0	0.0	1.125	0.0
2	2	0	0	9/8	2	1	V	d	i		V		V								M	1	1	3, 7, 4		3	3	0	24	0.0	0.0	3.375	0.0
3	3	0	0	9/8	2	1	i	d	i		i		i								m	1	1	2, -1, 3		2	2	2	14	0.125	0.25	2.0	0.1111111111111111
3	3	3/4	3/4	9/8	2	1	V6/V/III	d	i		V6/V/III		V		6		V/III				M	1	1	5, 2, 1		1	5	0	8	0.0	0.0	1.125	0.0
4	4	0	0	9/8	2	1	V/III	d	i		V/III		V				III				M	1	1	0, 4, 1		0	0	0	8	0.0	0.0	1.125	0.0
4	4	3/8	3/8	9/8	2	1	V(b64)/III	d	i		V(b64)/III		V			b64	III				M	1	1	0, -1, -4		0	0	0	8	0.0	0.0	1.125	0.0
4	4	3/4	3/4	9/8	2	1	V/III	d	i		V/III		V				III				M	1	1	0, 4, 1		0	0	0	8	0.0	0.0	1.125	0.0
5	5	0	0	9/8	2	1	III|PAC}{	d	i		III		III						PAC	}{	M	1	1	-1, 3, 0		-1	-1	0	16	0.0	0.0	2.25	0.0
5	5	3/4	3/4	9/8	2	1	V/II	d	i		V/II		V				II				M	1	1	5, 9, 6		5	5	0	8	0.0	0.0	1.125	0.0
6	6	0	0	9/8	2	1	II	d	i		II		II								M	1	1	4, 8, 5		4	4	0	8	0.0	0.0	1.125	0.0
6	6	3/8	3/8	9/8	2	1	ii	d	i		ii		ii								m	1	1	4, 1, 5		4	4	0	8	0.0	0.0	1.125	0.0
6	6	3/4	3/4	9/8	2	1	VI	d	i		VI		VI								M	1	1	-2, 2, -1		-2	-2	0	8	0.0	0.0	1.125	0.0
7	7	0	0	9/8	2	1	i	d	i		i		i								m	1	1	2, -1, 3		2	2	0	16	0.0	0.0	2.25	0.0
7	7	3/4	3/4	9/8	2	1	bV	d	i		bV		bV								M	1	1	-4, 0, -3		-4	-4	0	8	0.0	0.0	1.125	0.0
8	8	0	0	9/8	2	1	V	d	i		V		V								M	1	1	3, 7, 4		3	3	0	24	0.0	0.0	3.375	0.0
9	9	0	0	9/8	2	1	i|PAC}{	d	i		i		i						PAC	}{	m	1	1	2, -1, 3		2	2	2	14	0.125	0.25	2.0	0.1111111111111111
9	9	3/4	3/4	9/8	2	1	iM7(^#4)	d	i		iM7(^#4)		i	M	7	^#4					mM7	1	1	2, -1, 8, 7		2	2	0	8	0.0	0.0	1.125	0.0
10	10	0	0	9/8	2	1	V	d	i		V		V								M	1	1	3, 7, 4		3	3	0	8	0.0	0.0	1.125	0.0
10	10	3/8	3/8	9/8	2	1	vi	d	i		vi		vi								m	1	1	-2, -5, -1		-2	-2	0	8	0.0	0.0	1.125	0.0
10	10	3/4	3/4	9/8	2	1	V	d	i		V		V								M	1	1	3, 7, 4		3	3	0	8	0.0	0.0	1.125	0.0
11	11	0	0	9/8	2	1	i	d	i		i		i								m	1	1	2, -1, 3		2	2	0	8	0.0	0.0	1.125	0.0
11	11	3/8	3/8	9/8	2	1	iii6	d	i		iii6		iii		6						m	1	1	-4, 0, -1		-1	-4	0	8	0.0	0.0	1.125	0.0
11	11	3/4	3/4	9/8	2	1	V6/V/III	d	i		V6/V/III		V		6		V/III				M	1	1	5, 2, 1		1	5	0	8	0.0	0.0	1.125	0.0
12	12	0	0	9/8	2	1	V/III	d	i		V/III		V				III				M	1	1	0, 4, 1		0	0	0	8	0.0	0.0	1.125	0.0
12	12	3/8	3/8	9/8	2	1	bVI(^#2)/III	d	i		bVI(^#2)/III		bVI			^#2	III				M	1	1	-5, 11, -4		-5	-5	2	6	0.25	0.25	0.875	0.2222222222222222
12	12	3/4	3/4	9/8	2	1	V/III	d	i		V/III		V				III				M	1	1	0, 4, 1		0	0	0	8	0.0	0.0	1.125	0.0
13	13	0	0	9/8	2	1	i6}{	d	i		i6		i		6					}{	m	1	1	-1, 3, 2		2	-1	0	14	0.0	0.0	1.6875	0.0
13	13	3/8	3/8	9/8	2	1	#iv	d	i		#iv		#iv								m	1	1	8, 5, 9		8	8	0	16	0.0	0.0	1.875	0.0
13	13	3/4	3/4	9/8	2	1	VI	d	i		VI		VI								M	1	1	-2, 2, -1		-2	-2	0	14	0.0	0.0	1.6875	0.0
14	14	0	0	9/8	2	1	#vii	d	i		#vii		#vii								m	1	1	7, 4, 8		7	7	0	16	0.0	0.0	1.875	0.0
14	14	3/8	3/8	9/8	2	1	iii	d	i		iii		iii								m	1	1	-1, -4, 0		-1	-1	0	14	0.0	0.0	1.6875	0.0
14	14	3/4	3/4	9/8	2	1	bII6	d	i		bII6		bII		6						M	1	1	1, -2, -3		-3	1	0	14	0.0	0.0	1.6875	0.0
15	15	0	0	9/8	2	1	#vi6	d	i		#vi6		#vi		6						m	1	1	2, 6, 5		5	2	0	6	0.0	0.0	1.125	0.0
15	15	3/16	3/16	9/8	2	1	IV64	d	i		IV64		IV		64						M	1	1	2, 1, 5		1	2	6	3	0.6666666666666666	0.625	0.375	0.625
15	15	3/8	3/8	9/8	2	1	IV7	d	i		IV7		IV		7						Mm7	1	1	1, 5, 2, -1		1	1	0	6	0.0	0.0	1.125	0.0
15	15	9/16	9/16	9/8	2	1	bii	d	i		bii		bii								m	1	1	-3, -6, -2		-3	-3	0	9	0.0	0.0	1.0	0.0
15	15	3/4	3/4	9/8	2	1	i6	d	i		i6		i		6						m	1	1	-1, 3, 2		2	-1	0	6	0.0	0.0	1.125	0.0
15	15	15/16	15/16	9/8	2	1	V43/V	d	i		V43/V		V		43		V				Mm7	1	1	5, 2, 4, 8		4	5	0	8	0.0	0.0	0.875	0.0
16	16	0	0	6/8	2	1	VI	d	i		VI		VI								M	1	1	-2, 2, -1		-2	-2	0	7	0.0	0.0	0.875	0.0
16	16	1/4	1/4	6/8	2	1	iv	d	i		iv		iv								m	1	1	1, -2, 2		1	1	0	7	0.0	0.0	0.875	0.0
16	16	1/2	1/2	6/8	2	1	V/VI	d	i		V/VI		V				VI				M	1	1	-1, 3, 0		-1	-1	18	21	0.46153846153846156	3.9375	5.75	0.4064516129032258
18	18	0	0	9/8	2	1	V7(+#4)/VI	d	i		V7(+#4)/VI		V		7	+#4	VI				Mm7	1	1	-1, 3, 0, -3	5	-1	-1	0	32	0.0	0.0	8.8125	0.0
19	19	0	0	9/8	2	1	IIIM7	d	i		IIIM7		III	M	7						MM7	1	1	-1, 3, 0, 4		-1	-1	0	32	0.0	0.0	8.8125	0.0
20	20	0	0	9/8	2	1	VI(4^#2)]	d	i		VI(4^#2)		VI			4^#2		]			M	1	1	-2, 7, 4, -1		-2	-2	6	25	0.1935483870967742	0.5625	7.5	0.06976744186046512
