mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	1	0	0	9/8	2	1	d.i{	d	i		i	i						{	m	1	1	2, -1, 3		2	2	5	27	0.15625	0.3125	3.1875	0.08928571428571429
1	1	7/8	7/8	9/8	2	1	viio2/V	d	i		viio2/V	vii	o	2		V			o7	1	1	-1, 8, 5, 2		8	-1	0	6	0.0	0.0	0.75	0.0
1	1	1	1	9/8	2	1	V	d	i		V	V							M	1	1	3, 7, 4		3	3	0	52	0.0	0.0	5.5625	0.0
3	3	0	0	9/8	2	1	i	d	i		i	i							m	1	1	2, -1, 3		2	2	5	33	0.13157894736842105	0.3125	3.9375	0.07352941176470588
3	3	1	1	9/8	2	1	ii6	d	i		ii6	ii		6					m	1	1	1, 5, 4		4	1	0	6	0.0	0.0	0.75	0.0
4	4	0	0	9/8	2	1	V/III	d	i		V/III	V				III			M	1	1	0, 4, 1		0	0	0	46	0.0	0.0	4.8125	0.0
5	5	0	0	9/8	2	1	III|IAC}{	d	i		III	III					IAC	}{	M	1	1	-1, 3, 0		-1	-1	0	5	0.0	0.0	0.625	0.0
5	5	3/16	3/16	9/8	2	1	viio65/III	d	i		viio65/III	vii	o	65		III			o7	1	1	1, -2, -5, 4		4	1	0	4	0.0	0.0	0.25	0.0
5	5	1/4	1/4	9/8	2	1	III6	d	i		III6	III		6					M	1	1	3, 0, -1		-1	3	0	4	0.0	0.0	0.5	0.0
5	5	3/8	3/8	9/8	2	1	III	d	i		III	III							M	1	1	-1, 3, 0		-1	-1	0	5	0.0	0.0	0.625	0.0
5	5	9/16	9/16	9/8	2	1	iv(4)	d	i		iv(4)	iv			4				m	1	1	1, 0, 2		1	1	1	3	0.25	0.0625	0.1875	0.25
5	5	5/8	5/8	9/8	2	1	III64	d	i		III64	III		64					M	1	1	0, -1, 3		-1	0	0	4	0.0	0.0	0.5	0.0
5	5	3/4	3/4	9/8	2	1	V(4)/III	d	i		V(4)/III	V			4	III			M	1	1	0, -1, 1		0	0	0	6	0.0	0.0	1.25	0.0
5	5	7/8	7/8	9/8	2	1	V/III	d	i		V/III	V				III			M	1	1	0, 4, 1		0	0	0	2	0.0	0.0	0.25	0.0
5	5	1	1	9/8	2	1	bII+64	d	i		bII+64	bII	+	64					+	1	1	5, -3, 1		-3	5	0	6	0.0	0.0	0.75	0.0
6	6	0	0	9/8	2	1	bII	d	i		bII	bII							M	1	1	-3, 1, -2		-3	-3	0	5	0.0	0.0	0.625	0.0
6	6	3/16	3/16	9/8	2	1	V(b9)/bII	d	i		V(b9)/bII	V			b9	bII			M	1	1	-2, 2, -1	-7	-2	-2	1	3	0.25	0.0625	0.1875	0.25
6	6	1/4	1/4	9/8	2	1	bII	d	i		bII	bII							M	1	1	-3, 1, -2		-3	-3	0	9	0.0	0.0	1.125	0.0
6	6	9/16	9/16	9/8	2	1	III6(4)	d	i		III6(4)	III		6	4				M	1	1	-2, 0, -1		-1	-2	1	3	0.25	0.0625	0.1875	0.25
6	6	5/8	5/8	9/8	2	1	bII64	d	i		bII64	bII		64					M	1	1	-2, -3, 1		-3	-2	0	4	0.0	0.0	0.5	0.0
6	6	3/4	3/4	9/8	2	1	V(4)/bII	d	i		V(4)/bII	V			4	bII			M	1	1	-2, -3, -1		-2	-2	0	6	0.0	0.0	1.25	0.0
6	6	7/8	7/8	9/8	2	1	V/bII	d	i		V/bII	V				bII			M	1	1	-2, 2, -1		-2	-2	0	2	0.0	0.0	0.25	0.0
6	6	1	1	9/8	2	1	III+6	d	i		III+6	III	+	6					+	1	1	3, 7, -1		-1	3	0	6	0.0	0.0	0.75	0.0
7	7	0	0	9/8	2	1	i	d	i		i	i							m	1	1	2, -1, 3		2	2	5	27	0.15625	0.3125	3.1875	0.08928571428571429
7	7	7/8	7/8	9/8	2	1	VI+64	d	i		VI+64	VI	+	64					+	1	1	6, -2, 2		-2	6	0	12	0.0	0.0	1.5	0.0
8	8	0	0	9/8	2	1	VI	d	i		VI	VI							M	1	1	-2, 2, -1		-2	-2	0	6	0.0	0.0	0.75	0.0
8	8	1/8	1/8	9/8	2	1	IV	d	i		IV	IV							M	1	1	1, 5, 2		1	1	0	12	0.0	0.0	1.5	0.0
8	8	3/8	3/8	9/8	2	1	#vi%7	d	i		#vi%7	#vi	%	7					%7	1	1	5, 2, -1, 3		5	5	0	8	0.0	0.0	1.0	0.0
8	8	1/2	1/2	9/8	2	1	viio7(4)/V	d	i		viio7(4)/V	vii	o	7	4	V			o7	1	1	8, 7, 2, -1		8	8	4	8	0.3333333333333333	0.5	1.0	0.3333333333333333
8	8	3/4	3/4	9/8	2	1	i2	d	i		i2	i		2					mm7	1	1	0, 2, -1, 3		2	0	0	8	0.0	0.0	1.0	0.0
8	8	7/8	7/8	9/8	2	1	V(6)	d	i		V(6)	V			6				M	1	1	3, 7, -1		3	3	0	12	0.0	0.0	1.5	0.0
9	9	0	0	9/8	2	1	i|IAC}{	d	i		i	i					IAC	}{	m	1	1	2, -1, 3		2	2	0	47	0.0	0.0	5.125	0.0
9	9	7/8	7/8	9/8	2	1	viio2/V	d	i		viio2/V	vii	o	2		V			o7	1	1	-1, 8, 5, 2		8	-1	0	7	0.0	0.0	0.875	0.0
9	9	1	1	9/8	2	1	V	d	i		V	V							M	1	1	3, 7, 4		3	3	0	47	0.0	0.0	5.1875	0.0
10	10	15/16	15/16	9/8	2	1	V7	d	i		V7	V		7					Mm7	1	1	3, 7, 4, 1		3	3	0	12	0.0	0.0	1.125	0.0
11	11	0	0	9/8	2	1	i	d	i		i	i							m	1	1	2, -1, 3		2	2	0	53	0.0	0.0	5.875	0.0
11	11	1	1	9/8	2	1	ii64	d	i		ii64	ii		64					m	1	1	5, 4, 1		4	5	0	8	0.0	0.0	1.0	0.0
