mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	1	0	0	3/4	2	2	d.i{	d	i		i	i						{	m	1	1	2, -1, 3		2	2	6	12	0.3333333333333333	0.125	3.875	0.03125
2	2	0	0	3/4	2	2	III6	d	i		III6	III		6					M	1	1	3, 0, -1		-1	3	4	11	0.26666666666666666	0.0	5.25	0.0
3	3	0	0	3/4	2	2	i	d	i		i	i							m	1	1	2, -1, 3		2	2	6	14	0.3	0.16666666666666666	3.8333333333333335	0.041666666666666664
4	4	0	0	3/4	2	2	v	d	i		v	v							m	1	1	3, 0, 4		3	3	2	11	0.15384615384615385	0.0	5.25	0.0
5	5	0	0	3/4	2	2	V2/VI	d	i		V2/VI	V		2		VI			Mm7	1	1	-3, -1, 3, 0		-1	-3	4	9	0.3076923076923077	0.0	3.5	0.0
5	5	1/2	1/2	3/4	2	2	viio43(4)/V	d	i		viio43(4)/V	vii	o	43	4	V			o7	1	1	2, -1, 8, 7		8	2	3	4	0.42857142857142855	0.375	0.875	0.3
6	6	0	0	3/4	2	3	v6	d	i		v6	v		6					m	1	1	0, 4, 3		3	0	6	11	0.35294117647058826	0.0	5.25	0.0
7	7	0	0	3/4	2	3	VI	d	i		VI	VI							M	1	1	-2, 2, -1		-2	-2	4	9	0.3076923076923077	0.0	3.5	0.0
7	7	1/2	1/2	3/4	2	3	i64	d	i		i64	i		64					m	1	1	3, 2, -1		2	3	2	5	0.2857142857142857	0.125	1.125	0.1
8	8	0	0	3/4	2	2	#vii64|DC}	d	i		#vii64	#vii		64			DC	}	m	1	1	8, 7, 4		7	8	6	11	0.35294117647058826	0.0	5.25	0.0
9	9	0	0	3/4	2	1	I{	d	i		I	I						{	M	1	1	2, 6, 3		2	2	0	6	0.0	0.0	3.0	0.0
9	9	1/4	1/4	3/4	2	3	i6	d	i		i6	i		6					m	1	1	-1, 3, 2		2	-1	8	11	0.42105263157894735	0.4375	2.625	0.14285714285714285
10	10	0	0	3/4	2	3	v6	d	i		v6	v		6					m	1	1	0, 4, 3		3	0	6	13	0.3157894736842105	0.5	6.25	0.07407407407407407
11	11	0	0	3/4	2	2	i	d	i		i	i							m	1	1	2, -1, 3		2	2	7	20	0.25925925925925924	0.25	5.333333333333333	0.04477611940298508
12	12	0	0	3/4	2	2	v6	d	i		v6	v		6					m	1	1	0, 4, 3		3	0	16	17	0.48484848484848486	5.25	6.5	0.44680851063829785
13	13	1/2	1/2	3/4	2	1	IV7/III	d	i		IV7/III	IV		7		III			Mm7	1	1	-2, 2, -1, -4		-2	-2						
13	13	0	0	3/4	2	2	iv	d	i		iv	iv							m	1	1	1, -2, 2		1	1	23	16	0.5897435897435898	5.75	6.0	0.48936170212765956
14	14	1/2	1/2	3/4	2	1	ii%65/bII	d	i		ii%65/bII	ii	%	65		bII			%7	1	1	-4, -7, -3, -1		-1	-4						
14	14	0	0	3/4	2	2	I/III	d	i		I/III	I				III			M	1	1	-1, 3, 0		-1	-1	21	15	0.5833333333333334	5.125	5.375	0.4880952380952381
15	15	1/2	1/2	3/4	2	1	V7(4)	d	i		V7(4)	V		7	4				Mm7	1	1	3, 2, 4, 1		3	3						
15	15	0	0	3/4	2	2	I/bII	d	i		I/bII	I				bII			M	1	1	-3, 1, -2		-3	-3	8	12	0.4	1.0	4.25	0.19047619047619047
16	16	0	0	3/4	2	2	i|PAC}	d	i		i	i					PAC	}	m	1	1	2, -1, 3		2	2	4	12	0.25	0.0	5.5	0.0
