rel_paths		last_mc	last_mn	KeySig	TimeSig	label_count	harmony_version	annotated_key	annotators	reviewers	composer	workTitle	movementNumber	movementTitle	workNumber	poet	lyricist	arranger	copyright	creationDate	mscVersion	platform	source	translator	musescore	ambitus	all_notes_qb	composed_end	composed_start	imslp	length_qb	length_qb_unfolded	measures	musicbrainz	n_onsets	parent	project	score_integrity	staff_1_ambitus	staff_1_instrument	staff_2_ambitus	staff_2_instrument	staff_3_ambitus	staff_3_instrument	staff_4_ambitus	staff_4_instrument	status	typesetter	viaf	wikidata	work_package_type
MS3	op42_01a	16	16	1: -1	1: 3/4	28	2.3.0	d	Amelia Brey	DK	Sergei Rachmaninoff	Variations on a Theme of Corelli	1a	Theme	op. 42					2019-11-12	3.02	Apple Macintosh	https://imslp.hk/files/imglnks/euimg/d/d7/IMSLP02058-Rachmaninoff_-_Corelli_Variations.pdf		3.6.2	55-79 (G3-G5)	192	1931	1931	https://imslp.org/wiki/Variations_on_a_Theme_of_Corelli%2C_Op.42_(Rachmaninoff%2C_Sergei)	48	48	16	https://musicbrainz.org/work/a5cf8acd-06dc-3355-b536-f456c8e95bce	125	rachmaninoff_piano	Harmony Annotations	Amelia Brey	65-79 (F4-G5)	Piano	55-69 (G3-A4)	Piano					2	Matthias Schabow	https://viaf.org/viaf/294081839/	https://www.wikidata.org/wiki/Q155132	1
MS3	op42_01b	16	16.0	1: -1	1: 3/4	35	2.3.0	d	Amelia Brey	DK	Sergei Rachmaninoff	Variations on a Theme of Corelli	1b	Variation 1	op. 42					2020-01-02	3.02	Apple Macintosh	https://imslp.hk/files/imglnks/euimg/d/d7/IMSLP02058-Rachmaninoff_-_Corelli_Variations.pdf		3.6.2	29-72 (F1-C5)	128.25	1931	1931	https://imslp.org/wiki/Variations_on_a_Theme_of_Corelli%2C_Op.42_(Rachmaninoff%2C_Sergei)	48	48	16	https://musicbrainz.org/work/a5cf8acd-06dc-3355-b536-f456c8e95bce	259	rachmaninoff_piano	Harmony Annotations	Amelia Brey	48-72 (C3-C5)	Piano	29-69 (F1-A4)	Piano					2	Matthias Schabow	https://viaf.org/viaf/294081839/	https://www.wikidata.org/wiki/Q155132	1
MS3	op42_02	16		1: -1		0					Sergei Rachmaninoff	Variations on a Theme of Corelli	2	Variation 2	op. 42					2019-11-15	3.02	Apple Macintosh	https://imslp.hk/files/imglnks/euimg/d/d7/IMSLP02058-Rachmaninoff_-_Corelli_Variations.pdf		3.6.2	53-81 (F3-A5)	165.75	1931	1931	https://imslp.org/wiki/Variations_on_a_Theme_of_Corelli%2C_Op.42_(Rachmaninoff%2C_Sergei)	48	48	16	https://musicbrainz.org/work/a5cf8acd-06dc-3355-b536-f456c8e95bce	383	rachmaninoff_piano	Harmony Annotations	Amelia Brey	66-81 (F#4-A5)	Piano	53-74 (F3-D5)	Piano					2	Matthias Schabow	https://viaf.org/viaf/294081839/	https://www.wikidata.org/wiki/Q155132	1
MS3	op42_03	16		1: -1		0					Sergei Rachmaninoff	Variations on a Theme of Corelli	3	Variation 3	op. 42					2019-12-09	3.02	Apple Macintosh	https://imslp.hk/files/imglnks/euimg/d/d7/IMSLP02058-Rachmaninoff_-_Corelli_Variations.pdf		3.6.2	27-81 (Eb1-A5)	201	1931	1931	https://imslp.org/wiki/Variations_on_a_Theme_of_Corelli%2C_Op.42_(Rachmaninoff%2C_Sergei)	48	48	16	https://musicbrainz.org/work/a5cf8acd-06dc-3355-b536-f456c8e95bce	311	rachmaninoff_piano	Harmony Annotations	Amelia Brey	52-81 (E3-A5)	Piano	27-70 (Eb1-Bb4)	Piano					2	Matthias Schabow	https://viaf.org/viaf/294081839/	https://www.wikidata.org/wiki/Q155132	1
MS3	op42_04	16		1: -1		0					Sergei Rachmaninoff	Variations on a Theme of Corelli	4	Variation 4	op. 42					2019-12-10	3.02	Apple Macintosh	https://imslp.hk/files/imglnks/euimg/d/d7/IMSLP02058-Rachmaninoff_-_Corelli_Variations.pdf		3.6.2	32-92 (Ab1-G#6)	348.58	1931	1931	https://imslp.org/wiki/Variations_on_a_Theme_of_Corelli%2C_Op.42_(Rachmaninoff%2C_Sergei)	48	48	16	https://musicbrainz.org/work/a5cf8acd-06dc-3355-b536-f456c8e95bce	310	rachmaninoff_piano	Harmony Annotations	Amelia Brey	53-92 (F3-G#6)	Piano	32-80 (Ab1-G#5)	Piano					2	Matthias Schabow	https://viaf.org/viaf/294081839/	https://www.wikidata.org/wiki/Q155132	1
MS3	op42_05	16		1: -1	2: 2/4, 3: 3/4, 4: 2/4, 5: 3/4, 6: 4/4, 7: 3/4, 9: 2/4, 10: 3/4, 11: 2/4, 12: 3/4, 14: 2/4, 15: 3/4	0					Sergei Rachmaninoff	Variations on a Theme of Corelli	5	Variation 5	op. 42					2019-12-10	3.02	Apple Macintosh	https://imslp.hk/files/imglnks/euimg/d/d7/IMSLP02058-Rachmaninoff_-_Corelli_Variations.pdf		3.6.2	29-93 (F1-A6)	136.5	1931	1931	https://imslp.org/wiki/Variations_on_a_Theme_of_Corelli%2C_Op.42_(Rachmaninoff%2C_Sergei)	44	44	16	https://musicbrainz.org/work/a5cf8acd-06dc-3355-b536-f456c8e95bce	288	rachmaninoff_piano	Harmony Annotations	Amelia Brey	52-93 (E3-A6)	Piano	29-81 (F1-A5)	Piano					2	Matthias Schabow	https://viaf.org/viaf/294081839/	https://www.wikidata.org/wiki/Q155132	1
MS3	op42_06	16		1: -1		0					Sergei Rachmaninoff	Variations on a Theme of Corelli	6	Variation 6	op. 42					2019-12-11	3.02	Apple Macintosh	https://imslp.hk/files/imglnks/euimg/d/d7/IMSLP02058-Rachmaninoff_-_Corelli_Variations.pdf		3.6.2	38-89 (D2-F6)	164	1931	1931	https://imslp.org/wiki/Variations_on_a_Theme_of_Corelli%2C_Op.42_(Rachmaninoff%2C_Sergei)	48	48	16	https://musicbrainz.org/work/a5cf8acd-06dc-3355-b536-f456c8e95bce	419	rachmaninoff_piano	Harmony Annotations	Amelia Brey	52-89 (E3-F6)	Piano	38-79 (D2-G5)	Piano					2	Matthias Schabow	https://viaf.org/viaf/294081839/	https://www.wikidata.org/wiki/Q155132	1
MS3	op42_07	18		1: -1		0					Sergei Rachmaninoff	Variations on a Theme of Corelli	7	Variation 7	op. 42					2019-12-16	3.02	Apple Macintosh	https://imslp.hk/files/imglnks/euimg/d/d7/IMSLP02058-Rachmaninoff_-_Corelli_Variations.pdf		3.6.2	26-93 (D1-A6)	260.5	1931	1931	https://imslp.org/wiki/Variations_on_a_Theme_of_Corelli%2C_Op.42_(Rachmaninoff%2C_Sergei)	54	54	18	https://musicbrainz.org/work/a5cf8acd-06dc-3355-b536-f456c8e95bce	448	rachmaninoff_piano	Harmony Annotations	Amelia Brey	53-93 (F3-A6)	Piano	26-70 (D1-Bb4)	Piano					2	Matthias Schabow	https://viaf.org/viaf/294081839/	https://www.wikidata.org/wiki/Q155132	1
MS3	op42_08	15		1: -1		0					Sergei Rachmaninoff	Variations on a Theme of Corelli	8	Variation 8	op. 42					2019-12-16	3.02	Apple Macintosh	https://imslp.hk/files/imglnks/euimg/d/d7/IMSLP02058-Rachmaninoff_-_Corelli_Variations.pdf		3.6.2	26-68 (D1-Ab4)	208.5	1931	1931	https://imslp.org/wiki/Variations_on_a_Theme_of_Corelli%2C_Op.42_(Rachmaninoff%2C_Sergei)	45	45	15	https://musicbrainz.org/work/a5cf8acd-06dc-3355-b536-f456c8e95bce	272	rachmaninoff_piano	Harmony Annotations	Amelia Brey	52-68 (E3-Ab4)	Piano	26-53 (D1-F3)	Piano					2	Matthias Schabow	https://viaf.org/viaf/294081839/	https://www.wikidata.org/wiki/Q155132	1
MS3	op42_09	19		1: -1		0					Sergei Rachmaninoff	Variations on a Theme of Corelli	9	Variation 9	op. 42					2019-12-17	3.02	Apple Macintosh	https://imslp.hk/files/imglnks/euimg/d/d7/IMSLP02058-Rachmaninoff_-_Corelli_Variations.pdf		3.6.2	26-87 (D1-Eb6)	232.5	1931	1931	https://imslp.org/wiki/Variations_on_a_Theme_of_Corelli%2C_Op.42_(Rachmaninoff%2C_Sergei)	57	57	19	https://musicbrainz.org/work/a5cf8acd-06dc-3355-b536-f456c8e95bce	403	rachmaninoff_piano	Harmony Annotations	Amelia Brey	45-87 (A2-Eb6)	Piano	26-73 (D1-C#5)	Piano					2	Matthias Schabow	https://viaf.org/viaf/294081839/	https://www.wikidata.org/wiki/Q155132	1
