mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	1.0	0	0	3/4	2	1	d.i{	d	i		i	i						{	m	1	1	0, -3, 1		0	0
1	1	1	1	1.0	1/4	1/4	3/4	2	1	i6	d	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
1	1	2	2	1.0	1/2	1/2	3/4	2	1	ii%65	d	i		ii%65	ii	%	65					%7	1	1	-1, -4, 0, 2		2	-1
2	2	3	3	3.0	0	0	3/4	2	1	V	d	i		V	V							M	1	1	1, 5, 2		1	1
3	3	6	6	1.0	0	0	3/4	2	1	i	d	i		i	i							m	1	1	0, -3, 1		0	0
3	3	7	7	1.0	1/4	1/4	3/4	2	1	i6	d	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
3	3	8	8	1.0	1/2	1/2	3/4	2	1	V7/V/III	d	i		V7/V/III	V		7		V/III			Mm7	1	1	-1, 3, 0, -3		-1	-1
4	4	9	9	3.0	0	0	3/4	2	2	V/III	d	i		V/III	V				III			M	1	1	-2, 2, -1		-2	-2
5	5	12	12	1.0	0	0	3/4	2	1	I/III	d	i		I/III	I				III			M	1	1	-3, 1, -2		-3	-3
5	5	13	13	1.0	1/4	1/4	3/4	2	1	I6/III	d	i		I6/III	I		6		III			M	1	1	1, -2, -3		-3	1
5	5	14	14	1.0	1/2	1/2	3/4	2	1	V65/V/III	d	i		V65/V/III	V		65		V/III			Mm7	1	1	3, 0, -3, -1		-1	3
6	6	15	15	2.0	0	0	3/4	2	1	V/III	d	i		V/III	V				III			M	1	1	-2, 2, -1		-2	-2
6	6	17	17	1.0	1/2	1/2	3/4	2	1	#viio7(#4)	d	i		#viio7(#4)	#vii	o	7	#4				o7	1	1	5, 2, 4, -4		5	5
7	7	18	18	1.0	0	0	3/4	2	2	i	d	i		i	i							m	1	1	0, -3, 1		0	0
7	7	19	19	1.0	1/4	1/4	3/4	2	1	ii%65	d	i		ii%65	ii	%	65					%7	1	1	-1, -4, 0, 2		2	-1
7	7	20	20	1.0	1/2	1/2	3/4	2	1	ii%43	d	i		ii%43	ii	%	43					%7	1	1	-4, 0, 2, -1		2	-4
8	8	21	21	3.0	0	0	3/4	2	1	V|HC}	d	i		V	V					HC	}	M	1	1	1, 5, 2		1	1
9	9	24	24	1.0	0	0	3/4	2	2	i{	d	i		i	i						{	m	1	1	0, -3, 1		0	0
9	9	25	25	1.0	1/4	1/4	3/4	2	2	i6	d	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
9	9	26	26	1.0	1/2	1/2	3/4	2	1	ii%65	d	i		ii%65	ii	%	65					%7	1	1	-1, -4, 0, 2		2	-1
10	10	27	27	3.0	0	0	3/4	2	2	V	d	i		V	V							M	1	1	1, 5, 2		1	1
11	11	30	30	1.0	0	0	3/4	2	1	i	d	i		i	i							m	1	1	0, -3, 1		0	0
11	11	31	31	1.0	1/4	1/4	3/4	2	1	i6	d	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
11	11	32	32	1.0	1/2	1/2	3/4	2	1	V7/V/III	d	i		V7/V/III	V		7		V/III			Mm7	1	1	-1, 3, 0, -3		-1	-1
12	12	33	33	3.0	0	0	3/4	2	2	V/III	d	i		V/III	V				III			M	1	1	-2, 2, -1		-2	-2
13	13	36	36	1.0	0	0	3/4	2	2	I/III	d	i		I/III	I				III			M	1	1	-3, 1, -2		-3	-3
13	13	37	37	1.0	1/4	1/4	3/4	2	1	I6/III	d	i		I6/III	I		6		III			M	1	1	1, -2, -3		-3	1
13	13	38	38	1.0	1/2	1/2	3/4	2	1	V65/V/III	d	i		V65/V/III	V		65		V/III			Mm7	1	1	3, 0, -3, -1		-1	3
14	14	39	39	1.0	0	0	3/4	2	1	V/III	d	i		V/III	V				III			M	1	1	-2, 2, -1		-2	-2
14	14	40	40	1.0	1/4	1/4	3/4	2	1	#viio7	d	i		#viio7	#vii	o	7					o7	1	1	5, 2, -1, -4		5	5
14	14	41	41	1.0	1/2	1/2	3/4	2	2	i	d	i		i	i							m	1	1	0, -3, 1		0	0
15	15	42	42	1.0	0	0	3/4	2	1	ii%65	d	i		ii%65	ii	%	65					%7	1	1	-1, -4, 0, 2		2	-1
15	15	43	43	1.5	1/4	1/4	3/4	2	2	V7(4)	d	i		V7(4)	V		7	4				Mm7	1	1	1, 0, 2, -1		1	1
15	15	89/2	89/2	0.5	5/8	5/8	3/4	2	2	V7	d	i		V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
16	16	45	45	3.0	0	0	3/4	2	1	i|PAC}	d	i		i	i					PAC	}	m	1	1	0, -3, 1		0	0
