mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0.75	0	0	9/8	2	1	d.i{		d	i		i		i						{	m	1	1	0, -3, 1		0	0
1	1	3/4	0.75	3/16	3/16	9/8	2	1	#iii64		d	i		#iii64		#iii		64					m	1	1	5, 4, 1		4	5
1	1	3/2	0.75	3/8	3/8	9/8	2	1	iii64		d	i		iii64		iii		64					m	1	1	-2, -3, -6		-3	-2
1	1	9/4	0.75	9/16	9/16	9/8	2	1	ii64		d	i		ii64		ii		64					m	1	1	3, 2, -1		2	3
1	1	3	0.75	3/4	3/4	9/8	2	1	bii64(9)		d	i		bii64(9)		bii		64	9				m	1	1	-4, -5, -8	-3	-5	-4
1	1	15/4	0.75	15/16	15/16	9/8	2	1	i64		d	i		i64		i		64					m	1	1	1, 0, -3		0	1
2	2	9/2	0.75	0	0	9/8	2	1	V		d	i		V		V							M	1	1	1, 5, 2		1	1
2	2	21/4	0.75	3/16	3/16	9/8	2	1	#VII64		d	i		#VII64		#VII		64					M	1	1	6, 5, 9		5	6
2	2	6	0.75	3/8	3/8	9/8	2	1	VII64		d	i		VII64		VII		64					M	1	1	-1, -2, 2		-2	-1
2	2	27/4	0.75	9/16	9/16	9/8	2	1	#VI64		d	i		#VI64		#VI		64					M	1	1	4, 3, 7		3	4
2	2	15/2	0.75	3/4	3/4	9/8	2	1	III+M7		d	i		III+M7		III	+M	7					+M7	1	1	-3, 1, 5, 2		-3	-3
2	2	33/4	0.75	15/16	15/16	9/8	2	1	V64		d	i		V64		V		64					M	1	1	2, 1, 5		1	2
3	3	9	0.75	0	0	9/8	2	1	i}{		d	i		i		i						}{	m	1	1	0, -3, 1		0	0
3	3	39/4	0.75	3/16	3/16	9/8	2	1	#iii64		d	i		#iii64		#iii		64					m	1	1	5, 4, 1		4	5
3	3	21/2	0.75	3/8	3/8	9/8	2	1	iii64		d	i		iii64		iii		64					m	1	1	-2, -3, -6		-3	-2
3	3	45/4	0.75	9/16	9/16	9/8	2	1	ii64		d	i		ii64		ii		64					m	1	1	3, 2, -1		2	3
