mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	0.5	0	0	3/4	2	1	d.i6{		d	i		i6	i		6				{	m	1	1	-3, 1, 0		0	-3
1	1	1/2	1/2	0.5	1/8	1/8	3/4	2	1	V6		d	i		V6	V		6					M	1	1	5, 2, 1		1	5
1	1	1	1	0.5	1/4	1/4	3/4	2	1	i6		d	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
1	1	3/2	3/2	0.5	3/8	3/8	3/4	2	1	V6		d	i		V6	V		6					M	1	1	5, 2, 1		1	5
1	1	2	2	0.5	1/2	1/2	3/4	2	1	i6		d	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
1	1	5/2	5/2	0.5	5/8	5/8	3/4	2	1	V6		d	i		V6	V		6					M	1	1	5, 2, 1		1	5
2	2	3	3	3.0	0	0	3/4	2	1	bI		d	i		bI	bI							M	1	1	-7, -3, -6		-7	-7
3	3	6	6	0.5	0	0	3/4	2	1	i6		d	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
3	3	13/2	13/2	0.5	1/8	1/8	3/4	2	1	V6		d	i		V6	V		6					M	1	1	5, 2, 1		1	5
3	3	7	7	0.5	1/4	1/4	3/4	2	1	i6		d	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
3	3	15/2	15/2	0.5	3/8	3/8	3/4	2	1	V6		d	i		V6	V		6					M	1	1	5, 2, 1		1	5
3	3	8	8	0.5	1/2	1/2	3/4	2	1	i6		d	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
3	3	17/2	17/2	0.5	5/8	5/8	3/4	2	1	V6		d	i		V6	V		6					M	1	1	5, 2, 1		1	5
4	4	9	9	3.0	0	0	3/4	2	1	III64		d	i		III64	III		64					M	1	1	-2, -3, 1		-3	-2
5	5	12	12	0.5	0	0	3/4	2	1	i6		d	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
5	5	25/2	25/2	0.5	1/8	1/8	3/4	2	1	V6		d	i		V6	V		6					M	1	1	5, 2, 1		1	5
5	5	13	13	0.5	1/4	1/4	3/4	2	1	i6		d	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
5	5	27/2	27/2	0.5	3/8	3/8	3/4	2	1	V6		d	i		V6	V		6					M	1	1	5, 2, 1		1	5
5	5	14	14	0.5	1/2	1/2	3/4	2	1	i6		d	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
5	5	29/2	29/2	0.5	5/8	5/8	3/4	2	1	V6		d	i		V6	V		6					M	1	1	5, 2, 1		1	5
6	6	15	15	3.0	0	0	3/4	2	1	i64(+6)		d	i		i64(+6)	i		64	+6				m	1	1	1, 0, -3	-4	0	1
7	7	18	18	1.0	0	0	3/4	2	1	v64		d	i		v64	v		64					m	1	1	2, 1, -2		1	2
