mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	2.0	0	0	3/4	2	1	d.i{	d	i		i		i						{	m	1	1	0, -3, 1		0	0
1	1	2	1.0	1/2	1/2	3/4	2	1	bI64	d	i		bI64		bI		64					M	1	1	-6, -7, -3		-7	-6
2	2	3	1.0	0	0	3/4	2	1	i	d	i		i		i							m	1	1	0, -3, 1		0	0
2	2	4	1.0	1/4	1/4	3/4	2	1	bI64	d	i		bI64		bI		64					M	1	1	-6, -7, -3		-7	-6
2	2	5	1.0	1/2	1/2	3/4	2	1	V	d	i		V		V							M	1	1	1, 5, 2		1	1
3	3	6	2.0	0	0	3/4	2	1	i	d	i		i		i							m	1	1	0, -3, 1		0	0
3	3	8	1.0	1/2	1/2	3/4	2	1	VI	d	i		VI		VI							M	1	1	-4, 0, -3		-4	-4
4	4	9	1.0	0	0	3/4	2	1	i	d	i		i		i							m	1	1	0, -3, 1		0	0
4	4	10	1.0	1/4	1/4	3/4	2	1	VIM7(13)	d	i		VIM7(13)		VI	M	7	13				MM7	1	1	-4, 0, -3, 1	-1	-4	-4
4	4	11	1.0	1/2	1/2	3/4	2	1	V65/V/III	d	i		V65/V/III		V		65		V/III			Mm7	1	1	3, 0, -3, -1		-1	3
5	5	12	1.0	0	0	3/4	2	1	V7(9)/iv	d	i		V7(9)/iv		V		7	9	iv			Mm7	1	1	0, 4, 1, -2	-5	0	0
5	5	13	1.0	1/4	1/4	3/4	2	1	V/III	d	i		V/III		V				III			M	1	1	-2, 2, -1		-2	-2
5	5	14	1.0	1/2	1/2	3/4	2	1	V43/V	d	i		V43/V		V		43		V			Mm7	1	1	3, 0, 2, 6		2	3
6	6	15	1.0	0	0	3/4	2	1	i(#6)	d	i		i(#6)		i			#6				m	1	1	0, -3, 1	3	0	0
6	6	16	1.0	1/4	1/4	3/4	2	1	#vi	d	i		#vi		#vi							m	1	1	3, 0, 4		3	3
6	6	17	1.0	1/2	1/2	3/4	2	1	Ger2/iv	d	i		Ger2/iv	Ger	vii	o	2	b3	V/iv			Ger	1	1	-4, 5, -5, -1		5	-4
7	7	18	1.0	0	0	3/4	2	1	iM7(6)	d	i		iM7(6)		i	M	7	6				mM7	1	1	0, -3, -4, 5		0	0
7	7	19	1.0	1/4	1/4	3/4	2	1	vi	d	i		vi		vi							m	1	1	-4, -7, -3		-4	-4
7	7	20	1.0	1/2	1/2	3/4	2	1	V43/iv	d	i		V43/iv		V		43		iv			Mm7	1	1	1, -2, 0, 4		0	1
8	8	21	2.0	0	0	3/4	2	1	i%65	d	i		i%65		i	%	65					%7	1	1	-3, -6, -2, 0		0	-3
8	8	23	1.0	1/2	1/2	3/4	2	1	V(^#7)|HC}	d	i		V(^#7)		V			^#7		HC	}	M	1	1	1, 5, 2	6	1	1
9	9	24	1.0	0	0	3/4	2	1	V7{	d	i		V7		V		7				{	Mm7	1	1	1, 5, 2, -1		1	1
9	9	25	1.0	1/4	1/4	3/4	2	1	Fr43(#0)	d	i		Fr43(#0)	Fr	V		43	b5#0	V			Fr	1	1	-4, 0, 2, 6		2	-4
9	9	26	1.0	1/2	1/2	3/4	2	1	V64(134)/V	d	i		V64(134)/V		V		64	134	V			M	1	1	3, 2, 1	5	2	3
10	10	27	1.0	0	0	3/4	2	1	V7(b9)/III	d	i		V7(b9)/III		V		7	b9	III			Mm7	1	1	-2, 2, -1, -4	-7	-2	-2
10	10	28	1.0	1/4	1/4	3/4	2	1	V64(134)/V	d	i		V64(134)/V		V		64	134	V			M	1	1	3, 2, 1	5	2	3
10	10	29	1.0	1/2	1/2	3/4	2	1	Fr43(#0)	d	i		Fr43(#0)	Fr	V		43	b5#0	V			Fr	1	1	-4, 0, 2, 6		2	-4
11	11	30	2.0	0	0	3/4	2	1	i|PC}{	d	i		i		i					PC	}{	m	1	1	0, -3, 1		0	0
11	11	32	1.0	1/2	1/2	3/4	2	1	bI64	d	i		bI64		bI		64					M	1	1	-6, -7, -3		-7	-6
12	12	33	1.0	0	0	3/4	2	1	i	d	i		i		i							m	1	1	0, -3, 1		0	0
12	12	34	1.0	1/4	1/4	3/4	2	1	bI64	d	i		bI64		bI		64					M	1	1	-6, -7, -3		-7	-6
12	12	35	1.0	1/2	1/2	3/4	2	1	V	d	i		V		V							M	1	1	1, 5, 2		1	1
13	13	36	2.0	0	0	3/4	2	1	i	d	i		i		i							m	1	1	0, -3, 1		0	0
13	13	38	1.0	1/2	1/2	3/4	2	1	VI	d	i		VI		VI							M	1	1	-4, 0, -3		-4	-4
14	14	39	1.0	0	0	3/4	2	1	i	d	i		i		i							m	1	1	0, -3, 1		0	0
14	14	40	1.0	1/4	1/4	3/4	2	1	VIM7(13)	d	i		VIM7(13)		VI	M	7	13				MM7	1	1	-4, 0, -3, 1	-1	-4	-4
14	14	41	1.0	1/2	1/2	3/4	2	1	V65/V/III	d	i		V65/V/III		V		65		V/III			Mm7	1	1	3, 0, -3, -1		-1	3
15	15	42	1.0	0	0	3/4	2	1	i7/III	d	i		i7/III		i		7		III			mm7	1	1	-3, -6, -2, -5		-3	-3
15	15	43	1.0	1/4	1/4	3/4	2	1	bIIIM65/III	d	i		bIIIM65/III		bIII	M	65		III			MM7	1	1	-2, -5, -1, -6		-6	-2
15	15	44	1.0	1/2	1/2	3/4	2	1	V65/V/III	d	i		V65/V/III		V		65		V/III			Mm7	1	1	3, 0, -3, -1		-1	3
16	16	45	1.0	0	0	3/4	2	1	i7/bII	d	i		i7/bII		i		7		bII			mm7	1	1	-5, -8, -4, -7		-5	-5
16	16	46	1.0	1/4	1/4	3/4	2	1	bIIIM65/bII	d	i		bIIIM65/bII		bIII	M	65		bII			MM7	1	1	-4, -7, -3, -8		-8	-4
16	16	47	1.0	1/2	1/2	3/4	2	1	V65/VI	d	i		V65/VI		V		65		VI			Mm7	1	1	1, -2, -5, -3		-3	1
17	17	48	1.0	0	0	3/4	2	1	i	d	i		i		i							m	1	1	0, -3, 1		0	0
17	17	49	1.0	1/4	1/4	3/4	2	1	bI64	d	i		bI64		bI		64					M	1	1	-6, -7, -3		-7	-6
17	17	50	1.0	1/2	1/2	3/4	2	1	i64	d	i		i64		i		64					m	1	1	1, 0, -3		0	1
18	18	51	1.0	0	0	3/4	2	1	III64	d	i		III64		III		64					M	1	1	-2, -3, 1		-3	-2
18	18	52	1.0	1/4	1/4	3/4	2	1	V+6	d	i		V+6		V	+	6					+	1	1	5, 9, 1		1	5
18	18	53	1.0	1/2	1/2	3/4	2	1	i7	d	i		i7		i		7					mm7	1	1	0, -3, 1, -2		0	0
19	19	54	1.0	0	0	3/4	2	1	Fr43(+6)/iv	d	i		Fr43(+6)/iv	Fr	V		43	+6b5	V/iv			Fr	1	1	-5, -1, 1, 5	4	1	-5
19	19	55	1.0	1/4	1/4	3/4	2	1	i7	d	i		i7		i		7					mm7	1	1	0, -3, 1, -2		0	0
19	19	56	1.0	1/2	1/2	3/4	2	1	V+6|HC}	d	i		V+6		V	+	6			HC	}	+	1	1	5, 9, 1		1	5
