mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	0	0	2.0	0	7/8	4/4	2	1	d.i{	d	i		i	i						{	m	1	1	0, -3, 1		0	0
2	1	2	2.0	3/8	3/8	4/4	2	1	vi	d	i		vi	vi							m	1	1	-4, -7, -3		-4	-4
2	1	4	4.0	7/8	7/8	4/4	2	1	V	d	i		V	V							M	1	1	1, 5, 2		1	1
3	2	15/2	0.0	3/4	3/4	4/4	2	1	}	d	i									}		1	1				
3	2	8	2.0	7/8	7/8	4/4	2	1	i{	d	i		i	i						{	m	1	1	0, -3, 1		0	0
4	3	10	2.0	3/8	3/8	4/4	2	1	#vii%2/V/III	d	i		#vii%2/V/III	#vii	%	2		V/III			%7	1	1	1, 3, 0, -3		3	1
4	3	12	4.5	7/8	7/8	4/4	2	1	V/III	d	i		V/III	V				III			M	1	1	-2, 2, -1		-2	-2
5	4	31/2	0.0	3/4	3/4	4/4	2	1	}	d	i									}		1	1				
5	4	16	0.0	7/8	7/8	4/4	2	1	{	d	i									{		1	1				
6	5	33/2	1.5	0	0	4/4	2	1	III	d	i		III	III							M	1	1	-3, 1, -2		-3	-3
6	5	18	0.5	3/8	3/8	4/4	2	1	V/#iii	d	i		V/#iii	V				#iii			M	1	1	5, 9, 6		5	5
6	5	37/2	1.5	1/2	1/2	4/4	2	1	#iii	d	i		#iii	#iii							m	1	1	4, 1, 5		4	4
6	5	20	0.5	7/8	7/8	4/4	2	1	V/bI	d	i		V/bI	V				bI			M	1	1	-6, -2, -5		-6	-6
7	6	41/2	1.5	0	0	4/4	2	1	bI	d	i		bI	bI							M	1	1	-7, -3, -6		-7	-7
7	6	22	0.5	3/8	3/8	4/4	2	1	V	d	i		V	V							M	1	1	1, 5, 2		1	1
7	6	45/2	1.5	1/2	1/2	4/4	2	1	i	d	i		i	i							m	1	1	0, -3, 1		0	0
7	6	24	0.5	7/8	7/8	4/4	2	1	II65(#6b2)	d	i		II65(#6b2)	II		65	#6b2				Mm7	1	1	6, 3, 5, -10		2	6
8	7	49/2	0.5	0	0	4/4	2	1	iv	d	i		iv	iv							m	1	1	-1, -4, 0		-1	-1
8	7	25	1.0	1/8	1/8	4/4	2	1	#iii(+#13)	d	i		#iii(+#13)	#iii			+#13				m	1	1	4, 1, 5	7	4	4
8	7	26	1.0	3/8	3/8	4/4	2	1	IIIM7(9)	d	i		IIIM7(9)	III	M	7	9				MM7	1	1	-3, 1, -2, 2	-1	-3	-3
8	7	27	0.5	5/8	5/8	4/4	2	1	iiiM2	d	i		iiiM2	iii	M	2					mM7	1	1	2, -3, -6, -2		-3	2
8	7	55/2	0.5	3/4	3/4	4/4	2	1	#viio2/iv	d	i		#viio2/iv	#vii	o	2		iv			o7	1	1	-5, 4, 1, -2		4	-5
8	7	28	0.5	7/8	7/8	4/4	2	1	IV7	d	i		IV7	IV		7					Mm7	1	1	-1, 3, 0, -3		-1	-1
9	8	57/2	3.5	0	0	4/4	2	1	V|HC	d	i		V	V					HC		M	1	1	1, 5, 2		1	1
9	8	31	0.0	5/8	5/8	4/4	2	1	}	d	i									}		1	1				
9	8	32	0.5	7/8	7/8	4/4	2	1	V/V{	d	i		V/V	V				V		{	M	1	1	2, 6, 3		2	2
10	9	65/2	1.5	0	0	4/4	2	1	V(4)	d	i		V(4)	V			4				M	1	1	1, 0, 2		1	1
10	9	34	0.5	3/8	3/8	4/4	2	1	V/VI	d	i		V/VI	V				VI			M	1	1	-3, 1, -2		-3	-3
10	9	69/2	0.5	1/2	1/2	4/4	2	1	VI(4)	d	i		VI(4)	VI			4				M	1	1	-4, 2, -3		-4	-4
10	9	35	0.5	5/8	5/8	4/4	2	1	V/#vi	d	i		V/#vi	V				#vi			M	1	1	4, 8, 5		4	4
10	9	71/2	0.5	3/4	3/4	4/4	2	1	#vi(4)	d	i		#vi(4)	#vi			4				m	1	1	3, 2, 4		3	3
10	9	36	0.5	7/8	7/8	4/4	2	1	V/VII	d	i		V/VII	V				VII			M	1	1	-1, 3, 0		-1	-1
11	10	73/2	3.5	0	0	4/4	2	1	VII	d	i		VII	VII							M	1	1	-2, 2, -1		-2	-2
11	10	39	0.0	5/8	5/8	4/4	2	1	}	d	i									}		1	1				
11	10	40	0.5	7/8	7/8	4/4	2	1	V{	d	i		V	V						{	M	1	1	1, 5, 2		1	1
12	11	81/2	1.5	0	0	4/4	2	1	i(4)	d	i		i(4)	i			4				m	1	1	0, -1, 1		0	0
12	11	42	0.5	3/8	3/8	4/4	2	1	V/bII	d	i		V/bII	V				bII			M	1	1	-4, 0, -3		-4	-4
12	11	85/2	0.5	1/2	1/2	4/4	2	1	bII(4)	d	i		bII(4)	bII			4				M	1	1	-5, 1, -4		-5	-5
12	11	43	0.5	5/8	5/8	4/4	2	1	V/ii	d	i		V/ii	V				ii			M	1	1	3, 7, 4		3	3
12	11	87/2	0.5	3/4	3/4	4/4	2	1	ii(4)	d	i		ii(4)	ii			4				m	1	1	2, 1, 3		2	2
12	11	44	0.5	7/8	7/8	4/4	2	1	V/III	d	i		V/III	V				III			M	1	1	-2, 2, -1		-2	-2
13	12	89/2	3.5	0	0	4/4	2	1	III	d	i		III	III							M	1	1	-3, 1, -2		-3	-3
13	12	47	0.0	5/8	5/8	4/4	2	1	}	d	i									}		1	1				
13	12	48	0.5	7/8	7/8	4/4	2	1	V/bIV{	d	i		V/bIV	V				bIV		{	M	1	1	-7, -3, -6		-7	-7
14	13	97/2	1.5	0	0	4/4	2	1	bIV	d	i		bIV	bIV							M	1	1	-8, -4, -7		-8	-8
14	13	50	0.5	3/8	3/8	4/4	2	1	V/iv	d	i		V/iv	V				iv			M	1	1	0, 4, 1		0	0
14	13	101/2	1.5	1/2	1/2	4/4	2	1	iv	d	i		iv	iv							m	1	1	-1, -4, 0		-1	-1
14	13	52	0.5	7/8	7/8	4/4	2	1	V/VI	d	i		V/VI	V				VI			M	1	1	-3, 1, -2		-3	-3
15	14	105/2	1.5	0	0	4/4	2	1	VI	d	i		VI	VI							M	1	1	-4, 0, -3		-4	-4
15	14	54	0.5	3/8	3/8	4/4	2	1	V/#vi	d	i		V/#vi	V				#vi			M	1	1	4, 8, 5		4	4
15	14	109/2	1.5	1/2	1/2	4/4	2	1	#vi	d	i		#vi	#vi							m	1	1	3, 0, 4		3	3
15	14	56	0.5	7/8	7/8	4/4	2	1	#viio43/iv	d	i		#viio43/iv	#vii	o	43		iv			o7	1	1	-2, -5, 4, 1		4	-2
16	15	113/2	0.5	0	0	4/4	2	1	iv(1311)}	d	i		iv(1311)	iv			1311			}	m	1	1	-1, -4, 0	2, -2	-1	-1
16	15	57	1.0	1/8	1/8	4/4	2	1	IV7(9)	d	i		IV7(9)	IV		7	9				Mm7	1	1	-1, 3, 0, -3	1	-1	-1
16	15	58	1.0	3/8	3/8	4/4	2	1	bV7(9)	d	i		bV7(9)	bV		7	9				Mm7	1	1	-6, -2, -5, -8	-4	-6	-6
16	15	59	0.5	5/8	5/8	4/4	2	1	VI7(9)	d	i		VI7(9)	VI		7	9				Mm7	1	1	-4, 0, -3, -6	-2	-4	-4
16	15	119/2	0.5	3/4	3/4	4/4	2	1	#VI7(9)	d	i		#VI7(9)	#VI		7	9				Mm7	1	1	3, 7, 4, 1	-2	3	3
16	15	60	0.5	7/8	7/8	4/4	2	1	#viio7(9)	d	i		#viio7(9)	#vii	o	7	9				o7	1	1	5, 2, -1, -4	0	5	5
