mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	1.0	0	0	9/8	2	1	d.i(+9){	d	i		i(+9)		i			+9			{	m	1	1	0, -3, 1	2	0	0
1	1	1	1	0.5	1/4	1/4	9/8	2	1	i	d	i		i		i							m	1	1	0, -3, 1		0	0
1	1	3/2	3/2	1.0	3/8	3/8	9/8	2	1	i7(+9)	d	i		i7(+9)		i		7	+9				mm7	1	1	0, -3, 1, -2	2	0	0
1	1	5/2	5/2	0.5	5/8	5/8	9/8	2	1	i7	d	i		i7		i		7					mm7	1	1	0, -3, 1, -2		0	0
1	1	3	3	1.0	3/4	3/4	9/8	2	1	IV43(+13)	d	i		IV43(+13)		IV		43	+13				Mm7	1	1	0, -3, -1, 3	2	-1	0
1	1	4	4	0.5	1	1	9/8	2	1	i(#6)	d	i		i(#6)		i			#6				m	1	1	0, -3, 1	3	0	0
2	2	9/2	9/2	1.5	0	0	9/8	2	1	Fr2	d	i		Fr2	Fr	V		2	b5	V			Fr	1	1	0, 2, 6, -4		2	0
2	2	6	6	1.5	3/8	3/8	9/8	2	1	V(964)	d	i		V(964)		V			964				M	1	1	1, 0, -3	-4	1	1
2	2	15/2	15/2	1.5	3/4	3/4	9/8	2	1	V	d	i		V		V							M	1	1	1, 5, 2		1	1
2	2	17/2	17/2	0.0	1	1	9/8	2	1	}	d	i										}		1	1				
3	3	9	9	1.0	0	0	9/8	2	1	i(+9){	d	i		i(+9)		i			+9			{	m	1	1	0, -3, 1	2	0	0
3	3	10	10	0.5	1/4	1/4	9/8	2	1	i	d	i		i		i							m	1	1	0, -3, 1		0	0
3	3	21/2	21/2	1.0	3/8	3/8	9/8	2	1	iM7(9^#4)	d	i		iM7(9^#4)		i	M	7	9^#4				mM7	1	1	0, -3, 6, 5	2	0	0
3	3	23/2	23/2	0.5	5/8	5/8	9/8	2	1	iM7(^#4)	d	i		iM7(^#4)		i	M	7	^#4				mM7	1	1	0, -3, 6, 5		0	0
3	3	12	12	1.0	3/4	3/4	9/8	2	1	ivM43(^1394)	d	i		ivM43(^1394)		iv	M	43	^1394				mM7	1	1	0, 4, -1, -2	2, 1	-1	0
3	3	13	13	0.5	1	1	9/8	2	1	iv7(9)	d	i		iv7(9)		iv		7	9				mm7	1	1	-1, -4, 0, -3	1	-1	-1
4	4	27/2	27/2	1.5	0	0	9/8	2	1	V/III	d	i		V/III		V				III			M	1	1	-2, 2, -1		-2	-2
4	4	15	15	1.5	3/8	3/8	9/8	2	1	V(9+4)/III	d	i		V(9+4)/III		V			9+4	III			M	1	1	-2, 2, -1	0, -3	-2	-2
4	4	33/2	33/2	1.5	3/4	3/4	9/8	2	1	V(9)/III	d	i		V(9)/III		V			9	III			M	1	1	-2, 2, -1	0	-2	-2
5	5	18	18	1.0	0	0	9/8	2	1	IIIM43(9)	d	i		IIIM43(9)		III	M	43	9				MM7	1	1	-2, 2, -3, 1	-1	-3	-2
5	5	19	19	0.5	1/4	1/4	9/8	2	1	IIIM7(9)|IAC}	d	i		IIIM7(9)		III	M	7	9		IAC	}	MM7	1	1	-3, 1, -2, 2	-1	-3	-3
5	5	39/2	39/2	1.5	3/8	3/8	9/8	2	1	III64(+6){	d	i		III64(+6)		III		64	+6			{	M	1	1	-2, -3, 1	0	-3	-2
5	5	21	21	1.0	3/4	3/4	9/8	2	1	V/III	d	i		V/III		V				III			M	1	1	-2, 2, -1		-2	-2
5	5	22	22	0.5	1	1	9/8	2	1	#vio6	d	i		#vio6		#vi	o	6					o	1	1	0, -3, 3		3	0
6	6	45/2	45/2	1.0	0	0	9/8	2	1	V43(139)/III	d	i		V43(139)/III		V		43	139	III			Mm7	1	1	-1, -4, -2, 2	1, 0	-2	-1
6	6	47/2	47/2	0.5	1/4	1/4	9/8	2	1	V(+94)/III	d	i		V(+94)/III		V			+94	III			M	1	1	-2, -3, -1	0	-2	-2
6	6	24	24	1.5	3/8	3/8	9/8	2	1	bIII+M7/III	d	i		bIII+M7/III		bIII	+M	7		III			+M7	1	1	-6, -2, 2, -1		-6	-6
6	6	51/2	51/2	1.5	3/4	3/4	9/8	2	1	iiM7(#9)	d	i		iiM7(#9)		ii	M	7	#9				mM7	1	1	2, -1, 3, 7	4	2	2
7	7	27	27	1.5	0	0	6/8	2	1	V7(94)	d	i		V7(94)		V		7	94				Mm7	1	1	1, 0, 2, -1	-4	1	1
7	7	57/2	57/2	1.5	3/8	3/8	6/8	2	1	iM7(9)	d	i		iM7(9)		i	M	7	9				mM7	1	1	0, -3, 1, 5	2	0	0
8	8	30	30	0.75	0	0	9/8	2	1	i7	d	i		i7		i		7					mm7	1	1	0, -3, 1, -2		0	0
8	8	123/4	123/4	1.5	3/16	3/16	9/8	2	1	iv(642)	d	i		iv(642)		iv			642				m	1	1	1, -2, 2		-1	1
8	8	129/4	129/4	0.75	9/16	9/16	9/8	2	1	#vio2(b4)	d	i		#vio2(b4)		#vi	o	2	b4				o7	1	1	-6, 3, -5, -3		3	-6
8	8	33	33	1.5	3/4	3/4	9/8	2	1	V7(96)	d	i		V7(96)		V		7	96				Mm7	1	1	1, 5, -3, -1	-4	1	1
9	9	69/2	69/2	1.0	0	0	9/8	2	1	i(+9)	d	i		i(+9)		i			+9				m	1	1	0, -3, 1	2	0	0
9	9	71/2	71/2	0.5	1/4	1/4	9/8	2	1	i|IAC}	d	i		i		i					IAC	}	m	1	1	0, -3, 1		0	0
9	9	36	36	1.0	3/8	3/8	9/8	2	1	i7(+9){	d	i		i7(+9)		i		7	+9			{	mm7	1	1	0, -3, 1, -2	2	0	0
9	9	37	37	0.5	5/8	5/8	9/8	2	1	i7	d	i		i7		i		7					mm7	1	1	0, -3, 1, -2		0	0
9	9	75/2	75/2	1.0	3/4	3/4	9/8	2	1	IV43(+13)	d	i		IV43(+13)		IV		43	+13				Mm7	1	1	0, -3, -1, 3	2	-1	0
