mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	1	0	0.75	0	0	9/8	2	1	3/16	1/8	3/2		2	26	D1	1	9
1	1	0	0.75	0	0	9/8	2	1	3/16	1/8	3/2		2	38	D2	2	9
1	1	0	0.75	0	0	9/8	1	1	3/16	1/8	3/2		2	50	D3	3	0
1	1	0	0.75	0	0	9/8	1	1	3/16	1/8	3/2		2	62	D4	4	0
1	1	3/4	0.25	3/16	3/16	9/8	2	1	1/16	1/16	1		3	45	A2	2	10
1	1	3/4	0.25	3/16	3/16	9/8	1	1	1/16	1/16	1		3	57	A3	3	1
1	1	1	0.5	1/4	1/4	9/8	2	1	1/8	1/8	1		-1	53	F3	3	11
1	1	1	0.5	1/4	1/4	9/8	1	1	1/8	1/8	1		-1	65	F4	4	2
1	1	3/2	0.75	3/8	3/8	9/8	2	1	3/16	1/8	3/2		3	45	A2	2	12
1	1	3/2	0.75	3/8	3/8	9/8	2	1	3/16	1/8	3/2		3	57	A3	3	12
1	1	3/2	0.75	3/8	3/8	9/8	1	1	3/16	1/8	3/2		3	69	A4	4	3
1	1	3/2	0.75	3/8	3/8	9/8	1	1	3/16	1/8	3/2		3	81	A5	5	3
1	1	9/4	0.25	9/16	9/16	9/8	2	1	1/16	1/16	1		-1	53	F3	3	13
1	1	9/4	0.25	9/16	9/16	9/8	1	1	1/16	1/16	1		-1	77	F5	5	4
1	1	5/2	0.5	5/8	5/8	9/8	2	1	1/8	1/8	1		0	60	C4	4	14
1	1	5/2	0.5	5/8	5/8	9/8	1	1	1/8	1/8	1		0	84	C6	6	5
1	1	3	0.75	3/4	3/4	9/8	2	1	3/16	1/8	3/2		8	32	G#1	1	15
1	1	3	0.75	3/4	3/4	9/8	2	1	3/16	1/8	3/2		8	44	G#2	2	15
1	1	3	0.75	3/4	3/4	9/8	1	1	3/16	1/8	3/2		8	56	G#3	3	6
1	1	3	0.75	3/4	3/4	9/8	1	1	3/16	1/8	3/2		8	68	G#4	4	6
1	1	15/4	0.25	15/16	15/16	9/8	2	1	1/16	1/16	1		-1	41	F2	2	16
1	1	15/4	0.25	15/16	15/16	9/8	1	1	1/16	1/16	1		-1	65	F4	4	7
1	1	4	0.5	1	1	9/8	2	1	1/8	1/8	1		7	49	C#3	3	17
1	1	4	0.5	1	1	9/8	1	1	1/8	1/8	1		7	73	C#5	5	8
2	2	9/2	0.75	0	0	9/8	2	1	3/16	1/8	3/2		3	57	A3	3	27
2	2	9/2	0.75	0	0	9/8	1	1	3/16	1/8	3/2		3	69	A4	4	18
2	2	9/2	0.75	0	0	9/8	2	1	3/16	1/8	3/2		3	69	A4	4	27
2	2	9/2	0.75	0	0	9/8	1	1	3/16	1/8	3/2		3	81	A5	5	18
2	2	21/4	0.25	3/16	3/16	9/8	2	1	1/16	1/16	1		4	64	E4	4	28
2	2	21/4	0.25	3/16	3/16	9/8	1	1	1/16	1/16	1		4	76	E5	5	19
2	2	11/2	0.5	1/4	1/4	9/8	2	1	1/8	1/8	1		7	73	C#5	5	29
2	2	11/2	0.5	1/4	1/4	9/8	1	1	1/8	1/8	1		7	85	C#6	6	20
2	2	6	0.75	3/8	3/8	9/8	2	1	3/16	1/8	3/2		3	45	A2	2	30
2	2	6	0.75	3/8	3/8	9/8	2	1	3/16	1/8	3/2		3	57	A3	3	30
2	2	6	0.75	3/8	3/8	9/8	1	1	3/16	1/8	3/2		3	69	A4	4	21
2	2	6	0.75	3/8	3/8	9/8	1	1	3/16	1/8	3/2		3	81	A5	5	21
2	2	27/4	0.25	9/16	9/16	9/8	2	1	1/16	1/16	1		4	52	E3	3	31
2	2	27/4	0.25	9/16	9/16	9/8	1	1	1/16	1/16	1		4	76	E5	5	22
2	2	7	0.5	5/8	5/8	9/8	2	1	1/8	1/8	1		7	61	C#4	4	32
2	2	7	0.5	5/8	5/8	9/8	1	1	1/8	1/8	1		7	85	C#6	6	23
2	2	15/2	0.75	3/4	3/4	9/8	2	1	3/16	1/8	3/2		3	33	A1	1	33
2	2	15/2	0.75	3/4	3/4	9/8	2	1	3/16	1/8	3/2		3	45	A2	2	33
2	2	15/2	0.75	3/4	3/4	9/8	1	1	3/16	1/8	3/2		3	57	A3	3	24
2	2	15/2	0.75	3/4	3/4	9/8	1	1	3/16	1/8	3/2		3	69	A4	4	24
2	2	33/4	0.25	15/16	15/16	9/8	2	1	1/16	1/16	1		4	40	E2	2	34
2	2	33/4	0.25	15/16	15/16	9/8	1	1	1/16	1/16	1		4	64	E4	4	25
2	2	17/2	0.5	1	1	9/8	2	1	1/8	1/8	1		7	49	C#3	3	35
2	2	17/2	0.5	1	1	9/8	1	1	1/8	1/8	1		7	73	C#5	5	26
3	3	9	0.75	0	0	9/8	2	1	3/16	1/8	3/2		2	26	D1	1	45
